Orthogroup	E_salsugineum	S_parvula
OG0000062	Thhalv10017704m.g, Thhalv10017764m.g, Thhalv10016945m.g, Thhalv10017616m.g, Thhalv10016904m.g, Thhalv10017911m.g, Thhalv10017748m.g, Thhalv10017591m.g, Thhalv10017512m.g, Thhalv10017708m.g, Thhalv10017778m.g, Thhalv10017773m.g, Thhalv10017621m.g, Thhalv10017515m.g, Thhalv10017955m.g, Thhalv10015844m.g, Thhalv10029520m.g, Thhalv10029145m.g, Thhalv10029437m.g, Thhalv10029470m.g, Thhalv10029154m.g, Thhalv10029317m.g, Thhalv10027506m.g, Thhalv10029266m.g, Thhalv10029517m.g, Thhalv10029396m.g	Sp5g22490
OG0000062	Thhalv10017648m.g, Thhalv10017894m.g, Thhalv10002293m.g, Thhalv10017533m.g, Thhalv10029170m.g	Sp4g12680
OG0000068	Thhalv10027065m.g, Thhalv10027302m.g, Thhalv10026777m.g, Thhalv10027325m.g, Thhalv10026752m.g, Thhalv10022314m.g, Thhalv10021944m.g, Thhalv10022355m.g, Thhalv10022208m.g, Thhalv10021905m.g, Thhalv10022428m.g	Sp3g20980
OG0000068	Thhalv10001110m.g, Thhalv10009657m.g, Thhalv10002574m.g, Thhalv10029143m.g, Thhalv10009983m.g, Thhalv10009365m.g, Thhalv10029416m.g	Sp7g36320
OG0000069	Thhalv10001656m.g	Sp4g29160
OG0000069	Thhalv10008885m.g	Sp1g09310
OG0000069	Thhalv10019096m.g	Sp5g25560
OG0000069	Thhalv10014797m.g	Sp6g29370
OG0000070	Thhalv10024050m.g, Thhalv10023923m.g, Thhalv10026528m.g, Thhalv10009721m.g, Thhalv10014078m.g	Sp1g24360
OG0000070	Thhalv10014092m.g	Sp1g35030
OG0000070	Thhalv10004760m.g	Sp2g14580
OG0000071	Thhalv10026296m.g	Sp7g33730
OG0000071	Thhalv10022857m.g	Sp3g29990
OG0000071	Thhalv10026291m.g	Sp7g32780
OG0000071	Thhalv10008827m.g	Sp1g17860
OG0000071	Thhalv10019171m.g	Sp5g30980
OG0000071	Thhalv10022861m.g	Sp3g31210
OG0000072	Thhalv10008362m.g	Sp7g15310
OG0000072	Thhalv10017639m.g, Thhalv10017909m.g, Thhalv10017057m.g	Sp4g12160, Sp4g12090
OG0000072	Thhalv10017079m.g	Sp4g12080
OG0000072	Thhalv10017118m.g	Sp4g12085
OG0000074	Thhalv10026531m.g	Sp7g20170
OG0000074	Thhalv10023763m.g	Sp2g02520
OG0000074	Thhalv10026582m.g	Sp7g15090
OG0000074	Thhalv10006314m.g	SpUn0031_0100, Sp4g27220, Sp5g02600
OG0000077	Thhalv10020257m.g	Sp3g10720
OG0000077	Thhalv10007031m.g	Sp1g14350
OG0000077	Thhalv10020258m.g	Sp3g07820
OG0000077	Thhalv10002169m.g	Sp2g05640
OG0000077	Thhalv10012922m.g	Sp6g40010
OG0000077	Thhalv10023343m.g	SpUn0364_0020, SpUn0328_0010, Sp6g40020
OG0000079	Thhalv10017677m.g	Sp5g16780
OG0000079	Thhalv10023116m.g, Thhalv10023972m.g	Sp1g32550, Sp3g24930, Sp6g07630, Sp5g17790, SpUn0004_0250
OG0000079	Thhalv10029155m.g, Thhalv10009474m.g, Thhalv10009460m.g	Sp3g26345
OG0000079	Thhalv10011978m.g	Sp5g25877, Sp5g18880
OG0000080	Thhalv10017370m.g	Sp4g11580
OG0000080	Thhalv10014958m.g	Sp6g22520
OG0000080	Thhalv10010811m.g	Sp5g08710
OG0000080	Thhalv10017408m.g	Sp3g07850
OG0000080	Thhalv10014927m.g	Sp6g21620
OG0000081	Thhalv10001203m.g, Thhalv10000757m.g	Sp2g09620
OG0000081	Thhalv10002388m.g	Sp5g16600, Sp5g16390
OG0000081	Thhalv10012566m.g	Sp1g34070
OG0000081	Thhalv10017653m.g, Thhalv10028397m.g, Thhalv10011081m.g	SpUn1871_0010
OG0000082	Thhalv10015932m.g	Sp6g08490, Sp7g02990, Sp7g10260, Sp1g29910
OG0000082	Thhalv10022508m.g	SpUn0117_0030, Sp7g02980, Sp7g25140, Sp4g09020, Sp2g07510, Sp5g12970, Sp3g26190, Sp1g32690, Sp5g18470, Sp2g06740, Sp6g11170, Sp4g06360, Sp7g11310, Sp1g33720, Sp7g11640, Sp5g16050, Sp3g32500, Sp3g25190
OG0000082	Thhalv10023887m.g, Thhalv10019515m.g, Thhalv10011148m.g	Sp5g19960, Sp5g19390
OG0000083	Thhalv10005465m.g, Thhalv10003490m.g, Thhalv10023960m.g, Thhalv10029165m.g, Thhalv10002331m.g, Thhalv10000670m.g, Thhalv10017605m.g, Thhalv10028075m.g, Thhalv10001854m.g, Thhalv10028180m.g, Thhalv10000453m.g, Thhalv10002231m.g	Sp4g05790
OG0000083	Thhalv10003494m.g, Thhalv10019721m.g, Thhalv10029405m.g, Thhalv10024129m.g, Thhalv10002326m.g, Thhalv10002835m.g, Thhalv10002209m.g, Thhalv10019636m.g, Thhalv10011157m.g, Thhalv10023022m.g, Thhalv10023819m.g, Thhalv10023927m.g, Thhalv10011015m.g, Thhalv10027466m.g, Thhalv10000609m.g	Sp6g18960
OG0000086	Thhalv10000583m.g, Thhalv10000646m.g, Thhalv10000580m.g	Sp7g12400, Sp3g28520, Sp7g03450
OG0000087	Thhalv10008842m.g	Sp6g01970
OG0000087	Thhalv10028985m.g	Sp1g01620
OG0000087	Thhalv10006249m.g	Sp5g00940
OG0000087	Thhalv10008843m.g	Sp1g07800
OG0000087	Thhalv10023704m.g, Thhalv10023657m.g, Thhalv10002861m.g	Sp2g06570, Sp2g06540
OG0000088	Thhalv10012196m.g, Thhalv10009528m.g, Thhalv10009889m.g, Thhalv10007210m.g, Thhalv10012915m.g, Thhalv10012175m.g, Thhalv10027008m.g, Thhalv10005296m.g, Thhalv10005411m.g, Thhalv10005293m.g, Thhalv10003740m.g, Thhalv10003754m.g, Thhalv10003743m.g, Thhalv10003761m.g, Thhalv10003760m.g, Thhalv10000809m.g, Thhalv10016311m.g, Thhalv10027103m.g, Thhalv10029207m.g, Thhalv10012912m.g, Thhalv10029489m.g, Thhalv10012095m.g, Thhalv10002432m.g	Sp5g15690
OG0000089	Thhalv10001833m.g	Sp1g29890
OG0000089	Thhalv10019018m.g	Sp5g33420
OG0000089	Thhalv10028882m.g	Sp6g08640
OG0000089	Thhalv10021346m.g	Sp3g01550
OG0000089	Thhalv10014395m.g	Sp6g28080
OG0000089	Thhalv10026668m.g, Thhalv10002216m.g, Thhalv10027400m.g	Sp7g03570
OG0000090	Thhalv10018813m.g	Sp5g29320
OG0000090	Thhalv10023824m.g	Sp2g03700
OG0000090	Thhalv10023882m.g	Sp2g03720
OG0000090	Thhalv10001141m.g, Thhalv10008073m.g	Sp1g16560
OG0000090	Thhalv10018795m.g	Sp5g29330
OG0000094	Thhalv10005664m.g	Sp6g08450, Sp1g34520, Sp4g06100, Sp3g33160
OG0000094	Thhalv10009492m.g	Sp4g04930, Sp2g06190, Sp1g38880, Sp1g25350, SpUn0001_0110, SpUn0001_0020, SpUn0004_0210, Sp7g08960, Sp4g06720, SpUn0001_0710, Sp1g38870, Sp5g12470, Sp4g07410, Sp5g19310, Sp1g32880, Sp4g04330, Sp7g05970, Sp7g09710, Sp4g09560, Sp4g08780, Sp5g19370, Sp4g04140, Sp1g31060
OG0000096	Thhalv10000750m.g, Thhalv10010076m.g, Thhalv10027412m.g, Thhalv10012486m.g	Sp2g09700
OG0000096	Thhalv10001215m.g	Sp2g10050
OG0000096	Thhalv10001233m.g	Sp2g10140
OG0000096	Thhalv10000747m.g	Sp2g10100
OG0000096	Thhalv10000751m.g	Sp2g10070
OG0000096	Thhalv10000021m.g	Sp2g10150, Sp2g10160
OG0000097	Thhalv10008397m.g	Sp1g00700
OG0000097	Thhalv10025910m.g	Sp7g21310
OG0000097	Thhalv10001573m.g	Sp4g28030
OG0000097	Thhalv10028860m.g	Sp6g00460
OG0000099	Thhalv10018774m.g	Sp5g21260
OG0000099	Thhalv10013948m.g	Sp6g27590
OG0000099	Thhalv10021026m.g	Sp3g15940
OG0000099	Thhalv10011613m.g	Sp1g35420
OG0000099	Thhalv10027817m.g	Sp7g04500
OG0000100	Thhalv10003060m.g	Sp5g16920, SpUn0001_0800, Sp3g33810, Sp7g04240, Sp6g04560, Sp7g04070, Sp1g29450, Sp1g31030, Sp7g12620, Sp2g06040, Sp5g17950, Sp3g29490, SpUn0431_0020, SpUn0738_0010, Sp6g00200, Sp3g33800, Sp4g11850, Sp4g02440, Sp5g26950, Sp3g29360, Sp1g32350, Sp3g24950, Sp7g05880, Sp7g08950, Sp6g07960, SpUn0002_0800
OG0000102	Thhalv10026773m.g	Sp4g05230, Sp5g15340, Sp6g02770, Sp7g06810, Sp1g34970, Sp6g09910, Sp5g15330, Sp5g22230, Sp4g09550, Sp3g29290, Sp7g13120, Sp6g09830, Sp3g27390, Sp6g12310, Sp7g03430, Sp4g03790, Sp6g12280, Sp5g12335, Sp5g18510, Sp5g20970, SpUn1230_0010, SpUn0001_0280, Sp1g34960, Sp5g21390, SpUn0146_0040, Sp5g16930
OG0000112	Thhalv10008739m.g	Sp1g24800
OG0000112	Thhalv10020713m.g	Sp3g13260
OG0000112	Thhalv10026206m.g	Sp7g15600
OG0000112	Thhalv10017739m.g	Sp4g16300
OG0000114	Thhalv10002704m.g	Sp5g15590
OG0000114	Thhalv10014975m.g	Sp6g21590
OG0000114	Thhalv10002714m.g	Sp5g15610
OG0000114	Thhalv10026532m.g	Sp7g23620
OG0000115	Thhalv10018052m.g	Sp5g13400, Sp2g00920
OG0000115	Thhalv10023230m.g	Sp2g00800
OG0000115	Thhalv10023894m.g, Thhalv10023232m.g	Sp2g03800
OG0000115	Thhalv10000023m.g, Thhalv10027634m.g	Sp2g00780
OG0000117	Thhalv10012315m.g	Sp1g40790
OG0000117	Thhalv10022000m.g	Sp3g11970
OG0000117	Thhalv10000079m.g	Sp4g03110
OG0000117	Thhalv10003800m.g	Sp2g22430
OG0000117	Thhalv10012938m.g	Sp6g32620
OG0000118	Thhalv10023094m.g	Sp7g09290
OG0000120	Thhalv10012832m.g	Sp6g17850
OG0000120	Thhalv10012817m.g	Sp6g14810
OG0000120	Thhalv10024564m.g, Thhalv10024561m.g	Sp1g26840, Sp7g24520
OG0000121	Thhalv10014191m.g, Thhalv10022510m.g, Thhalv10015557m.g	Sp6g16160
OG0000121	Thhalv10022155m.g	Sp6g11720
OG0000121	Thhalv10021915m.g	Sp3g17640
OG0000123	Thhalv10023068m.g	Sp3g30360
OG0000123	Thhalv10022962m.g	Sp3g30390
OG0000123	Thhalv10027348m.g	Sp7g32970
OG0000123	Thhalv10026047m.g	Sp7g32960
OG0000123	Thhalv10023198m.g	Sp3g30350
OG0000128	Thhalv10002239m.g, Thhalv10002251m.g, Thhalv10002278m.g, Thhalv10002207m.g, Thhalv10002291m.g, Thhalv10002243m.g, Thhalv10002224m.g, Thhalv10002250m.g, Thhalv10002265m.g, Thhalv10002305m.g, Thhalv10002170m.g, Thhalv10002222m.g, Thhalv10002294m.g, Thhalv10002202m.g, Thhalv10002218m.g, Thhalv10002276m.g, Thhalv10002161m.g, Thhalv10002263m.g, Thhalv10002260m.g, Thhalv10002163m.g, Thhalv10002325m.g, Thhalv10002277m.g, Thhalv10002314m.g, Thhalv10002255m.g, Thhalv10002198m.g	Sp4g07220
OG0000129	Thhalv10029194m.g	Sp7g03745
OG0000129	Thhalv10026817m.g, Thhalv10009777m.g	Sp6g10470, Sp4g06690, Sp2g02350, Sp6g06080, Sp7g04630, Sp1g34110, Sp5g28990
OG0000129	Thhalv10009535m.g	Sp1g21910, SpUn0001_0970, Sp5g14340, SpUn0003_0140
OG0000131	Thhalv10028038m.g, Thhalv10003482m.g, Thhalv10003128m.g, Thhalv10012392m.g, Thhalv10001264m.g, Thhalv10002254m.g, Thhalv10002187m.g, Thhalv10001266m.g, Thhalv10022984m.g, Thhalv10002304m.g, Thhalv10005702m.g, Thhalv10023191m.g	SpUn0004_0280, Sp1g31610, Sp2g06090
OG0000132	Thhalv10016300m.g	SpUn0018_0010, Sp4g21660
OG0000132	Thhalv10010146m.g	Sp5g07330
OG0000132	Thhalv10012786m.g	Sp6g30450
OG0000132	Thhalv10010176m.g	Sp5g07320
OG0000132	Thhalv10016295m.g	Sp4g19670
OG0000132	Thhalv10010147m.g	Sp5g08820
OG0000133	Thhalv10016497m.g	Sp4g21310
OG0000133	Thhalv10003187m.g, Thhalv10003182m.g, Thhalv10003186m.g, Thhalv10003184m.g, Thhalv10003336m.g, Thhalv10003340m.g, Thhalv10003183m.g, Thhalv10003348m.g, Thhalv10016483m.g, Thhalv10010274m.g	Sp5g07750
OG0000135	Thhalv10022636m.g	Sp3g28690
OG0000135	Thhalv10009946m.g	Sp1g12430
OG0000135	Thhalv10007297m.g	Sp1g12420
OG0000135	Thhalv10009405m.g	Sp1g12450, Sp1g12440
OG0000138	Thhalv10013414m.g	Sp6g28610
OG0000138	Thhalv10004110m.g	Sp2g17950
OG0000138	Thhalv10027800m.g	Sp7g02670
OG0000138	Thhalv10010007m.g	Sp1g22210
OG0000141	Thhalv10000161m.g	Sp4g01790
OG0000141	Thhalv10020718m.g, Thhalv10011471m.g, Thhalv10013523m.g, Thhalv10013521m.g	SpUn0137_0045
OG0000146	Thhalv10028715m.g, Thhalv10027815m.g	Sp6g01690
OG0000146	Thhalv10001487m.g	Sp4g29070
OG0000146	Thhalv10016774m.g	Sp4g19160
OG0000146	Thhalv10020887m.g	Sp3g15570
OG0000147	Thhalv10000727m.g	Sp4g00350
OG0000147	Thhalv10008458m.g	Sp1g17760
OG0000147	Thhalv10018988m.g	Sp5g30870
OG0000147	Thhalv10025877m.g	Sp7g37030
OG0000148	Thhalv10026432m.g	Sp7g32500
OG0000148	Thhalv10026433m.g	Sp7g36920
OG0000148	Thhalv10008949m.g	Sp1g17700, Sp5g30740
OG0000149	Thhalv10006594m.g, Thhalv10011905m.g	Sp1g22530
OG0000149	Thhalv10018025m.g	Sp5g23810
OG0000149	Thhalv10003538m.g	Sp2g14890
OG0000149	Thhalv10006589m.g	SpUn0138_0010, Sp1g11730
OG0000150	Thhalv10011228m.g	Sp1g38480
OG0000150	Thhalv10020016m.g	Sp3g19400
OG0000150	Thhalv10011224m.g	Sp4g10470
OG0000150	Thhalv10017541m.g, Thhalv10016227m.g	Sp4g11810
OG0000150	Thhalv10011227m.g	Sp1g38470
OG0000151	Thhalv10011126m.g	Sp5g13500
OG0000152	Thhalv10014643m.g	Sp6g21520
OG0000152	Thhalv10010710m.g	Sp5g08740
OG0000152	Thhalv10021492m.g	Sp3g08250
OG0000152	Thhalv10014465m.g	Sp6g39230
OG0000152	Thhalv10002663m.g	Sp5g15550
OG0000153	Thhalv10014326m.g	Sp6g19250, Sp6g19260
OG0000153	Thhalv10025720m.g	Sp7g23830
OG0000153	Thhalv10025803m.g	Sp7g28170, SpUN0954_0010
OG0000154	Thhalv10021533m.g	Sp3g14450
OG0000154	Thhalv10011782m.g	Sp1g38810
OG0000154	Thhalv10011767m.g	Sp1g36180
OG0000154	Thhalv10021531m.g	Sp3g16910
OG0000155	Thhalv10008003m.g, Thhalv10011525m.g, Thhalv10012025m.g	Sp1g09440, Sp1g05850
OG0000162	Thhalv10025334m.g	Sp7g18810
OG0000162	Thhalv10000899m.g	Sp2g09290
OG0000162	Thhalv10007740m.g	Sp1g26520
OG0000165	Thhalv10017041m.g	Sp4g19490
OG0000165	Thhalv10010598m.g	Sp5g08920
OG0000165	Thhalv10014299m.g	Sp6g22230
OG0000166	Thhalv10018463m.g, Thhalv10001170m.g, Thhalv10000551m.g, Thhalv10012036m.g, Thhalv10001211m.g, Thhalv10000813m.g, Thhalv10011360m.g, Thhalv10012244m.g, Thhalv10012084m.g, Thhalv10000829m.g, Thhalv10002351m.g, Thhalv10005834m.g, Thhalv10022693m.g, Thhalv10022611m.g, Thhalv10023009m.g, Thhalv10022238m.g, Thhalv10015310m.g	Sp7g11380
OG0000167	Thhalv10028553m.g	Sp6g08130
OG0000167	Thhalv10001814m.g	Sp1g30310
OG0000167	Thhalv10007305m.g	Sp1g20160
OG0000167	Thhalv10019647m.g	Sp5g27070
OG0000168	Thhalv10028004m.g	Sp7g32340
OG0000169	Thhalv10013314m.g	Sp6g18990
OG0000169	Thhalv10004078m.g	Sp2g15470
OG0000169	Thhalv10004070m.g	Sp2g15450, Sp2g15460
OG0000169	Thhalv10004036m.g	Sp2g15480
OG0000169	Thhalv10004067m.g	Sp2g15630
OG0000171	Thhalv10010008m.g	Sp1g20930
OG0000171	Thhalv10008486m.g	Sp1g20950
OG0000171	Thhalv10028680m.g	Sp6g05890
OG0000171	Thhalv10008632m.g	Sp1g21010
OG0000171	Thhalv10009581m.g	Sp1g21070, Sp1g21060
OG0000171	Thhalv10010034m.g	Sp1g21090, Sp1g21100, Sp1g21040, Sp1g21050, Sp1g21000
OG0000171	Thhalv10008736m.g	Sp1g20940, Sp1g21080
OG0000176	Thhalv10000222m.g	Sp4g04800
OG0000176	Thhalv10013985m.g	Sp6g32330
OG0000176	Thhalv10004502m.g	Sp2g22150
OG0000176	Thhalv10025602m.g	Sp7g30170
OG0000177	Thhalv10022336m.g	Sp3g09390
OG0000177	Thhalv10000515m.g	Sp4g03720
OG0000177	Thhalv10028330m.g	Sp4g03630
OG0000179	Thhalv10011855m.g	Sp1g39310
OG0000179	Thhalv10021747m.g	Sp3g13890
OG0000179	Thhalv10017405m.g	Sp4g21200
OG0000179	Thhalv10010813m.g	SpUn0962_0010, Sp5g07880
OG0000181	Thhalv10008441m.g	Sp1g08720
OG0000181	Thhalv10017049m.g, Thhalv10023768m.g, Thhalv10023633m.g	Sp2g05090
OG0000181	Thhalv10006149m.g	Sp5g05110
OG0000183	Thhalv10009959m.g	Sp7g03360
OG0000183	Thhalv10028128m.g, Thhalv10028237m.g	SpUn0035_0040
OG0000183	Thhalv10027772m.g	Sp7g03470
OG0000184	Thhalv10003076m.g, Thhalv10002768m.g, Thhalv10003010m.g, Thhalv10002959m.g	Sp6g22130
OG0000184	Thhalv10012111m.g	Sp1g40760
OG0000185	Thhalv10013065m.g	Sp6g14200
OG0000185	Thhalv10005870m.g	Sp5g06470
OG0000185	Thhalv10015735m.g	Sp5g06480
OG0000185	Thhalv10015625m.g	Sp6g14190, Sp6g14180
OG0000186	Thhalv10020227m.g	Sp3g13010
OG0000186	Thhalv10011290m.g	Sp1g40030
OG0000186	Thhalv10018232m.g	Sp5g33660
OG0000187	Thhalv10016223m.g	Sp4g15360
OG0000187	Thhalv10010006m.g	Sp4g14900
OG0000187	Thhalv10016267m.g	Sp4g15390, Sp4g15400
OG0000187	Thhalv10016279m.g	Sp4g15410
OG0000188	Thhalv10027820m.g	Sp7g01740
OG0000188	Thhalv10027803m.g	Sp7g01710, Sp7g01720
OG0000188	Thhalv10027960m.g, Thhalv10027804m.g	Sp7g01730
