Orthogroup	S_diversifolius	S_parvula
OG0000036	Sdiv_ptg000008l_0637-R, Sdiv_ptg000022l_0679-R	Sp4g12280
OG0000039	Sdiv_ptg000004l_2267-R	Sp6g32510, Sp5g30720, Sp3g29820, Sp7g35840, Sp7g35830
OG0000039	Sdiv_ptg000010l_2296-R, Sdiv_ptg000007l_0317-R, Sdiv_ptg000009l_0630-R	Sp1g07810
OG0000040	Sdiv_ptg000005l_1397-R, Sdiv_ptg000004l_1690-R	Sp7g28060
OG0000040	Sdiv_ptg000001l_0151-R, Sdiv_ptg000011l_0129-R, Sdiv_ptg000013l_0122-R	Sp3g32410
OG0000040	Sdiv_ptg000010l_0805-R, Sdiv_ptg000009l_2481-R	Sp6g19080
OG0000040	Sdiv_ptg000016l_0103-R	Sp5g02900
OG0000040	Sdiv_ptg000007l_1812-R, Sdiv_ptg000012l_0380-R	Sp2g25850
OG0000040	Sdiv_ptg000002l_0958-R, Sdiv_ptg000015l_1184-R	Sp5g18280
OG0000040	Sdiv_ptg000001l_0466-R, Sdiv_ptg000011l_0434-R, Sdiv_ptg000013l_0439-R	Sp3g25350
OG0000040	Sdiv_ptg000002l_2099-R	Sp5g35100
OG0000041	Sdiv_ptg000015l_1776-R, Sdiv_ptg000002l_0336-R, Sdiv_ptg000022l_1286-R	Sp5g08630, Sp4g19980
OG0000041	Sdiv_ptg000013l_1462-R	Sp3g10340
OG0000041	Sdiv_ptg000010l_2344-R	Sp6g33600
OG0000041	Sdiv_ptg000014l_1603-R, Sdiv_ptg000003l_1583-R	Sp1g36120
OG0000041	Sdiv_ptg000013l_0979-R	Sp3g16870
OG0000041	Sdiv_ptg000002l_0823-R	Sp6g21050, Sp5g15160
OG0000046	Sdiv_ptg000014l_1913-R	Sp7g08090, SpUn0007_0170, Sp3g26220, Sp7g12180, Sp4g03130, Sp3g27840, Sp4g08050, Sp1g33350, Sp5g18990, Sp7g11840, Sp2g05510, Sp1g32640, Sp2g07350, Sp5g19080, Sp2g07140, Sp7g11660, SpUn0002_0260, Sp4g08110, Sp6g35200, Sp1g31670, Sp2g08200, Sp5g19070, Sp3g26800, Sp3g28050, Sp1g33280, SpUn0094_0020, Sp7g08100, Sp3g24640, Sp6g12110, Sp2g07090, Sp5g17870, Sp5g17680, Sp7g08780, Sp7g09160, Sp6g10170, Sp4g04560, Sp7g09080, Sp4g09320, Sp5g17600, Sp3g25980, Sp7g04550, Sp3g24910
OG0000049	Sdiv_ptg000009l_1202-R	Sp6g26270
OG0000049	Sdiv_ptg000022l_0020-R	Sp4g00370
OG0000049	Sdiv_ptg000010l_0238-R	Sp6g26280
OG0000050	Sdiv_ptg000015l_1286-R	Sp3g21330, Sp7g09760, Sp4g09450, Sp3g26380, Sp7g26700, Sp3g29680, SpUn0030_0070, Sp3g31760, Sp7g10630, Sp7g05470, Sp7g06400, Sp7g08450, Sp7g03320, Sp6g10060, Sp7g04130, Sp4g06170, Sp7g07740, Sp3g29630, Sp7g10930, Sp6g07800, Sp7g10230, Sp7g07530, Sp3g23930, Sp5g17770, Sp6g09390, Sp6g07660, Sp3g28720, Sp7g05980, Sp4g06470, Sp2g22320, Sp2g01850, Sp6g16700, Sp5g20730, Sp1g29090, Sp1g31130, SpUn0002_0700, Sp2g06260
OG0000051	Sdiv_ptg000014l_1791-R	SpUn1341_0010
OG0000051	Sdiv_ptg000015l_1156-R	Sp4g09010, SpUn0004_0170
OG0000054	Sdiv_ptg000022l_1280-R, Sdiv_ptg000009l_2655-R, Sdiv_ptg000015l_1320-R, Sdiv_ptg000010l_0628-R, Sdiv_ptg000015l_1308-R, Sdiv_ptg000002l_0828-R, Sdiv_ptg000022l_0611-R, Sdiv_ptg000008l_1190-R	Sp5g15350
OG0000055	Sdiv_ptg000008l_0143-R	Sp7g01830, Sp4g02040
OG0000055	Sdiv_ptg000008l_0144-R	Sp4g02060
OG0000055	Sdiv_ptg000013l_1592-R	Sp3g08720
OG0000055	Sdiv_ptg000014l_2159-R	Sp1g26630
OG0000055	Sdiv_ptg000022l_0134-R	SpUn0042_0020, Sp4g02000
OG0000056	Sdiv_ptg000022l_0485-R, Sdiv_ptg000015l_1990-R, Sdiv_ptg000002l_0110-R	Sp5g05790, Sp4g23420
OG0000056	Sdiv_ptg000015l_1031-R, Sdiv_ptg000002l_1084-R, Sdiv_ptg000027l_0076-R	Sp7g04290, Sp5g21490
OG0000056	Sdiv_ptg000008l_1448-R	Sp4g08270
OG0000057	Sdiv_ptg000009l_2171-R, Sdiv_ptg000010l_1098-R	Sp6g15450
OG0000057	Sdiv_ptg000004l_1539-R, Sdiv_ptg000005l_1232-R	Sp7g25920
OG0000057	Sdiv_ptg000001l_0295-R	Sp3g29980
OG0000057	Sdiv_ptg000010l_0901-R	Sp6g18000
OG0000057	Sdiv_ptg000004l_0034-R, Sdiv_ptg000027l_0286-R	Sp7g00370
OG0000057	Sdiv_ptg000012l_2316-R	Sp2g00510
OG0000069	Sdiv_ptg000022l_1982-R	Sp4g29160
OG0000069	Sdiv_ptg000007l_0257-R	Sp1g09310, Sp2g04250
OG0000069	Sdiv_ptg000002l_1403-R	Sp5g25560
OG0000069	Sdiv_ptg000010l_1987-R, Sdiv_ptg000009l_0939-R	Sp6g29370
OG0000070	Sdiv_ptg000012l_1214-R	Sp2g14580
OG0000071	Sdiv_ptg000005l_1794-R	Sp7g33730
OG0000071	Sdiv_ptg000004l_2043-R	Sp7g32780
OG0000071	Sdiv_ptg000014l_1319-R	Sp1g17860
OG0000071	Sdiv_ptg000015l_0366-R	Sp5g30980
OG0000071	Sdiv_ptg000011l_0209-R, Sdiv_ptg000013l_0198-R	Sp3g31210
OG0000072	Sdiv_ptg000014l_0437-R	Sp7g15310
OG0000072	Sdiv_ptg000022l_0658-R	Sp4g12160, Sp4g12090
OG0000074	Sdiv_ptg000005l_0798-R, Sdiv_ptg000004l_1114-R	Sp7g20170
OG0000074	Sdiv_ptg000012l_2205-R	Sp2g02520
OG0000074	Sdiv_ptg000013l_0473-R	Sp3g24090
OG0000074	Sdiv_ptg000005l_0423-R	Sp7g15090
OG0000074	Sdiv_ptg000022l_1831-R	SpUn0031_0100, Sp4g27220, Sp5g02600
OG0000077	Sdiv_ptg000013l_1432-R	Sp3g10720
OG0000077	Sdiv_ptg000014l_1054-R	Sp1g14350
OG0000077	Sdiv_ptg000013l_1664-R	Sp3g07820
OG0000077	Sdiv_ptg000012l_1997-R	Sp2g05640
OG0000077	Sdiv_ptg000010l_2814-R	Sp6g40010
OG0000080	Sdiv_ptg000008l_0591-R, Sdiv_ptg000022l_0612-R	Sp4g11580
OG0000080	Sdiv_ptg000010l_0605-R	Sp6g22520, Sp5g08710, Sp3g07850
OG0000080	Sdiv_ptg000002l_0842-R	Sp5g15620, Sp6g21620
OG0000081	Sdiv_ptg000015l_1259-R, Sdiv_ptg000015l_1253-R, Sdiv_ptg000015l_1254-R	Sp5g16600, Sp5g16390
OG0000087	Sdiv_ptg000010l_0118-R, Sdiv_ptg000014l_0103-R	Sp1g01620
OG0000087	Sdiv_ptg000016l_0239-R	Sp5g00940
OG0000087	Sdiv_ptg000007l_0379-R	Sp2g06570, Sp2g06540
OG0000089	Sdiv_ptg000014l_1937-R, Sdiv_ptg000003l_1282-R	Sp1g29890
OG0000089	Sdiv_ptg000015l_0193-R, Sdiv_ptg000002l_1964-R	Sp5g33420
OG0000089	Sdiv_ptg000010l_1477-R	Sp6g08640
OG0000089	Sdiv_ptg000013l_2101-R	Sp3g01550
OG0000090	Sdiv_ptg000002l_1667-R	Sp5g29320
OG0000090	Sdiv_ptg000012l_2130-R	Sp2g03700
OG0000090	Sdiv_ptg000015l_0496-R	Sp5g29330
OG0000092	Sdiv_ptg000724l_0003-R, Sdiv_ptg000137l_0005-R, Sdiv_ptg000142l_0005-R, Sdiv_ptg000037l_0004-R, Sdiv_ptg000102l_0002-R, Sdiv_ptg000100l_0003-R, Sdiv_ptg000098l_0003-R, Sdiv_ptg000163l_0005-R, Sdiv_ptg000094l_0007-R, Sdiv_ptg000025l_0002-R, Sdiv_ptg000167l_0005-R, Sdiv_ptg000077l_0005-R, Sdiv_ptg000055l_0009-R, Sdiv_ptg000151l_0002-R, Sdiv_ptg000146l_0008-R, Sdiv_ptg000159l_0002-R, Sdiv_ptg000127l_0007-R, Sdiv_ptg000080l_0005-R, Sdiv_ptg000131l_0003-R, Sdiv_ptg000118l_0003-R, Sdiv_ptg000154l_0005-R, Sdiv_ptg000048l_0001-R, Sdiv_ptg000041l_0006-R, Sdiv_ptg000168l_0006-R, Sdiv_ptg000188l_0002-R, Sdiv_ptg000176l_0002-R	Sp5g12490
OG0000096	Sdiv_ptg000004l_0968-R	Sp2g09700
OG0000097	Sdiv_ptg000014l_0041-R	Sp1g00700
OG0000097	Sdiv_ptg000005l_0886-R	Sp7g21310
OG0000097	Sdiv_ptg000018l_0150-R	Sp4g28030
OG0000097	Sdiv_ptg000016l_0170-R	Sp5g01970
OG0000097	Sdiv_ptg000009l_2992-R	Sp6g00460
OG0000099	Sdiv_ptg000002l_1075-R, Sdiv_ptg000015l_1042-R	Sp5g21260
OG0000099	Sdiv_ptg000009l_1089-R, Sdiv_ptg000010l_0143-R	Sp6g27590
OG0000099	Sdiv_ptg000013l_1049-R, Sdiv_ptg000001l_1113-R	Sp3g15940
OG0000099	Sdiv_ptg000014l_1648-R	Sp1g35420
OG0000099	Sdiv_ptg000027l_0067-R	Sp7g04500
OG0000112	Sdiv_ptg000003l_0897-R, Sdiv_ptg000014l_2299-R	Sp1g24800
OG0000112	Sdiv_ptg000013l_1253-R	Sp3g13260
OG0000112	Sdiv_ptg000005l_0563-R	Sp7g15600
OG0000112	Sdiv_ptg000022l_1001-R	Sp4g16300
OG0000113	Sdiv_ptg000014l_2245-R	Sp1g25430
OG0000113	Sdiv_ptg000014l_2241-R	Sp1g25420
OG0000113	Sdiv_ptg000014l_2240-R	Sp1g25370, Sp1g25450, Sp1g25360
OG0000114	Sdiv_ptg000002l_0844-R	Sp5g15590
OG0000114	Sdiv_ptg000002l_0845-R	Sp5g15610
OG0000114	Sdiv_ptg000005l_1059-R	Sp7g23620
OG0000115	Sdiv_ptg000012l_2289-R	Sp5g13400, Sp2g00920
OG0000115	Sdiv_ptg000007l_0071-R	Sp2g00780
OG0000117	Sdiv_ptg000003l_0087-R	Sp1g40790
OG0000117	Sdiv_ptg000001l_1408-R, Sdiv_ptg000013l_1339-R	Sp3g11970
OG0000117	Sdiv_ptg000008l_0210-R, Sdiv_ptg000022l_0204-R	Sp4g03110
OG0000117	Sdiv_ptg000012l_0639-R	Sp2g22430
OG0000117	Sdiv_ptg000010l_2260-R	Sp6g32620
OG0000120	Sdiv_ptg000010l_0911-R	Sp6g17850
OG0000120	Sdiv_ptg000009l_2122-R	Sp6g14810
OG0000120	Sdiv_ptg000014l_2143-R, Sdiv_ptg000004l_1438-R, Sdiv_ptg000010l_1541-R	Sp1g26840, Sp7g24520
OG0000121	Sdiv_ptg000013l_0947-R	Sp3g17640
OG0000123	Sdiv_ptg000001l_0277-R	Sp3g30370
OG0000129	Sdiv_ptg000001l_0074-R	Sp1g21910, SpUn0001_0970, Sp5g14340, SpUn0003_0140
OG0000132	Sdiv_ptg000002l_0350-R	SpUn0018_0010, Sp4g21660, Sp5g07330, Sp6g30450, Sp5g07320, Sp4g19670, Sp5g08820
OG0000133	Sdiv_ptg000008l_1293-R	Sp4g21310
OG0000133	Sdiv_ptg000007l_0588-R	Sp5g07750
OG0000135	Sdiv_ptg000001l_0358-R, Sdiv_ptg000011l_0331-R, Sdiv_ptg000013l_0331-R	Sp3g28690
OG0000135	Sdiv_ptg000014l_0911-R	Sp1g12430
OG0000138	Sdiv_ptg000009l_0999-R, Sdiv_ptg000010l_1932-R	Sp6g28610
OG0000138	Sdiv_ptg000027l_0143-R	Sp7g02670
OG0000138	Sdiv_ptg000014l_2499-R	Sp1g22210
OG0000138	Sdiv_ptg000001l_2228-R	Sp3g01120
OG0000141	Sdiv_ptg000008l_0137-R	Sp4g01790
OG0000141	Sdiv_ptg000003l_1634-R, Sdiv_ptg000014l_1559-R, Sdiv_ptg000001l_0971-R, Sdiv_ptg000009l_1334-R, Sdiv_ptg000009l_1333-R, Sdiv_ptg000010l_0369-R, Sdiv_ptg000010l_0368-R	SpUn0137_0045
OG0000146	Sdiv_ptg000010l_0102-R	Sp6g01690
OG0000146	Sdiv_ptg000018l_0071-R	Sp4g29070
OG0000146	Sdiv_ptg000022l_1209-R	Sp4g19160
OG0000146	Sdiv_ptg000013l_1080-R	Sp3g15570
OG0000147	Sdiv_ptg000008l_0036-R	Sp4g00350
OG0000147	Sdiv_ptg000003l_0375-R, Sdiv_ptg000014l_1312-R	Sp1g17760
OG0000147	Sdiv_ptg000015l_0376-R	Sp5g30870
OG0000147	Sdiv_ptg000004l_2334-R	Sp7g37030
OG0000148	Sdiv_ptg000001l_0313-R, Sdiv_ptg000004l_2328-R, Sdiv_ptg000005l_2029-R	Sp7g32500
OG0000148	Sdiv_ptg000002l_1766-R, Sdiv_ptg000003l_0371-R, Sdiv_ptg000014l_1306-R	Sp7g36920, Sp1g17700, Sp5g30740
OG0000149	Sdiv_ptg000014l_2469-R	Sp1g22530
OG0000149	Sdiv_ptg000015l_0887-R, Sdiv_ptg000002l_1256-R	Sp5g23810
OG0000149	Sdiv_ptg000012l_1197-R	Sp2g14890
OG0000149	Sdiv_ptg000003l_2075-R, Sdiv_ptg000014l_0854-R	SpUn0138_0010, Sp1g11730
OG0000150	Sdiv_ptg000014l_2694-R	Sp1g38480
OG0000151	Sdiv_ptg000001l_0866-R	Sp5g13500
OG0000152	Sdiv_ptg000010l_0612-R	Sp6g21520
OG0000152	Sdiv_ptg000010l_2760-R	Sp6g39230
OG0000153	Sdiv_ptg000010l_1511-R	Sp6g19250, Sp6g19260
OG0000153	Sdiv_ptg000005l_1078-R	Sp7g23830
OG0000153	Sdiv_ptg000004l_1699-R, Sdiv_ptg000005l_1405-R	Sp7g28170, SpUN0954_0010
OG0000154	Sdiv_ptg000001l_1221-R, Sdiv_ptg000013l_1165-R	Sp3g14450
OG0000154	Sdiv_ptg000003l_1757-R, Sdiv_ptg000014l_2714-R	Sp1g38810
OG0000154	Sdiv_ptg000003l_1587-R	Sp1g36180
OG0000154	Sdiv_ptg000001l_1036-R	Sp3g16910
OG0000162	Sdiv_ptg000005l_0713-R	Sp7g18810
OG0000162	Sdiv_ptg000012l_1636-R, Sdiv_ptg000007l_0648-R	Sp2g09290
OG0000162	Sdiv_ptg000022l_1065-R	Sp4g17130
OG0000162	Sdiv_ptg000003l_1016-R, Sdiv_ptg000014l_2166-R	Sp1g26520
OG0000165	Sdiv_ptg000022l_1239-R, Sdiv_ptg000008l_1156-R, Sdiv_ptg000022l_1240-R, Sdiv_ptg000008l_1155-R	Sp4g19490
OG0000165	Sdiv_ptg000002l_0358-R	Sp5g08920
OG0000165	Sdiv_ptg000009l_2724-R, Sdiv_ptg000010l_0560-R	Sp6g22230
OG0000167	Sdiv_ptg000009l_1780-R, Sdiv_ptg000010l_1495-R	Sp6g08130
OG0000167	Sdiv_ptg000014l_1915-R	Sp1g30310
OG0000167	Sdiv_ptg000003l_0556-R, Sdiv_ptg000014l_2651-R	Sp1g20160
OG0000167	Sdiv_ptg000015l_0635-R	Sp5g27070
OG0000168	Sdiv_ptg000011l_0296-R, Sdiv_ptg000012l_1839-R, Sdiv_ptg000013l_0294-R, Sdiv_ptg000001l_0326-R	Sp3g29590
OG0000168	Sdiv_ptg000022l_0050-R, Sdiv_ptg000008l_0061-R	Sp4g00730, Sp7g06330
OG0000169	Sdiv_ptg000009l_2472-R	Sp6g18990
OG0000169	Sdiv_ptg000007l_1071-R	Sp2g15470
OG0000169	Sdiv_ptg000012l_1157-R	Sp2g15450, Sp2g15460
OG0000169	Sdiv_ptg000007l_1074-R	Sp2g15480
OG0000169	Sdiv_ptg000007l_1075-R	Sp2g15630
OG0000170	Sdiv_ptg000004l_1638-R	Sp7g27230
OG0000170	Sdiv_ptg000001l_0088-R	Sp3g33090
OG0000170	Sdiv_ptg000005l_1335-R	Sp7g27220
OG0000170	Sdiv_ptg000011l_0072-R, Sdiv_ptg000013l_0071-R	Sp3g33100
OG0000170	Sdiv_ptg000010l_0867-R, Sdiv_ptg000009l_2417-R	Sp6g18380
OG0000172	Sdiv_ptg000011l_0006-R	Sp7g13710, Sp7g09280, Sp5g17350, Sp1g32780, SpUn1151_0010, Sp3g26060, SpUn0001_0990, Sp5g21660, Sp5g18720, Sp1g32810, Sp1g32790, Sp1g32800, Sp6g08700, Sp3g24390, Sp5g19620, Sp1g31510, Sp6g09110, Sp3g25140, Sp4g07890, Sp1g32540, SpUn0004_0190
OG0000176	Sdiv_ptg000008l_0313-R	Sp4g04800
OG0000176	Sdiv_ptg000010l_2232-R	Sp6g32330
OG0000176	Sdiv_ptg000007l_1549-R	Sp2g22150
OG0000176	Sdiv_ptg000004l_1843-R, Sdiv_ptg000005l_1548-R	Sp7g30170
OG0000177	Sdiv_ptg000003l_0686-R	Sp3g09390
OG0000177	Sdiv_ptg000008l_0251-R, Sdiv_ptg000008l_0256-R	Sp4g03720
OG0000179	Sdiv_ptg000014l_2751-R	Sp1g39310
OG0000179	Sdiv_ptg000022l_1387-R	Sp4g21200
OG0000179	Sdiv_ptg000002l_0273-R	SpUn0962_0010, Sp5g07880
OG0000181	Sdiv_ptg000012l_2048-R, Sdiv_ptg000007l_0311-R	Sp2g05090
OG0000181	Sdiv_ptg000002l_0061-R, Sdiv_ptg000015l_2035-R	Sp5g05110
OG0000181	Sdiv_ptg000008l_1498-R	Sp4g24110
OG0000183	Sdiv_ptg000027l_0048-R	SpUn0035_0040
OG0000185	Sdiv_ptg000010l_1191-R	Sp6g14200
OG0000185	Sdiv_ptg000002l_0160-R	Sp5g06480
OG0000185	Sdiv_ptg000010l_1192-R	Sp6g14190
OG0000186	Sdiv_ptg000001l_1334-R, Sdiv_ptg000013l_1271-R	Sp3g13010
OG0000186	Sdiv_ptg000003l_1850-R, Sdiv_ptg000014l_2804-R	Sp1g40030
OG0000186	Sdiv_ptg000002l_1978-R, Sdiv_ptg000015l_0180-R	Sp5g33660
OG0000186	Sdiv_ptg000014l_1102-R	Sp1g15120
OG0000187	Sdiv_ptg000022l_0767-R	Sp4g15360
OG0000188	Sdiv_ptg000004l_0123-R	Sp7g01710
OG0000188	Sdiv_ptg000004l_0124-R	Sp7g01730
OG0000189	Sdiv_ptg000004l_1072-R	Sp7g19500
OG0000189	Sdiv_ptg000002l_1049-R	Sp5g20740, Sp5g20750
OG0000190	Sdiv_ptg000002l_1569-R	Sp5g27760
OG0000190	Sdiv_ptg000001l_1398-R	Sp3g12140
OG0000190	Sdiv_ptg000003l_0091-R, Sdiv_ptg000014l_2852-R	Sp1g40710
OG0000190	Sdiv_ptg000014l_1147-R, Sdiv_ptg000003l_0214-R	Sp1g15640
OG0000193	Sdiv_ptg000022l_0242-R	Sp4g03710, Sp4g03230, Sp4g03220
OG0000194	Sdiv_ptg000009l_2622-R	Sp6g20830
OG0000194	Sdiv_ptg000008l_0625-R	Sp4g12130
OG0000194	Sdiv_ptg000022l_1456-R, Sdiv_ptg000008l_1351-R	Sp4g22120
OG0000195	Sdiv_ptg000015l_1056-R	Sp7g37060
OG0000197	Sdiv_ptg000003l_2234-R	Sp1g09660
OG0000197	Sdiv_ptg000007l_0222-R	Sp2g03650
OG0000197	Sdiv_ptg000012l_0309-R	Sp2g26740
OG0000197	Sdiv_ptg000010l_2388-R	Sp6g34270
OG0000198	Sdiv_ptg000001l_2226-R	Sp3g01140
OG0000198	Sdiv_ptg000009l_1001-R	Sp6g28580
OG0000198	Sdiv_ptg000007l_1716-R, Sdiv_ptg000012l_0478-R	Sp2g24410
OG0000199	Sdiv_ptg000002l_0364-R	Sp5g09050, Sp5g09060
OG0000200	Sdiv_ptg000010l_0879-R	Sp6g18220
OG0000201	Sdiv_ptg000013l_0838-R	Sp3g18710
OG0000201	Sdiv_ptg000003l_1682-R	Sp1g37780
