Orthogroup	S_parvula	C_amplexicaulis
OG0000017	Sp3g28380	Caamp.1033s1060, Caamp.0019s0102, Caamp.0166s0001
OG0000024	Sp1g27310	Caamp.0007s0457
OG0000029	Sp2g02590, Sp2g02580	Caamp.0097s0046, Caamp.0007s0491, Caamp.0015s0251
OG0000029	Sp2g02610	Caamp.0015s0249
OG0000029	Sp2g02560	Caamp.0015s0259, Caamp.0303s1243, Caamp.0303s1240
OG0000029	Sp2g02600	Caamp.0015s0250
OG0000029	Sp2g02570	Caamp.0303s1244
OG0000029	Sp2g02110	Caamp.0015s0295
OG0000029	Sp2g02100	Caamp.0015s0296
OG0000029	Sp7g03520	Caamp.0044s0296
OG0000029	Sp2g02550	Caamp.0303s1242
OG0000035	SpUn1806_0010	Caamp.0226s0001, Caamp.0203s0001, Caamp.0119s0003, Caamp.0185s0001, Caamp.0045s0002, Caamp.0612s0001, Caamp.0386s0001, Caamp.0007s0555, Caamp.0111s0001, Caamp.0106s0007, Caamp.0085s0003, Caamp.0143s0001, Caamp.0092s0002, Caamp.0127s0003, Caamp.0038s0053, Caamp.0038s0055, Caamp.0085s0005, Caamp.0186s0001, Caamp.0204s0001, Caamp.0278s0001, Caamp.0158s0001, Caamp.0092s0004, Caamp.0204s0002, Caamp.0019s0135, Caamp.0042s0001, Caamp.0501s0001, Caamp.0134s0008, Caamp.0233s0002, Caamp.0131s0001, Caamp.0061s0095, Caamp.0250s0001, Caamp.0117s0001, Caamp.0043s0002, Caamp.0092s0006, Caamp.0270s0002, Caamp.0082s0005, Caamp.0131s0002, Caamp.0019s0133, Caamp.0230s0001, Caamp.0082s0002, Caamp.0218s0001, Caamp.0106s0001, Caamp.0043s0017, Caamp.0111s0002, Caamp.0248s0001, Caamp.0038s0007, Caamp.0106s0010, Caamp.0227s0001, Caamp.0106s0009, Caamp.0075s0020
OG0000036	Sp7g18980	Caamp.0003s0508
OG0000036	Sp2g09180	Caamp.0076s0557, Caamp.0058s0269
OG0000036	Sp5g30900	Caamp.0076s0457, Caamp.0006s0263
OG0000036	Sp6g31390	Caamp.1038s0212, Caamp.1041s1211
OG0000036	Sp2g25870	Caamp.0033s0051, Caamp.1035s0349
OG0000036	Sp5g14830	Caamp.0005s0210, Caamp.0026s0243
OG0000036	Sp2g23430	Caamp.1035s0553, Caamp.0120s0843
OG0000036	Sp4g12280	Caamp.0066s0033, Caamp.0051s0036
OG0000039	Sp6g32510, Sp5g30720, Sp3g29820	Caamp.0190s1307
OG0000039	Sp7g35840	Caamp.0094s0113
OG0000039	Sp7g35830	Caamp.1027s0168
OG0000039	Sp6g31050	Caamp.1041s1244
OG0000039	Sp1g07810	Caamp.0013s0279, Caamp.1038s0387
OG0000039	Sp6g33050	Caamp.0105s0161
OG0000039	Sp2g06530	Caamp.1038s0386
OG0000039	Sp6g33060	Caamp.1035s0110
OG0000040	Sp7g28060	Caamp.0094s0838, Caamp.1041s0429
OG0000040	Sp3g32410	Caamp.0093s0074, Caamp.0095s1233
OG0000040	Sp6g19080	Caamp.1037s1023, Caamp.1040s0653
OG0000040	Sp5g02900	Caamp.0023s0352, Caamp.0095s0322
OG0000040	Sp2g25850	Caamp.0033s0049, Caamp.1035s0351
OG0000040	Sp5g18280	Caamp.0058s0280, Caamp.0055s0019
OG0000040	Sp3g25350	Caamp.0098s0008, Caamp.0113s0021
OG0000040	Sp5g35100	Caamp.0064s0035
OG0000041	Sp5g08630	Caamp.0078s0466
OG0000041	Sp4g19980	Caamp.0102s0287
OG0000041	Sp3g10340	Caamp.0023s0049
OG0000041	Sp1g28660	Caamp.1040s1409, Caamp.0007s0283, Caamp.1033s0895
OG0000041	Sp6g33600	Caamp.1038s0437, Caamp.1041s0990
OG0000041	Sp1g36120	Caamp.0064s0740, Caamp.1041s0760
OG0000041	Sp3g16870	Caamp.0051s0330
OG0000041	Sp6g21050, Sp5g15160	Caamp.0005s0178, Caamp.1040s0465
OG0000046	Sp7g08090, SpUn0007_0170, Sp3g26220, Sp7g12180, Sp4g03130, Sp3g27840, Sp4g08050, Sp1g33350, Sp5g18990, Sp7g11840, Sp2g05510, Sp1g32640, Sp2g07350, Sp5g19080, Sp2g07140, Sp7g11660, SpUn0002_0260, Sp4g08110, Sp6g35200, Sp1g31670, Sp2g08200, Sp5g19070, Sp3g26800, Sp3g28050, Sp1g33280, SpUn0094_0020, Sp7g08100, Sp3g24640, Sp6g12110, Sp2g07090, Sp5g17870, Sp5g17680, Sp7g08780, Sp7g09160, Sp6g10170, Sp4g04560, Sp7g09080, Sp4g09320, Sp5g17600, Sp3g25980, Sp7g04550, Sp3g24910	Caamp.0020s0069
OG0000047	Sp4g05160, Sp4g02360, SpUn0005_0180, SpUn0007_0130, SpUn0013_0030, Sp1g31200, Sp7g08350, Sp5g19660, Sp3g26530, Sp7g06320, Sp6g09400, Sp1g31770, Sp1g36550, Sp3g23670, Sp6g09740, SpUn0002_0670, Sp1g34290, Sp7g01850, Sp3g27520, Sp2g06140, Sp4g07030, SpUn0005_0190, Sp6g09750, Sp5g19650, Sp5g17390, Sp4g06480, Sp4g08150, Sp7g02850, Sp7g08990, Sp2g06330, Sp5g17740, Sp3g28000, Sp1g31210, SpUn1097_0010, Sp7g06300, Sp5g20470, Sp7g07680, Sp5g17400, SpUn0166_0010	Caamp.0068s0045
OG0000048	Sp7g06753	Caamp.0097s0775, Caamp.0019s0069
OG0000048	Sp4g07470	Caamp.1039s1596, Caamp.0001s0265, Caamp.1037s1710, Caamp.0007s0507, Caamp.0064s0328
OG0000048	Sp6g11565	Caamp.0011s0199
OG0000048	Sp2g05375	Caamp.0002s0126, Caamp.0027s0009, Caamp.0029s0061, Caamp.0016s0102, Caamp.0190s1156, Caamp.0011s0236, Caamp.0094s0850, Caamp.0097s1009, Caamp.0076s1198, Caamp.0102s0995, Caamp.0004s0109, Caamp.0009s0064, Caamp.0097s0914, Caamp.0116s0001, Caamp.0011s0074, Caamp.1040s1494, Caamp.0003s0692, Caamp.0011s0069, Caamp.0097s0271, Caamp.0061s0052, Caamp.0055s0021, Caamp.1040s1495, Caamp.0058s0229, Caamp.0058s0032
OG0000049	Sp6g26270	Caamp.1036s0056, Caamp.1036s0064
OG0000049	Sp6g26250	Caamp.1036s0061, Caamp.1036s0058, Caamp.1037s0323, Caamp.1037s0321
OG0000049	Sp4g00370	Caamp.1039s0027
OG0000049	Sp4g00380	Caamp.0094s0006, Caamp.1027s0058
OG0000049	Sp6g26260	Caamp.1036s0052, Caamp.1036s0060, Caamp.1037s0319, Caamp.1037s0320
OG0000049	Sp6g26280	Caamp.1036s0062, Caamp.1036s0057, Caamp.1036s0063, Caamp.1036s0053, Caamp.1037s0324, Caamp.1037s0328
OG0000050	Sp3g21330, Sp7g09760, Sp4g09450, Sp3g26380, Sp7g26700, Sp3g29680, SpUn0030_0070, Sp3g31760, Sp7g10630, Sp7g05470, Sp7g06400, Sp7g08450, Sp7g03320, Sp6g10060, Sp7g04130, Sp4g06170, Sp7g07740, Sp3g29630, Sp7g10930, Sp6g07800, Sp7g10230, Sp7g07530, Sp3g23930, Sp5g17770, Sp6g09390, Sp6g07660, Sp3g28720, Sp7g05980, Sp4g06470, Sp2g22320, Sp2g01850, Sp6g16700, Sp5g20730, Sp1g29090, Sp1g31130, SpUn0002_0700, Sp2g06260	Caamp.0034s0017
OG0000051	SpUn1341_0010, Sp4g09010, SpUn0004_0170	Caamp.0064s0463
OG0000052	Sp6g08240, Sp4g09630	Caamp.0034s0071, Caamp.0008s0025
OG0000053	Sp5g15617	Caamp.1039s1677, Caamp.1041s1716, Caamp.0087s0007, Caamp.0102s0790, Caamp.0051s0069, Caamp.0086s0032, Caamp.0026s0024, Caamp.1040s1428, Caamp.1040s1342, Caamp.1040s1341, Caamp.0008s0165, Caamp.0014s0050, Caamp.0105s0044, Caamp.0005s0315, Caamp.0190s1144, Caamp.1040s1311, Caamp.0009s0007, Caamp.0036s0037, Caamp.0129s0056, Caamp.0102s0807, Caamp.0097s0111, Caamp.0097s0937, Caamp.0101s0147, Caamp.1041s0821, Caamp.0015s0004, Caamp.0002s0123, Caamp.1037s1632, Caamp.0102s0260, Caamp.0064s0420, Caamp.0080s0001, Caamp.0028s0061, Caamp.0011s0068, Caamp.0080s0002, Caamp.0139s0011, Caamp.0001s0356, Caamp.0037s0534, Caamp.0022s0139
OG0000054	Sp4g11600	Caamp.1037s0799, Caamp.0024s0493, Caamp.0105s0771, Caamp.0078s0468, Caamp.0101s0018
OG0000054	Sp5g15350	Caamp.0097s0206
OG0000054	Sp4g19900	Caamp.0024s0473
OG0000054	Sp6g21360	Caamp.1040s0411
OG0000054	Sp1g06390	Caamp.1037s0770
OG0000055	Sp7g01830	Caamp.0044s0162
OG0000055	Sp4g02040	Caamp.0010s0305
OG0000055	Sp4g02060	Caamp.0010s0303
OG0000055	Sp4g02020	Caamp.1039s0181
OG0000055	Sp3g08720	Caamp.0214s0094
OG0000055	SpUn0245_0010	Caamp.0076s0236
OG0000055	Sp1g26630	Caamp.0007s0098
OG0000055	SpUn0042_0020, Sp4g02000	Caamp.1039s0166, Caamp.1039s0167
OG0000055	Sp4g01860, Sp4g01990, Sp6g27530, Sp3g10450	Caamp.1039s0182
OG0000056	Sp5g05790, Sp4g23420	Caamp.1039s0465
OG0000056	Sp5g17420	Caamp.1040s0256, Caamp.0097s0059
OG0000056	Sp6g23330	Caamp.1037s0608
OG0000056	Sp7g04290, Sp5g21490	Caamp.0097s0795, Caamp.1036s0547, Caamp.0006s0598, Caamp.0002s0130
OG0000056	Sp4g08270	Caamp.0034s0070, Caamp.0060s0029
OG0000057	Sp6g15450	Caamp.1037s1388, Caamp.1040s1049
OG0000057	Sp7g25920	Caamp.0094s1048, Caamp.0190s0240
OG0000057	Sp3g07130	Caamp.0214s0240, Caamp.0078s0733
OG0000057	Sp3g29980	Caamp.0026s0645, Caamp.0190s1329
OG0000057	Sp6g18000	Caamp.1040s0766, Caamp.1037s1131
OG0000057	Sp7g00370	Caamp.1041s0031, Caamp.0044s0014
OG0000057	Sp2g00510	Caamp.0266s0039
OG0000058	Sp7g29450	Caamp.0051s0162
OG0000058	Sp3g21250	Caamp.1037s1656
OG0000059	Sp1g31020	Caamp.1041s0877, Caamp.1040s1432, Caamp.0004s0135, Caamp.0044s0298, Caamp.0097s0424, Caamp.0013s0087, Caamp.0026s0168, Caamp.0102s0698, Caamp.0010s0050, Caamp.0012s0111, Caamp.0008s0070, Caamp.0005s0089, Caamp.1040s1375, Caamp.0004s0326, Caamp.0097s0533, Caamp.0010s0340, Caamp.0004s0141, Caamp.0101s0165, Caamp.0011s0157, Caamp.1033s0439, Caamp.0013s0088, Caamp.0004s0325, Caamp.0027s0092, Caamp.0004s0136, Caamp.0058s0302, Caamp.0011s0128, Caamp.0101s0195, Caamp.0097s1074, Caamp.1037s1634, Caamp.0035s0090, Caamp.0016s0104, Caamp.1040s1374, Caamp.0005s0088, Caamp.0011s0093
OG0000060	SpUn0040_0007	Caamp.0082s0004, Caamp.0043s0033, Caamp.0092s0005, Caamp.0043s0021, Caamp.0078s0614, Caamp.0146s0001, Caamp.0025s0003, Caamp.0286s0001, Caamp.0030s0017, Caamp.0257s0001, Caamp.0382s0001, Caamp.0361s0001, Caamp.0042s0034, Caamp.0004s0179, Caamp.0004s0234, Caamp.0035s0203, Caamp.0020s0002, Caamp.0063s0030, Caamp.0014s0009, Caamp.0011s0206, Caamp.0019s0018, Caamp.0149s0001, Caamp.0021s0046, Caamp.0016s0097, Caamp.0036s0031, Caamp.0102s0977, Caamp.0102s0984, Caamp.0035s0171, Caamp.0014s0008, Caamp.0175s0001, Caamp.0092s0010, Caamp.0004s0233, Caamp.0029s0004, Caamp.0035s0034, Caamp.0036s0030
OG0000061	Sp1g30605	Caamp.1033s0963, Caamp.0097s0824, Caamp.0049s0020, Caamp.0007s0255, Caamp.0021s0052
OG0000062	Sp5g22490	Caamp.0105s0485
OG0000062	Sp4g12680	Caamp.0013s0068
OG0000065	Sp4g09210, Sp4g09480, Sp4g06010, Sp4g05850, Sp5g18725, SpUn0001_0630, Sp7g06160, Sp4g06030, SpUn1206_0010, SpUn0003_0170, Sp2g13780, Sp1g31350, Sp7g07620, Sp7g09810, Sp5g18930, SpUn0054_0020, SpUn0007_0160, Sp5g18700, Sp4g06400, SpUn0001_0660, Sp3g25440, SpUn0001_0460, Sp5g18200, Sp2g05060, Sp6g08730, Sp1g33010, Sp4g09500, Sp4g06020, Sp1g30400, SpUn0089_0010, SpUn0001_0790, Sp7g06740, SpUn0396_0010, Sp7g07610	Caamp.0068s0013
OG0000068	Sp3g20980	Caamp.0076s1268
OG0000069	Sp4g29160	Caamp.1031s0859, Caamp.0023s0535, Caamp.0018s0288
OG0000069	Sp1g09310	Caamp.0015s0113
OG0000069	Sp2g04250	Caamp.0188s0297
