Orthogroup	S_parvula	E_salsugineum
OG0000062	Sp5g22490	Thhalv10017704m.g, Thhalv10017764m.g, Thhalv10016945m.g, Thhalv10017616m.g, Thhalv10016904m.g, Thhalv10017911m.g, Thhalv10017748m.g, Thhalv10017591m.g, Thhalv10017512m.g, Thhalv10017708m.g, Thhalv10017778m.g, Thhalv10017773m.g, Thhalv10017621m.g, Thhalv10017515m.g, Thhalv10017955m.g, Thhalv10015844m.g, Thhalv10029520m.g, Thhalv10029145m.g, Thhalv10029437m.g, Thhalv10029470m.g, Thhalv10029154m.g, Thhalv10029317m.g, Thhalv10027506m.g, Thhalv10029266m.g, Thhalv10029517m.g, Thhalv10029396m.g
OG0000062	Sp4g12680	Thhalv10017648m.g, Thhalv10017894m.g, Thhalv10002293m.g, Thhalv10017533m.g, Thhalv10029170m.g
OG0000068	Sp3g20980	Thhalv10027065m.g, Thhalv10027302m.g, Thhalv10026777m.g, Thhalv10027325m.g, Thhalv10026752m.g, Thhalv10022314m.g, Thhalv10021944m.g, Thhalv10022355m.g, Thhalv10022208m.g, Thhalv10021905m.g, Thhalv10022428m.g
OG0000068	Sp7g36320	Thhalv10001110m.g, Thhalv10009657m.g, Thhalv10002574m.g, Thhalv10029143m.g, Thhalv10009983m.g, Thhalv10009365m.g, Thhalv10029416m.g
OG0000069	Sp4g29160	Thhalv10001656m.g
OG0000069	Sp1g09310	Thhalv10008885m.g
OG0000069	Sp5g25560	Thhalv10019096m.g
OG0000069	Sp6g29370	Thhalv10014797m.g
OG0000070	Sp1g24360	Thhalv10024050m.g, Thhalv10023923m.g, Thhalv10026528m.g, Thhalv10009721m.g, Thhalv10014078m.g
OG0000070	Sp1g35030	Thhalv10014092m.g
OG0000070	Sp2g14580	Thhalv10004760m.g
OG0000071	Sp7g33730	Thhalv10026296m.g
OG0000071	Sp3g29990	Thhalv10022857m.g
OG0000071	Sp7g32780	Thhalv10026291m.g
OG0000071	Sp1g17860	Thhalv10008827m.g
OG0000071	Sp5g30980	Thhalv10019171m.g
OG0000071	Sp3g31210	Thhalv10022861m.g
OG0000072	Sp7g15310	Thhalv10008362m.g
OG0000072	Sp4g12160, Sp4g12090	Thhalv10017639m.g, Thhalv10017909m.g, Thhalv10017057m.g
OG0000072	Sp4g12080	Thhalv10017079m.g
OG0000072	Sp4g12085	Thhalv10017118m.g
OG0000074	Sp7g20170	Thhalv10026531m.g
OG0000074	Sp2g02520	Thhalv10023763m.g
OG0000074	Sp7g15090	Thhalv10026582m.g
OG0000074	SpUn0031_0100, Sp4g27220, Sp5g02600	Thhalv10006314m.g
OG0000077	Sp3g10720	Thhalv10020257m.g
OG0000077	Sp1g14350	Thhalv10007031m.g
OG0000077	Sp3g07820	Thhalv10020258m.g
OG0000077	Sp2g05640	Thhalv10002169m.g
OG0000077	Sp6g40010	Thhalv10012922m.g
OG0000077	SpUn0364_0020, SpUn0328_0010, Sp6g40020	Thhalv10023343m.g
OG0000079	Sp5g16780	Thhalv10017677m.g
OG0000079	Sp1g32550, Sp3g24930, Sp6g07630, Sp5g17790, SpUn0004_0250	Thhalv10023116m.g, Thhalv10023972m.g
OG0000079	Sp3g26345	Thhalv10029155m.g, Thhalv10009474m.g, Thhalv10009460m.g
OG0000079	Sp5g25877, Sp5g18880	Thhalv10011978m.g
OG0000080	Sp4g11580	Thhalv10017370m.g
OG0000080	Sp6g22520	Thhalv10014958m.g
OG0000080	Sp5g08710	Thhalv10010811m.g
OG0000080	Sp3g07850	Thhalv10017408m.g
OG0000080	Sp6g21620	Thhalv10014927m.g
OG0000081	Sp2g09620	Thhalv10001203m.g, Thhalv10000757m.g
OG0000081	Sp5g16600, Sp5g16390	Thhalv10002388m.g
OG0000081	Sp1g34070	Thhalv10012566m.g
OG0000081	SpUn1871_0010	Thhalv10017653m.g, Thhalv10028397m.g, Thhalv10011081m.g
OG0000082	Sp6g08490, Sp7g02990, Sp7g10260, Sp1g29910	Thhalv10015932m.g
OG0000082	SpUn0117_0030, Sp7g02980, Sp7g25140, Sp4g09020, Sp2g07510, Sp5g12970, Sp3g26190, Sp1g32690, Sp5g18470, Sp2g06740, Sp6g11170, Sp4g06360, Sp7g11310, Sp1g33720, Sp7g11640, Sp5g16050, Sp3g32500, Sp3g25190	Thhalv10022508m.g
OG0000082	Sp5g19960, Sp5g19390	Thhalv10023887m.g, Thhalv10019515m.g, Thhalv10011148m.g
OG0000083	Sp4g05790	Thhalv10005465m.g, Thhalv10003490m.g, Thhalv10023960m.g, Thhalv10029165m.g, Thhalv10002331m.g, Thhalv10000670m.g, Thhalv10017605m.g, Thhalv10028075m.g, Thhalv10001854m.g, Thhalv10028180m.g, Thhalv10000453m.g, Thhalv10002231m.g
OG0000083	Sp6g18960	Thhalv10003494m.g, Thhalv10019721m.g, Thhalv10029405m.g, Thhalv10024129m.g, Thhalv10002326m.g, Thhalv10002835m.g, Thhalv10002209m.g, Thhalv10019636m.g, Thhalv10011157m.g, Thhalv10023022m.g, Thhalv10023819m.g, Thhalv10023927m.g, Thhalv10011015m.g, Thhalv10027466m.g, Thhalv10000609m.g
OG0000086	Sp7g12400, Sp3g28520, Sp7g03450	Thhalv10000583m.g, Thhalv10000646m.g, Thhalv10000580m.g
OG0000087	Sp6g01970	Thhalv10008842m.g
OG0000087	Sp1g01620	Thhalv10028985m.g
OG0000087	Sp5g00940	Thhalv10006249m.g
OG0000087	Sp1g07800	Thhalv10008843m.g
OG0000087	Sp2g06570, Sp2g06540	Thhalv10023704m.g, Thhalv10023657m.g, Thhalv10002861m.g
OG0000088	Sp5g15690	Thhalv10012196m.g, Thhalv10009528m.g, Thhalv10009889m.g, Thhalv10007210m.g, Thhalv10012915m.g, Thhalv10012175m.g, Thhalv10027008m.g, Thhalv10005296m.g, Thhalv10005411m.g, Thhalv10005293m.g, Thhalv10003740m.g, Thhalv10003754m.g, Thhalv10003743m.g, Thhalv10003761m.g, Thhalv10003760m.g, Thhalv10000809m.g, Thhalv10016311m.g, Thhalv10027103m.g, Thhalv10029207m.g, Thhalv10012912m.g, Thhalv10029489m.g, Thhalv10012095m.g, Thhalv10002432m.g
OG0000089	Sp1g29890	Thhalv10001833m.g
OG0000089	Sp5g33420	Thhalv10019018m.g
OG0000089	Sp6g08640	Thhalv10028882m.g
OG0000089	Sp3g01550	Thhalv10021346m.g
OG0000089	Sp6g28080	Thhalv10014395m.g
OG0000089	Sp7g03570	Thhalv10026668m.g, Thhalv10002216m.g, Thhalv10027400m.g
OG0000090	Sp5g29320	Thhalv10018813m.g
OG0000090	Sp2g03700	Thhalv10023824m.g
OG0000090	Sp2g03720	Thhalv10023882m.g
OG0000090	Sp1g16560	Thhalv10001141m.g, Thhalv10008073m.g
OG0000090	Sp5g29330	Thhalv10018795m.g
OG0000094	Sp6g08450, Sp1g34520, Sp4g06100, Sp3g33160	Thhalv10005664m.g
OG0000094	Sp4g04930, Sp2g06190, Sp1g38880, Sp1g25350, SpUn0001_0110, SpUn0001_0020, SpUn0004_0210, Sp7g08960, Sp4g06720, SpUn0001_0710, Sp1g38870, Sp5g12470, Sp4g07410, Sp5g19310, Sp1g32880, Sp4g04330, Sp7g05970, Sp7g09710, Sp4g09560, Sp4g08780, Sp5g19370, Sp4g04140, Sp1g31060	Thhalv10009492m.g
OG0000096	Sp2g09700	Thhalv10000750m.g, Thhalv10010076m.g, Thhalv10027412m.g, Thhalv10012486m.g
OG0000096	Sp2g10050	Thhalv10001215m.g
OG0000096	Sp2g10140	Thhalv10001233m.g
OG0000096	Sp2g10100	Thhalv10000747m.g
OG0000096	Sp2g10070	Thhalv10000751m.g
OG0000096	Sp2g10150, Sp2g10160	Thhalv10000021m.g
OG0000097	Sp1g00700	Thhalv10008397m.g
OG0000097	Sp7g21310	Thhalv10025910m.g
OG0000097	Sp4g28030	Thhalv10001573m.g
OG0000097	Sp6g00460	Thhalv10028860m.g
OG0000099	Sp5g21260	Thhalv10018774m.g
OG0000099	Sp6g27590	Thhalv10013948m.g
OG0000099	Sp3g15940	Thhalv10021026m.g
OG0000099	Sp1g35420	Thhalv10011613m.g
OG0000099	Sp7g04500	Thhalv10027817m.g
OG0000100	Sp5g16920, SpUn0001_0800, Sp3g33810, Sp7g04240, Sp6g04560, Sp7g04070, Sp1g29450, Sp1g31030, Sp7g12620, Sp2g06040, Sp5g17950, Sp3g29490, SpUn0431_0020, SpUn0738_0010, Sp6g00200, Sp3g33800, Sp4g11850, Sp4g02440, Sp5g26950, Sp3g29360, Sp1g32350, Sp3g24950, Sp7g05880, Sp7g08950, Sp6g07960, SpUn0002_0800	Thhalv10003060m.g
OG0000102	Sp4g05230, Sp5g15340, Sp6g02770, Sp7g06810, Sp1g34970, Sp6g09910, Sp5g15330, Sp5g22230, Sp4g09550, Sp3g29290, Sp7g13120, Sp6g09830, Sp3g27390, Sp6g12310, Sp7g03430, Sp4g03790, Sp6g12280, Sp5g12335, Sp5g18510, Sp5g20970, SpUn1230_0010, SpUn0001_0280, Sp1g34960, Sp5g21390, SpUn0146_0040, Sp5g16930	Thhalv10026773m.g
OG0000112	Sp1g24800	Thhalv10008739m.g
OG0000112	Sp3g13260	Thhalv10020713m.g
OG0000112	Sp7g15600	Thhalv10026206m.g
OG0000112	Sp4g16300	Thhalv10017739m.g
OG0000114	Sp5g15590	Thhalv10002704m.g
OG0000114	Sp6g21590	Thhalv10014975m.g
OG0000114	Sp5g15610	Thhalv10002714m.g
OG0000114	Sp7g23620	Thhalv10026532m.g
OG0000115	Sp5g13400, Sp2g00920	Thhalv10018052m.g
OG0000115	Sp2g00800	Thhalv10023230m.g
OG0000115	Sp2g03800	Thhalv10023894m.g, Thhalv10023232m.g
OG0000115	Sp2g00780	Thhalv10000023m.g, Thhalv10027634m.g
OG0000117	Sp1g40790	Thhalv10012315m.g
OG0000117	Sp3g11970	Thhalv10022000m.g
OG0000117	Sp4g03110	Thhalv10000079m.g
OG0000117	Sp2g22430	Thhalv10003800m.g
OG0000117	Sp6g32620	Thhalv10012938m.g
OG0000118	Sp7g09290	Thhalv10023094m.g
OG0000120	Sp6g17850	Thhalv10012832m.g
OG0000120	Sp6g14810	Thhalv10012817m.g
OG0000120	Sp1g26840, Sp7g24520	Thhalv10024564m.g, Thhalv10024561m.g
OG0000121	Sp6g16160	Thhalv10014191m.g, Thhalv10022510m.g, Thhalv10015557m.g
OG0000121	Sp6g11720	Thhalv10022155m.g
OG0000121	Sp3g17640	Thhalv10021915m.g
OG0000123	Sp3g30360	Thhalv10023068m.g
OG0000123	Sp3g30390	Thhalv10022962m.g
OG0000123	Sp7g32970	Thhalv10027348m.g
OG0000123	Sp7g32960	Thhalv10026047m.g
OG0000123	Sp3g30350	Thhalv10023198m.g
OG0000128	Sp4g07220	Thhalv10002239m.g, Thhalv10002251m.g, Thhalv10002278m.g, Thhalv10002207m.g, Thhalv10002291m.g, Thhalv10002243m.g, Thhalv10002224m.g, Thhalv10002250m.g, Thhalv10002265m.g, Thhalv10002305m.g, Thhalv10002170m.g, Thhalv10002222m.g, Thhalv10002294m.g, Thhalv10002202m.g, Thhalv10002218m.g, Thhalv10002276m.g, Thhalv10002161m.g, Thhalv10002263m.g, Thhalv10002260m.g, Thhalv10002163m.g, Thhalv10002325m.g, Thhalv10002277m.g, Thhalv10002314m.g, Thhalv10002255m.g, Thhalv10002198m.g
OG0000129	Sp7g03745	Thhalv10029194m.g
OG0000129	Sp6g10470, Sp4g06690, Sp2g02350, Sp6g06080, Sp7g04630, Sp1g34110, Sp5g28990	Thhalv10026817m.g, Thhalv10009777m.g
OG0000129	Sp1g21910, SpUn0001_0970, Sp5g14340, SpUn0003_0140	Thhalv10009535m.g
OG0000131	SpUn0004_0280, Sp1g31610, Sp2g06090	Thhalv10028038m.g, Thhalv10003482m.g, Thhalv10003128m.g, Thhalv10012392m.g, Thhalv10001264m.g, Thhalv10002254m.g, Thhalv10002187m.g, Thhalv10001266m.g, Thhalv10022984m.g, Thhalv10002304m.g, Thhalv10005702m.g, Thhalv10023191m.g
OG0000132	SpUn0018_0010, Sp4g21660	Thhalv10016300m.g
OG0000132	Sp5g07330	Thhalv10010146m.g
OG0000132	Sp6g30450	Thhalv10012786m.g
OG0000132	Sp5g07320	Thhalv10010176m.g
OG0000132	Sp4g19670	Thhalv10016295m.g
OG0000132	Sp5g08820	Thhalv10010147m.g
OG0000133	Sp4g21310	Thhalv10016497m.g
OG0000133	Sp5g07750	Thhalv10003187m.g, Thhalv10003182m.g, Thhalv10003186m.g, Thhalv10003184m.g, Thhalv10003336m.g, Thhalv10003340m.g, Thhalv10003183m.g, Thhalv10003348m.g, Thhalv10016483m.g, Thhalv10010274m.g
OG0000135	Sp3g28690	Thhalv10022636m.g
OG0000135	Sp1g12430	Thhalv10009946m.g
OG0000135	Sp1g12420	Thhalv10007297m.g
OG0000135	Sp1g12450, Sp1g12440	Thhalv10009405m.g
OG0000138	Sp6g28610	Thhalv10013414m.g
OG0000138	Sp2g17950	Thhalv10004110m.g
OG0000138	Sp7g02670	Thhalv10027800m.g
OG0000138	Sp1g22210	Thhalv10010007m.g
OG0000141	Sp4g01790	Thhalv10000161m.g
OG0000141	SpUn0137_0045	Thhalv10020718m.g, Thhalv10011471m.g, Thhalv10013523m.g, Thhalv10013521m.g
OG0000146	Sp6g01690	Thhalv10028715m.g, Thhalv10027815m.g
OG0000146	Sp4g29070	Thhalv10001487m.g
OG0000146	Sp4g19160	Thhalv10016774m.g
OG0000146	Sp3g15570	Thhalv10020887m.g
OG0000147	Sp4g00350	Thhalv10000727m.g
OG0000147	Sp1g17760	Thhalv10008458m.g
OG0000147	Sp5g30870	Thhalv10018988m.g
OG0000147	Sp7g37030	Thhalv10025877m.g
OG0000148	Sp7g32500	Thhalv10026432m.g
OG0000148	Sp7g36920	Thhalv10026433m.g
OG0000148	Sp1g17700, Sp5g30740	Thhalv10008949m.g
OG0000149	Sp1g22530	Thhalv10006594m.g, Thhalv10011905m.g
OG0000149	Sp5g23810	Thhalv10018025m.g
OG0000149	Sp2g14890	Thhalv10003538m.g
OG0000149	SpUn0138_0010, Sp1g11730	Thhalv10006589m.g
OG0000150	Sp1g38480	Thhalv10011228m.g
OG0000150	Sp3g19400	Thhalv10020016m.g
OG0000150	Sp4g10470	Thhalv10011224m.g
OG0000150	Sp4g11810	Thhalv10017541m.g, Thhalv10016227m.g
OG0000150	Sp1g38470	Thhalv10011227m.g
OG0000151	Sp5g13500	Thhalv10011126m.g
OG0000152	Sp6g21520	Thhalv10014643m.g
OG0000152	Sp5g08740	Thhalv10010710m.g
OG0000152	Sp3g08250	Thhalv10021492m.g
OG0000152	Sp6g39230	Thhalv10014465m.g
OG0000152	Sp5g15550	Thhalv10002663m.g
OG0000153	Sp6g19250, Sp6g19260	Thhalv10014326m.g
OG0000153	Sp7g23830	Thhalv10025720m.g
OG0000153	Sp7g28170, SpUN0954_0010	Thhalv10025803m.g
OG0000154	Sp3g14450	Thhalv10021533m.g
OG0000154	Sp1g38810	Thhalv10011782m.g
OG0000154	Sp1g36180	Thhalv10011767m.g
OG0000154	Sp3g16910	Thhalv10021531m.g
OG0000155	Sp1g09440, Sp1g05850	Thhalv10008003m.g, Thhalv10011525m.g, Thhalv10012025m.g
OG0000162	Sp7g18810	Thhalv10025334m.g
OG0000162	Sp2g09290	Thhalv10000899m.g
OG0000162	Sp1g26520	Thhalv10007740m.g
OG0000165	Sp4g19490	Thhalv10017041m.g
OG0000165	Sp5g08920	Thhalv10010598m.g
OG0000165	Sp6g22230	Thhalv10014299m.g
OG0000166	Sp7g11380	Thhalv10018463m.g, Thhalv10001170m.g, Thhalv10000551m.g, Thhalv10012036m.g, Thhalv10001211m.g, Thhalv10000813m.g, Thhalv10011360m.g, Thhalv10012244m.g, Thhalv10012084m.g, Thhalv10000829m.g, Thhalv10002351m.g, Thhalv10005834m.g, Thhalv10022693m.g, Thhalv10022611m.g, Thhalv10023009m.g, Thhalv10022238m.g, Thhalv10015310m.g
OG0000167	Sp6g08130	Thhalv10028553m.g
OG0000167	Sp1g30310	Thhalv10001814m.g
OG0000167	Sp1g20160	Thhalv10007305m.g
OG0000167	Sp5g27070	Thhalv10019647m.g
OG0000168	Sp7g32340	Thhalv10028004m.g
OG0000169	Sp6g18990	Thhalv10013314m.g
OG0000169	Sp2g15470	Thhalv10004078m.g
OG0000169	Sp2g15450, Sp2g15460	Thhalv10004070m.g
OG0000169	Sp2g15480	Thhalv10004036m.g
OG0000169	Sp2g15630	Thhalv10004067m.g
OG0000171	Sp1g20930	Thhalv10010008m.g
OG0000171	Sp1g20950	Thhalv10008486m.g
OG0000171	Sp6g05890	Thhalv10028680m.g
OG0000171	Sp1g21010	Thhalv10008632m.g
OG0000171	Sp1g21070, Sp1g21060	Thhalv10009581m.g
OG0000171	Sp1g21090, Sp1g21100, Sp1g21040, Sp1g21050, Sp1g21000	Thhalv10010034m.g
OG0000171	Sp1g20940, Sp1g21080	Thhalv10008736m.g
OG0000176	Sp4g04800	Thhalv10000222m.g
OG0000176	Sp6g32330	Thhalv10013985m.g
OG0000176	Sp2g22150	Thhalv10004502m.g
OG0000176	Sp7g30170	Thhalv10025602m.g
OG0000177	Sp3g09390	Thhalv10022336m.g
OG0000177	Sp4g03720	Thhalv10000515m.g
OG0000177	Sp4g03630	Thhalv10028330m.g
OG0000179	Sp1g39310	Thhalv10011855m.g
OG0000179	Sp3g13890	Thhalv10021747m.g
OG0000179	Sp4g21200	Thhalv10017405m.g
OG0000179	SpUn0962_0010, Sp5g07880	Thhalv10010813m.g
OG0000181	Sp1g08720	Thhalv10008441m.g
OG0000181	Sp2g05090	Thhalv10017049m.g, Thhalv10023768m.g, Thhalv10023633m.g
OG0000181	Sp5g05110	Thhalv10006149m.g
OG0000183	Sp7g03360	Thhalv10009959m.g
OG0000183	SpUn0035_0040	Thhalv10028128m.g, Thhalv10028237m.g
OG0000183	Sp7g03470	Thhalv10027772m.g
OG0000184	Sp6g22130	Thhalv10003076m.g, Thhalv10002768m.g, Thhalv10003010m.g, Thhalv10002959m.g
OG0000184	Sp1g40760	Thhalv10012111m.g
OG0000185	Sp6g14200	Thhalv10013065m.g
OG0000185	Sp5g06470	Thhalv10005870m.g
OG0000185	Sp5g06480	Thhalv10015735m.g
OG0000185	Sp6g14190, Sp6g14180	Thhalv10015625m.g
OG0000186	Sp3g13010	Thhalv10020227m.g
OG0000186	Sp1g40030	Thhalv10011290m.g
OG0000186	Sp5g33660	Thhalv10018232m.g
OG0000187	Sp4g15360	Thhalv10016223m.g
OG0000187	Sp4g14900	Thhalv10010006m.g
OG0000187	Sp4g15390, Sp4g15400	Thhalv10016267m.g
OG0000187	Sp4g15410	Thhalv10016279m.g
OG0000188	Sp7g01740	Thhalv10027820m.g
OG0000188	Sp7g01710, Sp7g01720	Thhalv10027803m.g
OG0000188	Sp7g01730	Thhalv10027960m.g, Thhalv10027804m.g
