genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2
S_diversifolius,S_diversifolius,ptg000002l,ptg000002l,S_diversifolius S_diversifolius selfBlk ptg000002l,82680,20893738,2311,4463,2_2310,2_4462,2152,82680,20893738,2311,4463,2_2310,2_4462,2152,+,82680,20893738,2311,4463,2_2310,2_4462
S_diversifolius,S_diversifolius,ptg000002l,ptg000015l,S_diversifolius_vs_S_diversifolius: 11,11781620,12791212,3310,3330,2_3309,2_3329,7,7554541,8710613,30536,30556,2_30535,2_30555,7,+,7554541,8710613,30536,30556,2_30535,2_30555
S_diversifolius,S_diversifolius,ptg000002l,ptg000015l,S_diversifolius_vs_S_diversifolius: 154,11781620,12791212,3310,3330,2_3309,2_3329,7,7554541,8710613,30536,30556,2_30535,2_30555,7,+,7554541,8710613,30536,30556,2_30535,2_30555
S_diversifolius,S_diversifolius,ptg000003l,ptg000003l,S_diversifolius S_diversifolius selfBlk ptg000003l,3563,25800879,4464,7423,2_4463,2_7422,2956,3563,25800879,4464,7423,2_4463,2_7422,2956,+,3563,25800879,4464,7423,2_4463,2_7422
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 133,25020824,25127297,7238,7263,2_7237,2_7262,13,1076837,1180314,26635,26660,2_26634,2_26659,13,+,1076837,1180314,26635,26660,2_26634,2_26659
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 135,21407629,22501891,6582,6811,2_6581,2_6810,100,2972980,4274546,27061,27281,2_27060,2_27280,100,+,2972980,4274546,27061,27281,2_27060,2_27280
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 137,21108377,21272544,6522,6546,2_6521,2_6545,13,4400332,4568979,27309,27342,2_27308,2_27341,13,+,4400332,4568979,27309,27342,2_27308,2_27341
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 139,537670,2881232,4588,4970,2_4587,2_4969,165,5449203,7297831,27534,27929,2_27533,2_27928,165,+,5449203,7297831,27534,27929,2_27533,2_27928
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 141,17612236,17846066,5917,5940,2_5916,2_5939,12,8730058,8920451,28176,28200,2_28175,2_28199,12,+,8730058,8920451,28176,28200,2_28175,2_28199
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 145,5766683,5830812,5464,5477,2_5463,2_5476,6,22421015,22496700,28644,28661,2_28643,2_28660,6,+,22421015,22496700,28644,28661,2_28643,2_28660
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 147,4476521,4537388,5251,5273,2_5250,2_5272,10,23676566,23731198,28861,28879,2_28860,2_28878,10,+,23676566,23731198,28861,28879,2_28860,2_28878
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 149,19550890,20236460,6195,6336,2_6194,2_6335,53,25236298,26043715,29172,29304,2_29171,2_29303,53,+,25236298,26043715,29172,29304,2_29171,2_29303
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 16,537670,2881232,4588,4970,2_4587,2_4969,165,5449203,7297831,27534,27929,2_27533,2_27928,165,+,5449203,7297831,27534,27929,2_27533,2_27928
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 18,4476521,4537388,5251,5273,2_5250,2_5272,10,23676566,23731198,28861,28879,2_28860,2_28878,10,+,23676566,23731198,28861,28879,2_28860,2_28878
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 20,5766683,5830812,5464,5477,2_5463,2_5476,6,22421015,22496700,28644,28661,2_28643,2_28660,6,+,22421015,22496700,28644,28661,2_28643,2_28660
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 23,17612236,17846066,5917,5940,2_5916,2_5939,12,8730058,8920451,28176,28200,2_28175,2_28199,12,+,8730058,8920451,28176,28200,2_28175,2_28199
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 25,19550890,20236460,6195,6336,2_6194,2_6335,53,25236298,26043715,29172,29304,2_29171,2_29303,53,+,25236298,26043715,29172,29304,2_29171,2_29303
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 27,21108377,21272544,6522,6546,2_6521,2_6545,13,4400332,4568979,27309,27342,2_27308,2_27341,13,+,4400332,4568979,27309,27342,2_27308,2_27341
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 29,21407629,22501891,6582,6811,2_6581,2_6810,100,2972980,4274546,27061,27281,2_27060,2_27280,100,+,2972980,4274546,27061,27281,2_27060,2_27280
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 31,25020824,25127297,7238,7263,2_7237,2_7262,13,1076837,1180314,26635,26660,2_26634,2_26659,13,+,1076837,1180314,26635,26660,2_26634,2_26659
S_diversifolius,S_diversifolius,ptg000004l,ptg000004l,S_diversifolius S_diversifolius selfBlk ptg000004l,7575,25594265,7424,9802,2_7423,2_9801,2376,7575,25594265,7424,9802,2_7423,2_9801,2376,+,7575,25594265,7424,9802,2_7423,2_9801
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 34,2451790,10188750,7700,7807,2_7699,2_7806,29,336155,3308262,9822,9906,2_9821,2_9905,29,+,336155,3308262,9822,9906,2_9821,2_9905
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 35,11067717,19810842,7811,8720,2_7810,2_8719,336,5559147,14613274,9916,10791,2_9915,2_10790,336,+,5559147,14613274,9916,10791,2_9915,2_10790
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 37,19870297,19909377,8734,8745,2_8733,2_8744,5,14742800,14775140,10822,10829,2_10821,2_10828,5,+,14742800,14775140,10822,10829,2_10821,2_10828
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 39,19989994,23924732,8764,9501,2_8763,2_9500,307,14776552,18405580,10831,11566,2_10830,2_11565,307,+,14776552,18405580,10831,11566,2_10830,2_11565
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 41,24022201,24592300,9524,9634,2_9523,2_9633,50,18476922,19067301,11582,11708,2_11581,2_11707,50,+,18476922,19067301,11582,11708,2_11581,2_11707
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 43,24727347,25531516,9659,9786,2_9658,2_9785,49,19176211,19942306,11730,11862,2_11729,2_11861,49,+,19176211,19942306,11730,11862,2_11729,2_11861
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 44,2451790,10188750,7700,7807,2_7699,2_7806,29,336155,3308262,9822,9906,2_9821,2_9905,29,+,336155,3308262,9822,9906,2_9821,2_9905
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 45,11067717,19810842,7811,8720,2_7810,2_8719,338,5559147,14613274,9916,10791,2_9915,2_10790,338,+,5559147,14613274,9916,10791,2_9915,2_10790
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 48,19870297,19909377,8734,8745,2_8733,2_8744,5,14742800,14775140,10822,10829,2_10821,2_10828,5,+,14742800,14775140,10822,10829,2_10821,2_10828
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 49,19989994,23924732,8764,9501,2_8763,2_9500,307,14776552,18405580,10831,11566,2_10830,2_11565,307,+,14776552,18405580,10831,11566,2_10830,2_11565
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 51,24022201,24592300,9524,9634,2_9523,2_9633,50,18476922,19067301,11582,11708,2_11581,2_11707,50,+,18476922,19067301,11582,11708,2_11581,2_11707
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 53,24727347,25531516,9659,9786,2_9658,2_9785,49,19176211,19942306,11730,11862,2_11729,2_11861,49,+,19176211,19942306,11730,11862,2_11729,2_11861
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 34,336155,3308262,9822,9906,2_9821,2_9905,29,2451790,10188750,7700,7807,2_7699,2_7806,29,+,2451790,10188750,7700,7807,2_7699,2_7806
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 35,5559147,14613274,9916,10791,2_9915,2_10790,336,11067717,19810842,7811,8720,2_7810,2_8719,336,+,11067717,19810842,7811,8720,2_7810,2_8719
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 37,14742800,14775140,10822,10829,2_10821,2_10828,5,19870297,19909377,8734,8745,2_8733,2_8744,5,+,19870297,19909377,8734,8745,2_8733,2_8744
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 39,14776552,18405580,10831,11566,2_10830,2_11565,307,19989994,23924732,8764,9501,2_8763,2_9500,307,+,19989994,23924732,8764,9501,2_8763,2_9500
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 41,18476922,19067301,11582,11708,2_11581,2_11707,50,24022201,24592300,9524,9634,2_9523,2_9633,50,+,24022201,24592300,9524,9634,2_9523,2_9633
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 43,19176211,19942306,11730,11862,2_11729,2_11861,49,24727347,25531516,9659,9786,2_9658,2_9785,49,+,24727347,25531516,9659,9786,2_9658,2_9785
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 44,336155,3308262,9822,9906,2_9821,2_9905,29,2451790,10188750,7700,7807,2_7699,2_7806,29,+,2451790,10188750,7700,7807,2_7699,2_7806
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 45,5559147,14613274,9916,10791,2_9915,2_10790,338,11067717,19810842,7811,8720,2_7810,2_8719,338,+,11067717,19810842,7811,8720,2_7810,2_8719
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 48,14742800,14775140,10822,10829,2_10821,2_10828,5,19870297,19909377,8734,8745,2_8733,2_8744,5,+,19870297,19909377,8734,8745,2_8733,2_8744
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 49,14776552,18405580,10831,11566,2_10830,2_11565,307,19989994,23924732,8764,9501,2_8763,2_9500,307,+,19989994,23924732,8764,9501,2_8763,2_9500
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 51,18476922,19067301,11582,11708,2_11581,2_11707,50,24022201,24592300,9524,9634,2_9523,2_9633,50,+,24022201,24592300,9524,9634,2_9523,2_9633
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 53,19176211,19942306,11730,11862,2_11729,2_11861,49,24727347,25531516,9659,9786,2_9658,2_9785,49,+,24727347,25531516,9659,9786,2_9658,2_9785
S_diversifolius,S_diversifolius,ptg000005l,ptg000005l,S_diversifolius S_diversifolius selfBlk ptg000005l,5508,19991192,9803,11872,2_9802,2_11871,2067,5508,19991192,9803,11872,2_9802,2_11871,2067,+,5508,19991192,9803,11872,2_9802,2_11871
S_diversifolius,S_diversifolius,ptg000007l,ptg000007l,S_diversifolius S_diversifolius selfBlk ptg000007l,3023,23382551,11875,14015,2_11874,2_14014,2138,3023,23382551,11875,14015,2_11874,2_14014,2138,+,3023,23382551,11875,14015,2_11874,2_14014
S_diversifolius,S_diversifolius,ptg000007l,ptg000012l,S_diversifolius_vs_S_diversifolius: 118,22349933,22421257,13824,13840,2_13823,2_13839,7,945904,1042094,22142,22166,2_22141,2_22165,7,+,945904,1042094,22142,22166,2_22141,2_22165
S_diversifolius,S_diversifolius,ptg000007l,ptg000012l,S_diversifolius_vs_S_diversifolius: 120,19505228,19551479,13278,13287,2_13277,2_13286,6,4240978,4285092,22729,22737,2_22728,2_22736,6,+,4240978,4285092,22729,22737,2_22728,2_22736
S_diversifolius,S_diversifolius,ptg000007l,ptg000012l,S_diversifolius_vs_S_diversifolius: 122,13925259,14200464,12395,12414,2_12394,2_12413,8,10610765,11221746,23698,23713,2_23697,2_23712,8,+,10610765,11221746,23698,23713,2_23697,2_23712
S_diversifolius,S_diversifolius,ptg000007l,ptg000012l,S_diversifolius_vs_S_diversifolius: 125,7032980,7589501,12327,12340,2_12326,2_12339,8,18098914,19386567,23793,23812,2_23792,2_23811,8,+,18098914,19386567,23793,23812,2_23792,2_23811
S_diversifolius,S_diversifolius,ptg000007l,ptg000012l,S_diversifolius_vs_S_diversifolius: 126,13534648,13857550,12380,12393,2_12379,2_12392,6,20275692,21065586,23826,23845,2_23825,2_23844,6,+,20275692,21065586,23826,23845,2_23825,2_23844
S_diversifolius,S_diversifolius,ptg000007l,ptg000012l,S_diversifolius_vs_S_diversifolius: 56,7032980,7589501,12327,12340,2_12326,2_12339,8,18098914,19386567,23793,23812,2_23792,2_23811,8,+,18098914,19386567,23793,23812,2_23792,2_23811
S_diversifolius,S_diversifolius,ptg000007l,ptg000012l,S_diversifolius_vs_S_diversifolius: 58,13534648,13857550,12380,12393,2_12379,2_12392,6,20275692,21065586,23826,23845,2_23825,2_23844,6,+,20275692,21065586,23826,23845,2_23825,2_23844
S_diversifolius,S_diversifolius,ptg000007l,ptg000012l,S_diversifolius_vs_S_diversifolius: 59,13925259,14200464,12395,12414,2_12394,2_12413,8,10610765,11221746,23698,23713,2_23697,2_23712,8,+,10610765,11221746,23698,23713,2_23697,2_23712
S_diversifolius,S_diversifolius,ptg000007l,ptg000012l,S_diversifolius_vs_S_diversifolius: 61,19505228,19551479,13278,13287,2_13277,2_13286,6,4240978,4285092,22729,22737,2_22728,2_22736,6,+,4240978,4285092,22729,22737,2_22728,2_22736
S_diversifolius,S_diversifolius,ptg000007l,ptg000012l,S_diversifolius_vs_S_diversifolius: 63,22349933,22421257,13824,13840,2_13823,2_13839,7,945904,1042094,22142,22166,2_22141,2_22165,7,+,945904,1042094,22142,22166,2_22141,2_22165
S_diversifolius,S_diversifolius,ptg000008l,ptg000008l,S_diversifolius S_diversifolius selfBlk ptg000008l,4589,17817870,14016,15556,2_14015,2_15555,1534,4589,17817870,14016,15556,2_14015,2_15555,1534,+,4589,17817870,14016,15556,2_14015,2_15555
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 159,121914,1758431,14039,14275,2_14038,2_14274,94,41820,1576873,32556,32802,2_32555,2_32801,94,+,41820,1576873,32556,32802,2_32555,2_32801
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 161,2013991,6072820,14299,14422,2_14298,2_14421,29,1860341,6654820,32836,32945,2_32835,2_32944,29,+,1860341,6654820,32836,32945,2_32835,2_32944
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 162,9235823,11301590,14438,14490,2_14437,2_14489,14,11809484,14916292,32995,33047,2_32994,2_33046,14,+,11809484,14916292,32995,33047,2_32994,2_33046
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 164,12040082,12506171,14530,14585,2_14529,2_14584,31,15501414,16074667,33100,33156,2_33099,2_33155,31,+,15501414,16074667,33100,33156,2_33099,2_33155
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 166,12842667,13251322,14617,14696,2_14616,2_14695,32,16348275,16839945,33184,33270,2_33183,2_33269,32,+,16348275,16839945,33184,33270,2_33183,2_33269
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 168,13348567,13418349,14716,14727,2_14715,2_14726,8,16963432,17025500,33287,33297,2_33286,2_33296,8,+,16963432,17025500,33287,33297,2_33286,2_33296
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 173,14324436,15347316,14891,15090,2_14890,2_15089,78,18091807,19149881,33492,33704,2_33491,2_33703,78,+,18091807,19149881,33492,33704,2_33491,2_33703
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 175,15627791,17680675,15143,15520,2_15142,2_15519,172,19462902,21568891,33758,34169,2_33757,2_34168,172,+,19462902,21568891,33758,34169,2_33757,2_34168
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 177,17772385,17817870,15548,15556,2_15547,2_15555,5,21669762,21721631,34194,34202,2_34193,2_34201,5,+,21669762,21721631,34194,34202,2_34193,2_34201
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 65,121914,1758431,14039,14275,2_14038,2_14274,94,41820,1576873,32556,32802,2_32555,2_32801,94,+,41820,1576873,32556,32802,2_32555,2_32801
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 67,2013991,5546086,14299,14416,2_14298,2_14415,29,1860341,8410269,32836,32971,2_32835,2_32970,29,+,1860341,8410269,32836,32971,2_32835,2_32970
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 68,9235823,11301590,14438,14490,2_14437,2_14489,14,11809484,14916292,32995,33047,2_32994,2_33046,14,+,11809484,14916292,32995,33047,2_32994,2_33046
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 70,12040082,12506171,14530,14585,2_14529,2_14584,31,15501414,16074667,33100,33156,2_33099,2_33155,31,+,15501414,16074667,33100,33156,2_33099,2_33155
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 72,12842667,13251322,14617,14696,2_14616,2_14695,32,16348275,16839945,33184,33270,2_33183,2_33269,32,+,16348275,16839945,33184,33270,2_33183,2_33269
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 74,13348567,13418349,14716,14727,2_14715,2_14726,8,16963432,17025500,33287,33297,2_33286,2_33296,8,+,16963432,17025500,33287,33297,2_33286,2_33296
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 79,14324436,15347316,14891,15090,2_14890,2_15089,78,18091807,19149881,33492,33704,2_33491,2_33703,78,+,18091807,19149881,33492,33704,2_33491,2_33703
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 81,15627791,17680675,15143,15520,2_15142,2_15519,173,19462902,21568891,33758,34169,2_33757,2_34168,173,+,19462902,21568891,33758,34169,2_33757,2_34168
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 83,17772385,17817870,15548,15556,2_15547,2_15555,5,21669762,21721631,34194,34202,2_34193,2_34201,5,+,21669762,21721631,34194,34202,2_34193,2_34201
S_diversifolius,S_diversifolius,ptg000009l,ptg000009l,S_diversifolius S_diversifolius selfBlk ptg000009l,3863,25568204,15557,18585,2_15556,2_18584,3023,3863,25568204,15557,18585,2_15556,2_18584,3023,+,3863,25568204,15557,18585,2_15556,2_18584
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 103,21129090,21231547,17725,17738,2_17724,2_17737,6,5792055,5877260,19682,19693,2_19681,2_19692,6,+,5792055,5877260,19682,19693,2_19681,2_19692
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 107,24637001,24824668,18379,18419,2_18378,2_18418,16,20267155,20431884,20404,20443,2_20403,2_20442,16,+,20267155,20431884,20404,20443,2_20403,2_20442
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 110,495963,629097,15665,15696,2_15664,2_15695,12,25168217,25274105,21378,21403,2_21377,2_21402,12,+,25168217,25274105,21378,21403,2_21377,2_21402
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 86,495963,629097,15665,15696,2_15664,2_15695,12,25168217,25274105,21378,21403,2_21377,2_21402,12,+,25168217,25274105,21378,21403,2_21377,2_21402
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 88,5217105,6871603,16634,16977,2_16633,2_16976,145,791600,2573002,18716,19045,2_18715,2_19044,145,+,791600,2573002,18716,19045,2_18715,2_19044
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 92,21129090,21231547,17725,17738,2_17724,2_17737,6,5792055,5877260,19682,19693,2_19681,2_19692,6,+,5792055,5877260,19682,19693,2_19681,2_19692
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 96,24637001,24824668,18379,18419,2_18378,2_18418,16,20267155,20431884,20404,20443,2_20403,2_20442,16,+,20267155,20431884,20404,20443,2_20403,2_20442
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 99,5217105,6871603,16634,16977,2_16633,2_16976,145,791600,2573002,18716,19045,2_18715,2_19044,145,+,791600,2573002,18716,19045,2_18715,2_19044
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 103,5792055,5877260,19682,19693,2_19681,2_19692,6,21129090,21231547,17725,17738,2_17724,2_17737,6,+,21129090,21231547,17725,17738,2_17724,2_17737
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 107,20267155,20431884,20404,20443,2_20403,2_20442,16,24637001,24824668,18379,18419,2_18378,2_18418,16,+,24637001,24824668,18379,18419,2_18378,2_18418
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 110,25168217,25274105,21378,21403,2_21377,2_21402,12,495963,629097,15665,15696,2_15664,2_15695,12,+,495963,629097,15665,15696,2_15664,2_15695
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 86,25168217,25274105,21378,21403,2_21377,2_21402,12,495963,629097,15665,15696,2_15664,2_15695,12,+,495963,629097,15665,15696,2_15664,2_15695
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 88,791600,2573002,18716,19045,2_18715,2_19044,145,5217105,6871603,16634,16977,2_16633,2_16976,145,+,5217105,6871603,16634,16977,2_16633,2_16976
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 92,5792055,5877260,19682,19693,2_19681,2_19692,6,21129090,21231547,17725,17738,2_17724,2_17737,6,+,21129090,21231547,17725,17738,2_17724,2_17737
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 96,20267155,20431884,20404,20443,2_20403,2_20442,16,24637001,24824668,18379,18419,2_18378,2_18418,16,+,24637001,24824668,18379,18419,2_18378,2_18418
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 99,791600,2573002,18716,19045,2_18715,2_19044,145,5217105,6871603,16634,16977,2_16633,2_16976,145,+,5217105,6871603,16634,16977,2_16633,2_16976
S_diversifolius,S_diversifolius,ptg000010l,ptg000010l,S_diversifolius S_diversifolius selfBlk ptg000010l,193231,25668440,18586,21486,2_18585,2_21485,2895,193231,25668440,18586,21486,2_18585,2_21485,2895,+,193231,25668440,18586,21486,2_18585,2_21485
S_diversifolius,S_diversifolius,ptg000011l,ptg000001l,S_diversifolius_vs_S_diversifolius: 115,969926,1206275,21666,21705,2_21665,2_21704,6,938260,1162754,183,225,2_182,2_224,6,+,938260,1162754,183,225,2_182,2_224
S_diversifolius,S_diversifolius,ptg000011l,ptg000001l,S_diversifolius_vs_S_diversifolius: 116,1526575,1923949,21752,21794,2_21751,2_21793,6,1470186,1887159,282,334,2_281,2_333,6,+,1470186,1887159,282,334,2_281,2_333
