Orthogroup	S_parvula	S_diversifolius
OG0000036	Sp4g12280	Sdiv_ptg000008l_0637-R, Sdiv_ptg000022l_0679-R
OG0000039	Sp6g32510, Sp5g30720, Sp3g29820, Sp7g35840, Sp7g35830	Sdiv_ptg000004l_2267-R
OG0000039	Sp1g07810	Sdiv_ptg000010l_2296-R, Sdiv_ptg000007l_0317-R, Sdiv_ptg000009l_0630-R
OG0000040	Sp7g28060	Sdiv_ptg000005l_1397-R, Sdiv_ptg000004l_1690-R
OG0000040	Sp3g32410	Sdiv_ptg000001l_0151-R, Sdiv_ptg000011l_0129-R, Sdiv_ptg000013l_0122-R
OG0000040	Sp6g19080	Sdiv_ptg000010l_0805-R, Sdiv_ptg000009l_2481-R
OG0000040	Sp5g02900	Sdiv_ptg000016l_0103-R
OG0000040	Sp2g25850	Sdiv_ptg000007l_1812-R, Sdiv_ptg000012l_0380-R
OG0000040	Sp5g18280	Sdiv_ptg000002l_0958-R, Sdiv_ptg000015l_1184-R
OG0000040	Sp3g25350	Sdiv_ptg000001l_0466-R, Sdiv_ptg000011l_0434-R, Sdiv_ptg000013l_0439-R
OG0000040	Sp5g35100	Sdiv_ptg000002l_2099-R
OG0000041	Sp5g08630, Sp4g19980	Sdiv_ptg000015l_1776-R, Sdiv_ptg000002l_0336-R, Sdiv_ptg000022l_1286-R
OG0000041	Sp3g10340	Sdiv_ptg000013l_1462-R
OG0000041	Sp6g33600	Sdiv_ptg000010l_2344-R
OG0000041	Sp1g36120	Sdiv_ptg000014l_1603-R, Sdiv_ptg000003l_1583-R
OG0000041	Sp3g16870	Sdiv_ptg000013l_0979-R
OG0000041	Sp6g21050, Sp5g15160	Sdiv_ptg000002l_0823-R
OG0000046	Sp7g08090, SpUn0007_0170, Sp3g26220, Sp7g12180, Sp4g03130, Sp3g27840, Sp4g08050, Sp1g33350, Sp5g18990, Sp7g11840, Sp2g05510, Sp1g32640, Sp2g07350, Sp5g19080, Sp2g07140, Sp7g11660, SpUn0002_0260, Sp4g08110, Sp6g35200, Sp1g31670, Sp2g08200, Sp5g19070, Sp3g26800, Sp3g28050, Sp1g33280, SpUn0094_0020, Sp7g08100, Sp3g24640, Sp6g12110, Sp2g07090, Sp5g17870, Sp5g17680, Sp7g08780, Sp7g09160, Sp6g10170, Sp4g04560, Sp7g09080, Sp4g09320, Sp5g17600, Sp3g25980, Sp7g04550, Sp3g24910	Sdiv_ptg000014l_1913-R
OG0000049	Sp6g26270	Sdiv_ptg000009l_1202-R
OG0000049	Sp4g00370	Sdiv_ptg000022l_0020-R
OG0000049	Sp6g26280	Sdiv_ptg000010l_0238-R
OG0000050	Sp3g21330, Sp7g09760, Sp4g09450, Sp3g26380, Sp7g26700, Sp3g29680, SpUn0030_0070, Sp3g31760, Sp7g10630, Sp7g05470, Sp7g06400, Sp7g08450, Sp7g03320, Sp6g10060, Sp7g04130, Sp4g06170, Sp7g07740, Sp3g29630, Sp7g10930, Sp6g07800, Sp7g10230, Sp7g07530, Sp3g23930, Sp5g17770, Sp6g09390, Sp6g07660, Sp3g28720, Sp7g05980, Sp4g06470, Sp2g22320, Sp2g01850, Sp6g16700, Sp5g20730, Sp1g29090, Sp1g31130, SpUn0002_0700, Sp2g06260	Sdiv_ptg000015l_1286-R
OG0000051	SpUn1341_0010	Sdiv_ptg000014l_1791-R
OG0000051	Sp4g09010, SpUn0004_0170	Sdiv_ptg000015l_1156-R
OG0000054	Sp5g15350	Sdiv_ptg000022l_1280-R, Sdiv_ptg000009l_2655-R, Sdiv_ptg000015l_1320-R, Sdiv_ptg000010l_0628-R, Sdiv_ptg000015l_1308-R, Sdiv_ptg000002l_0828-R, Sdiv_ptg000022l_0611-R, Sdiv_ptg000008l_1190-R
OG0000055	Sp7g01830, Sp4g02040	Sdiv_ptg000008l_0143-R
OG0000055	Sp4g02060	Sdiv_ptg000008l_0144-R
OG0000055	Sp3g08720	Sdiv_ptg000013l_1592-R
OG0000055	Sp1g26630	Sdiv_ptg000014l_2159-R
OG0000055	SpUn0042_0020, Sp4g02000	Sdiv_ptg000022l_0134-R
OG0000056	Sp5g05790, Sp4g23420	Sdiv_ptg000022l_0485-R, Sdiv_ptg000015l_1990-R, Sdiv_ptg000002l_0110-R
OG0000056	Sp7g04290, Sp5g21490	Sdiv_ptg000015l_1031-R, Sdiv_ptg000002l_1084-R, Sdiv_ptg000027l_0076-R
OG0000056	Sp4g08270	Sdiv_ptg000008l_1448-R
OG0000057	Sp6g15450	Sdiv_ptg000009l_2171-R, Sdiv_ptg000010l_1098-R
OG0000057	Sp7g25920	Sdiv_ptg000004l_1539-R, Sdiv_ptg000005l_1232-R
OG0000057	Sp3g29980	Sdiv_ptg000001l_0295-R
OG0000057	Sp6g18000	Sdiv_ptg000010l_0901-R
OG0000057	Sp7g00370	Sdiv_ptg000004l_0034-R, Sdiv_ptg000027l_0286-R
OG0000057	Sp2g00510	Sdiv_ptg000012l_2316-R
OG0000069	Sp4g29160	Sdiv_ptg000022l_1982-R
OG0000069	Sp1g09310, Sp2g04250	Sdiv_ptg000007l_0257-R
OG0000069	Sp5g25560	Sdiv_ptg000002l_1403-R
OG0000069	Sp6g29370	Sdiv_ptg000010l_1987-R, Sdiv_ptg000009l_0939-R
OG0000070	Sp2g14580	Sdiv_ptg000012l_1214-R
OG0000071	Sp7g33730	Sdiv_ptg000005l_1794-R
OG0000071	Sp7g32780	Sdiv_ptg000004l_2043-R
OG0000071	Sp1g17860	Sdiv_ptg000014l_1319-R
OG0000071	Sp5g30980	Sdiv_ptg000015l_0366-R
OG0000071	Sp3g31210	Sdiv_ptg000011l_0209-R, Sdiv_ptg000013l_0198-R
OG0000072	Sp7g15310	Sdiv_ptg000014l_0437-R
OG0000072	Sp4g12160, Sp4g12090	Sdiv_ptg000022l_0658-R
OG0000074	Sp7g20170	Sdiv_ptg000005l_0798-R, Sdiv_ptg000004l_1114-R
OG0000074	Sp2g02520	Sdiv_ptg000012l_2205-R
OG0000074	Sp3g24090	Sdiv_ptg000013l_0473-R
OG0000074	Sp7g15090	Sdiv_ptg000005l_0423-R
OG0000074	SpUn0031_0100, Sp4g27220, Sp5g02600	Sdiv_ptg000022l_1831-R
OG0000077	Sp3g10720	Sdiv_ptg000013l_1432-R
OG0000077	Sp1g14350	Sdiv_ptg000014l_1054-R
OG0000077	Sp3g07820	Sdiv_ptg000013l_1664-R
OG0000077	Sp2g05640	Sdiv_ptg000012l_1997-R
OG0000077	Sp6g40010	Sdiv_ptg000010l_2814-R
OG0000080	Sp4g11580	Sdiv_ptg000008l_0591-R, Sdiv_ptg000022l_0612-R
OG0000080	Sp6g22520, Sp5g08710, Sp3g07850	Sdiv_ptg000010l_0605-R
OG0000080	Sp5g15620, Sp6g21620	Sdiv_ptg000002l_0842-R
OG0000081	Sp5g16600, Sp5g16390	Sdiv_ptg000015l_1259-R, Sdiv_ptg000015l_1253-R, Sdiv_ptg000015l_1254-R
OG0000087	Sp1g01620	Sdiv_ptg000010l_0118-R, Sdiv_ptg000014l_0103-R
OG0000087	Sp5g00940	Sdiv_ptg000016l_0239-R
OG0000087	Sp2g06570, Sp2g06540	Sdiv_ptg000007l_0379-R
OG0000089	Sp1g29890	Sdiv_ptg000014l_1937-R, Sdiv_ptg000003l_1282-R
OG0000089	Sp5g33420	Sdiv_ptg000015l_0193-R, Sdiv_ptg000002l_1964-R
OG0000089	Sp6g08640	Sdiv_ptg000010l_1477-R
OG0000089	Sp3g01550	Sdiv_ptg000013l_2101-R
OG0000090	Sp5g29320	Sdiv_ptg000002l_1667-R
OG0000090	Sp2g03700	Sdiv_ptg000012l_2130-R
OG0000090	Sp5g29330	Sdiv_ptg000015l_0496-R
OG0000092	Sp5g12490	Sdiv_ptg000724l_0003-R, Sdiv_ptg000137l_0005-R, Sdiv_ptg000142l_0005-R, Sdiv_ptg000037l_0004-R, Sdiv_ptg000102l_0002-R, Sdiv_ptg000100l_0003-R, Sdiv_ptg000098l_0003-R, Sdiv_ptg000163l_0005-R, Sdiv_ptg000094l_0007-R, Sdiv_ptg000025l_0002-R, Sdiv_ptg000167l_0005-R, Sdiv_ptg000077l_0005-R, Sdiv_ptg000055l_0009-R, Sdiv_ptg000151l_0002-R, Sdiv_ptg000146l_0008-R, Sdiv_ptg000159l_0002-R, Sdiv_ptg000127l_0007-R, Sdiv_ptg000080l_0005-R, Sdiv_ptg000131l_0003-R, Sdiv_ptg000118l_0003-R, Sdiv_ptg000154l_0005-R, Sdiv_ptg000048l_0001-R, Sdiv_ptg000041l_0006-R, Sdiv_ptg000168l_0006-R, Sdiv_ptg000188l_0002-R, Sdiv_ptg000176l_0002-R
OG0000096	Sp2g09700	Sdiv_ptg000004l_0968-R
OG0000097	Sp1g00700	Sdiv_ptg000014l_0041-R
OG0000097	Sp7g21310	Sdiv_ptg000005l_0886-R
OG0000097	Sp4g28030	Sdiv_ptg000018l_0150-R
OG0000097	Sp5g01970	Sdiv_ptg000016l_0170-R
OG0000097	Sp6g00460	Sdiv_ptg000009l_2992-R
OG0000099	Sp5g21260	Sdiv_ptg000002l_1075-R, Sdiv_ptg000015l_1042-R
OG0000099	Sp6g27590	Sdiv_ptg000009l_1089-R, Sdiv_ptg000010l_0143-R
OG0000099	Sp3g15940	Sdiv_ptg000013l_1049-R, Sdiv_ptg000001l_1113-R
OG0000099	Sp1g35420	Sdiv_ptg000014l_1648-R
OG0000099	Sp7g04500	Sdiv_ptg000027l_0067-R
OG0000112	Sp1g24800	Sdiv_ptg000003l_0897-R, Sdiv_ptg000014l_2299-R
OG0000112	Sp3g13260	Sdiv_ptg000013l_1253-R
OG0000112	Sp7g15600	Sdiv_ptg000005l_0563-R
OG0000112	Sp4g16300	Sdiv_ptg000022l_1001-R
OG0000113	Sp1g25430	Sdiv_ptg000014l_2245-R
OG0000113	Sp1g25420	Sdiv_ptg000014l_2241-R
OG0000113	Sp1g25370, Sp1g25450, Sp1g25360	Sdiv_ptg000014l_2240-R
OG0000114	Sp5g15590	Sdiv_ptg000002l_0844-R
OG0000114	Sp5g15610	Sdiv_ptg000002l_0845-R
OG0000114	Sp7g23620	Sdiv_ptg000005l_1059-R
OG0000115	Sp5g13400, Sp2g00920	Sdiv_ptg000012l_2289-R
OG0000115	Sp2g00780	Sdiv_ptg000007l_0071-R
OG0000117	Sp1g40790	Sdiv_ptg000003l_0087-R
OG0000117	Sp3g11970	Sdiv_ptg000001l_1408-R, Sdiv_ptg000013l_1339-R
OG0000117	Sp4g03110	Sdiv_ptg000008l_0210-R, Sdiv_ptg000022l_0204-R
OG0000117	Sp2g22430	Sdiv_ptg000012l_0639-R
OG0000117	Sp6g32620	Sdiv_ptg000010l_2260-R
OG0000120	Sp6g17850	Sdiv_ptg000010l_0911-R
OG0000120	Sp6g14810	Sdiv_ptg000009l_2122-R
OG0000120	Sp1g26840, Sp7g24520	Sdiv_ptg000014l_2143-R, Sdiv_ptg000004l_1438-R, Sdiv_ptg000010l_1541-R
OG0000121	Sp3g17640	Sdiv_ptg000013l_0947-R
OG0000123	Sp3g30370	Sdiv_ptg000001l_0277-R
OG0000129	Sp1g21910, SpUn0001_0970, Sp5g14340, SpUn0003_0140	Sdiv_ptg000001l_0074-R
OG0000132	SpUn0018_0010, Sp4g21660, Sp5g07330, Sp6g30450, Sp5g07320, Sp4g19670, Sp5g08820	Sdiv_ptg000002l_0350-R
OG0000133	Sp4g21310	Sdiv_ptg000008l_1293-R
OG0000133	Sp5g07750	Sdiv_ptg000007l_0588-R
OG0000135	Sp3g28690	Sdiv_ptg000001l_0358-R, Sdiv_ptg000011l_0331-R, Sdiv_ptg000013l_0331-R
OG0000135	Sp1g12430	Sdiv_ptg000014l_0911-R
OG0000138	Sp6g28610	Sdiv_ptg000009l_0999-R, Sdiv_ptg000010l_1932-R
OG0000138	Sp7g02670	Sdiv_ptg000027l_0143-R
OG0000138	Sp1g22210	Sdiv_ptg000014l_2499-R
OG0000138	Sp3g01120	Sdiv_ptg000001l_2228-R
OG0000141	Sp4g01790	Sdiv_ptg000008l_0137-R
OG0000141	SpUn0137_0045	Sdiv_ptg000003l_1634-R, Sdiv_ptg000014l_1559-R, Sdiv_ptg000001l_0971-R, Sdiv_ptg000009l_1334-R, Sdiv_ptg000009l_1333-R, Sdiv_ptg000010l_0369-R, Sdiv_ptg000010l_0368-R
OG0000146	Sp6g01690	Sdiv_ptg000010l_0102-R
OG0000146	Sp4g29070	Sdiv_ptg000018l_0071-R
OG0000146	Sp4g19160	Sdiv_ptg000022l_1209-R
OG0000146	Sp3g15570	Sdiv_ptg000013l_1080-R
OG0000147	Sp4g00350	Sdiv_ptg000008l_0036-R
OG0000147	Sp1g17760	Sdiv_ptg000003l_0375-R, Sdiv_ptg000014l_1312-R
OG0000147	Sp5g30870	Sdiv_ptg000015l_0376-R
OG0000147	Sp7g37030	Sdiv_ptg000004l_2334-R
OG0000148	Sp7g32500	Sdiv_ptg000001l_0313-R, Sdiv_ptg000004l_2328-R, Sdiv_ptg000005l_2029-R
OG0000148	Sp7g36920, Sp1g17700, Sp5g30740	Sdiv_ptg000002l_1766-R, Sdiv_ptg000003l_0371-R, Sdiv_ptg000014l_1306-R
OG0000149	Sp1g22530	Sdiv_ptg000014l_2469-R
OG0000149	Sp5g23810	Sdiv_ptg000015l_0887-R, Sdiv_ptg000002l_1256-R
OG0000149	Sp2g14890	Sdiv_ptg000012l_1197-R
OG0000149	SpUn0138_0010, Sp1g11730	Sdiv_ptg000003l_2075-R, Sdiv_ptg000014l_0854-R
OG0000150	Sp1g38480	Sdiv_ptg000014l_2694-R
OG0000151	Sp5g13500	Sdiv_ptg000001l_0866-R
OG0000152	Sp6g21520	Sdiv_ptg000010l_0612-R
OG0000152	Sp6g39230	Sdiv_ptg000010l_2760-R
OG0000153	Sp6g19250, Sp6g19260	Sdiv_ptg000010l_1511-R
OG0000153	Sp7g23830	Sdiv_ptg000005l_1078-R
OG0000153	Sp7g28170, SpUN0954_0010	Sdiv_ptg000004l_1699-R, Sdiv_ptg000005l_1405-R
OG0000154	Sp3g14450	Sdiv_ptg000001l_1221-R, Sdiv_ptg000013l_1165-R
OG0000154	Sp1g38810	Sdiv_ptg000003l_1757-R, Sdiv_ptg000014l_2714-R
OG0000154	Sp1g36180	Sdiv_ptg000003l_1587-R
OG0000154	Sp3g16910	Sdiv_ptg000001l_1036-R
OG0000162	Sp7g18810	Sdiv_ptg000005l_0713-R
OG0000162	Sp2g09290	Sdiv_ptg000012l_1636-R, Sdiv_ptg000007l_0648-R
OG0000162	Sp4g17130	Sdiv_ptg000022l_1065-R
OG0000162	Sp1g26520	Sdiv_ptg000003l_1016-R, Sdiv_ptg000014l_2166-R
OG0000165	Sp4g19490	Sdiv_ptg000022l_1239-R, Sdiv_ptg000008l_1156-R, Sdiv_ptg000022l_1240-R, Sdiv_ptg000008l_1155-R
OG0000165	Sp5g08920	Sdiv_ptg000002l_0358-R
OG0000165	Sp6g22230	Sdiv_ptg000009l_2724-R, Sdiv_ptg000010l_0560-R
OG0000167	Sp6g08130	Sdiv_ptg000009l_1780-R, Sdiv_ptg000010l_1495-R
OG0000167	Sp1g30310	Sdiv_ptg000014l_1915-R
OG0000167	Sp1g20160	Sdiv_ptg000003l_0556-R, Sdiv_ptg000014l_2651-R
OG0000167	Sp5g27070	Sdiv_ptg000015l_0635-R
OG0000168	Sp3g29590	Sdiv_ptg000011l_0296-R, Sdiv_ptg000012l_1839-R, Sdiv_ptg000013l_0294-R, Sdiv_ptg000001l_0326-R
OG0000168	Sp4g00730, Sp7g06330	Sdiv_ptg000022l_0050-R, Sdiv_ptg000008l_0061-R
OG0000169	Sp6g18990	Sdiv_ptg000009l_2472-R
OG0000169	Sp2g15470	Sdiv_ptg000007l_1071-R
OG0000169	Sp2g15450, Sp2g15460	Sdiv_ptg000012l_1157-R
OG0000169	Sp2g15480	Sdiv_ptg000007l_1074-R
OG0000169	Sp2g15630	Sdiv_ptg000007l_1075-R
OG0000170	Sp7g27230	Sdiv_ptg000004l_1638-R
OG0000170	Sp3g33090	Sdiv_ptg000001l_0088-R
OG0000170	Sp7g27220	Sdiv_ptg000005l_1335-R
OG0000170	Sp3g33100	Sdiv_ptg000011l_0072-R, Sdiv_ptg000013l_0071-R
OG0000170	Sp6g18380	Sdiv_ptg000010l_0867-R, Sdiv_ptg000009l_2417-R
OG0000172	Sp7g13710, Sp7g09280, Sp5g17350, Sp1g32780, SpUn1151_0010, Sp3g26060, SpUn0001_0990, Sp5g21660, Sp5g18720, Sp1g32810, Sp1g32790, Sp1g32800, Sp6g08700, Sp3g24390, Sp5g19620, Sp1g31510, Sp6g09110, Sp3g25140, Sp4g07890, Sp1g32540, SpUn0004_0190	Sdiv_ptg000011l_0006-R
OG0000176	Sp4g04800	Sdiv_ptg000008l_0313-R
OG0000176	Sp6g32330	Sdiv_ptg000010l_2232-R
OG0000176	Sp2g22150	Sdiv_ptg000007l_1549-R
OG0000176	Sp7g30170	Sdiv_ptg000004l_1843-R, Sdiv_ptg000005l_1548-R
OG0000177	Sp3g09390	Sdiv_ptg000003l_0686-R
OG0000177	Sp4g03720	Sdiv_ptg000008l_0251-R, Sdiv_ptg000008l_0256-R
OG0000179	Sp1g39310	Sdiv_ptg000014l_2751-R
OG0000179	Sp4g21200	Sdiv_ptg000022l_1387-R
OG0000179	SpUn0962_0010, Sp5g07880	Sdiv_ptg000002l_0273-R
OG0000181	Sp2g05090	Sdiv_ptg000012l_2048-R, Sdiv_ptg000007l_0311-R
OG0000181	Sp5g05110	Sdiv_ptg000002l_0061-R, Sdiv_ptg000015l_2035-R
OG0000181	Sp4g24110	Sdiv_ptg000008l_1498-R
OG0000183	SpUn0035_0040	Sdiv_ptg000027l_0048-R
OG0000185	Sp6g14200	Sdiv_ptg000010l_1191-R
OG0000185	Sp5g06480	Sdiv_ptg000002l_0160-R
OG0000185	Sp6g14190	Sdiv_ptg000010l_1192-R
OG0000186	Sp3g13010	Sdiv_ptg000001l_1334-R, Sdiv_ptg000013l_1271-R
OG0000186	Sp1g40030	Sdiv_ptg000003l_1850-R, Sdiv_ptg000014l_2804-R
OG0000186	Sp5g33660	Sdiv_ptg000002l_1978-R, Sdiv_ptg000015l_0180-R
OG0000186	Sp1g15120	Sdiv_ptg000014l_1102-R
OG0000187	Sp4g15360	Sdiv_ptg000022l_0767-R
OG0000188	Sp7g01710	Sdiv_ptg000004l_0123-R
OG0000188	Sp7g01730	Sdiv_ptg000004l_0124-R
OG0000189	Sp7g19500	Sdiv_ptg000004l_1072-R
OG0000189	Sp5g20740, Sp5g20750	Sdiv_ptg000002l_1049-R
OG0000190	Sp5g27760	Sdiv_ptg000002l_1569-R
OG0000190	Sp3g12140	Sdiv_ptg000001l_1398-R
OG0000190	Sp1g40710	Sdiv_ptg000003l_0091-R, Sdiv_ptg000014l_2852-R
OG0000190	Sp1g15640	Sdiv_ptg000014l_1147-R, Sdiv_ptg000003l_0214-R
OG0000193	Sp4g03710, Sp4g03230, Sp4g03220	Sdiv_ptg000022l_0242-R
OG0000194	Sp6g20830	Sdiv_ptg000009l_2622-R
OG0000194	Sp4g12130	Sdiv_ptg000008l_0625-R
OG0000194	Sp4g22120	Sdiv_ptg000022l_1456-R, Sdiv_ptg000008l_1351-R
OG0000195	Sp7g37060	Sdiv_ptg000015l_1056-R
OG0000197	Sp1g09660	Sdiv_ptg000003l_2234-R
OG0000197	Sp2g03650	Sdiv_ptg000007l_0222-R
OG0000197	Sp2g26740	Sdiv_ptg000012l_0309-R
OG0000197	Sp6g34270	Sdiv_ptg000010l_2388-R
OG0000198	Sp3g01140	Sdiv_ptg000001l_2226-R
OG0000198	Sp6g28580	Sdiv_ptg000009l_1001-R
OG0000198	Sp2g24410	Sdiv_ptg000007l_1716-R, Sdiv_ptg000012l_0478-R
OG0000199	Sp5g09050, Sp5g09060	Sdiv_ptg000002l_0364-R
OG0000200	Sp6g18220	Sdiv_ptg000010l_0879-R
OG0000201	Sp3g18710	Sdiv_ptg000013l_0838-R
OG0000201	Sp1g37780	Sdiv_ptg000003l_1682-R
