Orthogroup	S_pinnata	E_salsugineum
OG0000066	Stapi.15433s0001	Thhalv10011962m.g, Thhalv10012379m.g, Thhalv10012047m.g, Thhalv10012279m.g, Thhalv10012205m.g, Thhalv10012082m.g, Thhalv10011995m.g, Thhalv10012093m.g, Thhalv10012346m.g, Thhalv10012275m.g
OG0000066	Stapi.2874s0008	Thhalv10028042m.g
OG0000071	Stapi.0252s0017, Stapi.11677s0003, Stapi.2253s0006	Thhalv10002286m.g
OG0000071	Stapi.0474s0009, Stapi.3833s0002, Stapi.2789s0007, Stapi.5105s0003, Stapi.0312s0017, Stapi.3265s0004, Stapi.11240s0001, Stapi.0254s0018, Stapi.28997s0001, Stapi.13702s0001, Stapi.0853s0017, Stapi.4422s0001, Stapi.11405s0002, Stapi.0792s0005, Stapi.2257s0006, Stapi.4831s0004, Stapi.0033s0034, Stapi.2887s0005, Stapi.1450s0013, Stapi.5569s0001, Stapi.1115s0002, Stapi.2887s0006, Stapi.7914s0004, Stapi.2298s0014, Stapi.2986s0001, Stapi.1627s0002, Stapi.1441s0005, Stapi.2012s0004, Stapi.1554s0006, Stapi.6992s0004, Stapi.1269s0001, Stapi.0905s0005, Stapi.0132s0032, Stapi.0484s0030, Stapi.2195s0003, Stapi.15187s0001, Stapi.2640s0006, Stapi.11722s0001, Stapi.13490s0001, Stapi.23810s0001, Stapi.1184s0008, Stapi.2298s0009, Stapi.19851s0001, Stapi.0737s0007, Stapi.1405s0003, Stapi.0095s0015, Stapi.18364s0001, Stapi.0451s0005, Stapi.7698s0001, Stapi.3612s0001, Stapi.3612s0002, Stapi.0122s0005	Thhalv10029202m.g
OG0000073	Stapi.13237s0002, Stapi.2640s0004	Thhalv10009535m.g
OG0000073	Stapi.0041s0022	Thhalv10029194m.g
OG0000073	Stapi.9929s0002, Stapi.2814s0011, Stapi.2226s0016, Stapi.0968s0002, Stapi.0725s0011, Stapi.1341s0005, Stapi.8343s0001, Stapi.15480s0001, Stapi.10757s0001, Stapi.4918s0003, Stapi.3685s0009, Stapi.0654s0012, Stapi.0376s0017, Stapi.6808s0002	Thhalv10009777m.g, Thhalv10026817m.g
OG0000077	Stapi.0396s0014, Stapi.0498s0001	Thhalv10010368m.g, Thhalv10010369m.g
OG0000077	Stapi.0519s0014	Thhalv10010366m.g
OG0000077	Stapi.0722s0003	Thhalv10004208m.g
OG0000077	Stapi.5563s0006	Thhalv10016651m.g
OG0000077	Stapi.0250s0012	Thhalv10013524m.g
OG0000077	Stapi.9655s0001	Thhalv10018544m.g
OG0000077	Stapi.2162s0004	Thhalv10016629m.g
OG0000077	Stapi.2395s0008	Thhalv10025207m.g
OG0000077	Stapi.6662s0001, Stapi.0455s0003	Thhalv10003210m.g
OG0000078	Stapi.4938s0003, Stapi.0137s0018, Stapi.0424s0007, Stapi.1884s0007, Stapi.0172s0011, Stapi.0170s0018, Stapi.4746s0002, Stapi.0994s0002, Stapi.3828s0004, Stapi.2362s0004, Stapi.11140s0001, Stapi.15729s0001, Stapi.2874s0010, Stapi.3809s0001, Stapi.14439s0001, Stapi.13023s0002, Stapi.8696s0001, Stapi.3136s0005, Stapi.0865s0003, Stapi.0443s0008, Stapi.3759s0002, Stapi.5493s0001, Stapi.18037s0001, Stapi.3968s0001, Stapi.0351s0007, Stapi.3071s0003, Stapi.1925s0001, Stapi.10510s0001, Stapi.2131s0005, Stapi.15920s0001, Stapi.10108s0001, Stapi.3279s0002, Stapi.8580s0001, Stapi.0031s0017, Stapi.10035s0001, Stapi.1582s0006, Stapi.0008s0007, Stapi.12101s0001, Stapi.3741s0003, Stapi.3522s0001, Stapi.23340s0001, Stapi.2129s0001, Stapi.13644s0001, Stapi.3804s0002, Stapi.13991s0001, Stapi.27762s0001, Stapi.3143s0002, Stapi.5769s0002, Stapi.2805s0003, Stapi.0024s0019, Stapi.6030s0001, Stapi.0749s0005, Stapi.0589s0003, Stapi.15577s0001, Stapi.1820s0006, Stapi.6510s0001, Stapi.0098s0023, Stapi.7757s0006, Stapi.12619s0002	Thhalv10011059m.g
OG0000080	Stapi.14275s0001	Thhalv10002572m.g
OG0000080	Stapi.4151s0001	Thhalv10016809m.g
OG0000080	Stapi.3274s0003	Thhalv10010455m.g
OG0000080	Stapi.3628s0004, Stapi.2736s0001	Thhalv10020950m.g
OG0000080	Stapi.1519s0013, Stapi.8139s0002	Thhalv10028132m.g
OG0000080	Stapi.5506s0002	Thhalv10013840m.g
OG0000093	Stapi.4414s0005	Thhalv10024335m.g
OG0000093	Stapi.3377s0004, Stapi.1523s0002	Thhalv10002391m.g
OG0000093	Stapi.6181s0001	Thhalv10002390m.g
OG0000093	Stapi.25448s0001	Thhalv10018080m.g
OG0000093	Stapi.9223s0001, Stapi.10113s0002	Thhalv10003603m.g
OG0000093	Stapi.3635s0004	Thhalv10015530m.g
OG0000093	Stapi.5513s0002, Stapi.7229s0002	Thhalv10022531m.g
OG0000096	Stapi.0331s0007, Stapi.0147s0030, Stapi.0155s0038, Stapi.1871s0002, Stapi.0953s0005, Stapi.0308s0005, Stapi.0441s0022, Stapi.0196s0027, Stapi.0004s0028, Stapi.0363s0022, Stapi.1885s0002	Thhalv10028068m.g
OG0000104	Stapi.2418s0007	Thhalv10005114m.g, Thhalv10029057m.g
OG0000104	Stapi.9585s0001	Thhalv10014984m.g
OG0000104	Stapi.7334s0003	Thhalv10005111m.g
OG0000105	Stapi.8225s0001	Thhalv10023505m.g
OG0000105	Stapi.8098s0001	Thhalv10023457m.g, Thhalv10023838m.g, Thhalv10024090m.g, Thhalv10023447m.g
OG0000105	Stapi.8225s0002	Thhalv10023461m.g, Thhalv10024124m.g, Thhalv10023470m.g, Thhalv10024167m.g, Thhalv10024133m.g, Thhalv10023445m.g, Thhalv10024039m.g, Thhalv10024025m.g, Thhalv10023472m.g, Thhalv10019750m.g
OG0000107	Stapi.1884s0001	Thhalv10000646m.g, Thhalv10000583m.g, Thhalv10000580m.g, Thhalv10019002m.g, Thhalv10029200m.g, Thhalv10029326m.g, Thhalv10029173m.g, Thhalv10029152m.g
OG0000107	Stapi.1339s0004, Stapi.4797s0001, Stapi.6308s0002, Stapi.0434s0016, Stapi.7777s0002, Stapi.9090s0002, Stapi.1339s0006, Stapi.0434s0013, Stapi.7777s0001, Stapi.1978s0009, Stapi.1363s0006, Stapi.1363s0009, Stapi.0434s0010, Stapi.0434s0006, Stapi.0434s0009, Stapi.0434s0014, Stapi.1363s0008, Stapi.8726s0001, Stapi.0273s0005, Stapi.0137s0016, Stapi.0434s0018, Stapi.0434s0017, Stapi.20550s0001, Stapi.0434s0015	Thhalv10000654m.g, Thhalv10027422m.g
OG0000114	Stapi.0098s0003	Thhalv10000552m.g
OG0000114	Stapi.11009s0002, Stapi.5225s0001, Stapi.0543s0007, Stapi.4527s0002, Stapi.4802s0002, Stapi.0543s0004, Stapi.29124s0001, Stapi.14635s0001, Stapi.8012s0001, Stapi.1021s0005, Stapi.0591s0013, Stapi.8101s0001, Stapi.4983s0002, Stapi.8211s0001, Stapi.4359s0001, Stapi.0412s0009, Stapi.2369s0001, Stapi.4535s0003, Stapi.0543s0002, Stapi.1021s0007, Stapi.8041s0001, Stapi.0412s0012, Stapi.17891s0001, Stapi.4527s0001, Stapi.1021s0006, Stapi.3108s0003, Stapi.5526s0003, Stapi.1512s0002, Stapi.1597s0009, Stapi.22643s0001, Stapi.14264s0002, Stapi.3442s0002, Stapi.4802s0004, Stapi.22146s0001, Stapi.1979s0001, Stapi.4983s0001	Thhalv10002367m.g, Thhalv10000034m.g, Thhalv10000033m.g, Thhalv10000035m.g, Thhalv10000044m.g, Thhalv10002360m.g, Thhalv10000632m.g
OG0000115	Stapi.8809s0001, Stapi.18523s0001, Stapi.3018s0007, Stapi.1226s0002, Stapi.0085s0004, Stapi.0005s0010, Stapi.3619s0005, Stapi.4082s0004, Stapi.2633s0001, Stapi.7179s0001, Stapi.0231s0032, Stapi.0163s0022, Stapi.0540s0015, Stapi.0085s0005, Stapi.10564s0002, Stapi.4027s0007	Thhalv10028046m.g, Thhalv10023173m.g
OG0000115	Stapi.0604s0012	Thhalv10022584m.g, Thhalv10024135m.g, Thhalv10027556m.g, Thhalv10028186m.g, Thhalv10011953m.g, Thhalv10001868m.g, Thhalv10023166m.g
OG0000115	Stapi.2035s0001	Thhalv10012261m.g, Thhalv10015783m.g, Thhalv10011093m.g, Thhalv10005333m.g, Thhalv10011948m.g, Thhalv10012204m.g, Thhalv10012171m.g
OG0000116	Stapi.2511s0001, Stapi.2882s0006, Stapi.20719s0001	Thhalv10027631m.g
OG0000116	Stapi.3843s0005, Stapi.5462s0001, Stapi.0250s0020	Thhalv10027763m.g
OG0000116	Stapi.3568s0001	Thhalv10000770m.g
OG0000119	Stapi.0768s0001, Stapi.3332s0006	Thhalv10000675m.g
OG0000119	Stapi.0159s0002, Stapi.1592s0006, Stapi.2668s0002, Stapi.0768s0003, Stapi.13515s0001	Thhalv10000166m.g, Thhalv10000460m.g, Thhalv10000199m.g
OG0000119	Stapi.4669s0002, Stapi.0159s0001	Thhalv10000198m.g
OG0000122	Stapi.1154s0012	Thhalv10010851m.g, Thhalv10002735m.g
OG0000122	Stapi.0142s0025	Thhalv10015098m.g
OG0000122	Stapi.0263s0013	Thhalv10002736m.g
OG0000122	Stapi.9681s0003	Thhalv10017468m.g
OG0000126	Stapi.15517s0001, Stapi.0060s0002, Stapi.2105s0001, Stapi.8505s0001, Stapi.0351s0010, Stapi.4517s0006, Stapi.8230s0001, Stapi.0433s0007, Stapi.2493s0003, Stapi.10440s0004, Stapi.0664s0007, Stapi.0494s0006, Stapi.16526s0001, Stapi.3992s0006, Stapi.2409s0006, Stapi.0494s0004, Stapi.0196s0011, Stapi.3029s0001, Stapi.3255s0002, Stapi.21145s0001, Stapi.0160s0017, Stapi.4399s0005, Stapi.5816s0001, Stapi.0160s0019, Stapi.0160s0016, Stapi.7397s0002, Stapi.0160s0015, Stapi.0110s0016, Stapi.8612s0003, Stapi.3530s0009, Stapi.0562s0006, Stapi.0064s0012, Stapi.3016s0003, Stapi.2756s0005, Stapi.5399s0003, Stapi.6577s0003, Stapi.10032s0002, Stapi.0770s0001, Stapi.2272s0002, Stapi.0916s0011	Thhalv10002258m.g
OG0000127	Stapi.0371s0011	Thhalv10006295m.g, Thhalv10017373m.g
OG0000127	Stapi.0402s0008, Stapi.0399s0010	Thhalv10002700m.g
OG0000134	Stapi.2732s0003	Thhalv10004760m.g
OG0000134	Stapi.0331s0005	Thhalv10009721m.g
OG0000134	Stapi.8831s0002	Thhalv10023962m.g, Thhalv10024038m.g
OG0000134	Stapi.1107s0011	Thhalv10022458m.g, Thhalv10022446m.g
OG0000134	Stapi.2953s0002, Stapi.11195s0002, Stapi.1107s0012, Stapi.8831s0001	Thhalv10024068m.g
OG0000134	Stapi.0115s0033	Thhalv10014078m.g
OG0000135	Stapi.0400s0020	Thhalv10014941m.g
OG0000135	Stapi.1357s0015	Thhalv10026967m.g
OG0000135	Stapi.0449s0021	Thhalv10022898m.g
OG0000141	Stapi.2748s0001	Thhalv10015119m.g
OG0000141	Stapi.2834s0005	Thhalv10015141m.g
OG0000143	Stapi.0016s0007	Thhalv10017817m.g, Thhalv10009844m.g, Thhalv10019496m.g
OG0000146	Stapi.9699s0002	Thhalv10006262m.g, Thhalv10001656m.g
OG0000146	Stapi.5707s0002	Thhalv10008885m.g
OG0000146	Stapi.3060s0006	Thhalv10014797m.g
OG0000146	Stapi.3499s0005, Stapi.2316s0001	Thhalv10008884m.g
OG0000147	Stapi.3279s0001	Thhalv10027336m.g
OG0000147	Stapi.3915s0003, Stapi.3994s0002, Stapi.3994s0001	Thhalv10027082m.g
OG0000147	Stapi.0831s0014, Stapi.0831s0017, Stapi.0831s0016	Thhalv10026652m.g
OG0000147	Stapi.0831s0015	Thhalv10027374m.g
OG0000148	Stapi.4934s0002	Thhalv10023343m.g
OG0000148	Stapi.14664s0002, Stapi.3639s0001	Thhalv10002169m.g
OG0000148	Stapi.0125s0034, Stapi.3493s0003, Stapi.1293s0009	Thhalv10007031m.g
OG0000148	Stapi.0758s0003	Thhalv10020257m.g
OG0000149	Stapi.22276s0002	Thhalv10017894m.g, Thhalv10002293m.g, Thhalv10029170m.g, Thhalv10017533m.g
OG0000149	Stapi.1295s0006	Thhalv10027506m.g, Thhalv10029396m.g, Thhalv10029517m.g, Thhalv10029266m.g, Thhalv10029154m.g, Thhalv10029470m.g, Thhalv10029145m.g, Thhalv10029437m.g, Thhalv10029520m.g, Thhalv10029317m.g
OG0000149	Stapi.1405s0010	Thhalv10016904m.g, Thhalv10017616m.g, Thhalv10017704m.g, Thhalv10016945m.g, Thhalv10017764m.g, Thhalv10017911m.g, Thhalv10017591m.g, Thhalv10017778m.g, Thhalv10017512m.g, Thhalv10017708m.g, Thhalv10017621m.g, Thhalv10017773m.g, Thhalv10017515m.g, Thhalv10017955m.g, Thhalv10015844m.g, Thhalv10017832m.g, Thhalv10017748m.g, Thhalv10017648m.g
OG0000151	Stapi.3838s0001, Stapi.0399s0012, Stapi.31140s0001, Stapi.3261s0007, Stapi.6961s0003, Stapi.1100s0004, Stapi.0082s0006	Thhalv10002388m.g
OG0000151	Stapi.3261s0006, Stapi.0637s0006, Stapi.2204s0003, Stapi.0669s0007	Thhalv10000757m.g, Thhalv10001203m.g
OG0000151	Stapi.3302s0005, Stapi.5876s0001	Thhalv10012566m.g
OG0000152	Stapi.4633s0002, Stapi.4633s0001	Thhalv10009036m.g
OG0000152	Stapi.0175s0024	Thhalv10009068m.g
OG0000152	Stapi.4905s0001, Stapi.4633s0003	Thhalv10009028m.g, Thhalv10009397m.g
OG0000153	Stapi.2503s0004	Thhalv10014927m.g
OG0000153	Stapi.1305s0003	Thhalv10014958m.g
OG0000153	Stapi.0619s0016	Thhalv10010811m.g
OG0000153	Stapi.1154s0002, Stapi.1149s0007	Thhalv10017408m.g
OG0000154	Stapi.22220s0001	Thhalv10015889m.g
OG0000154	Stapi.0150s0019	Thhalv10002911m.g
OG0000155	Stapi.12524s0002	Thhalv10022962m.g
OG0000155	Stapi.4143s0002	Thhalv10023198m.g
OG0000155	Stapi.28563s0001	Thhalv10027348m.g
OG0000155	Stapi.14803s0002	Thhalv10026047m.g
OG0000158	Stapi.0202s0013	Thhalv10002848m.g
OG0000159	Stapi.8121s0001	Thhalv10029183m.g
OG0000159	Stapi.3587s0003	Thhalv10015983m.g
OG0000159	Stapi.3598s0004, Stapi.1799s0004, Stapi.1137s0002, Stapi.1496s0002, Stapi.3467s0001	Thhalv10023989m.g, Thhalv10023349m.g
OG0000159	Stapi.8121s0002, Stapi.15875s0001	Thhalv10023942m.g, Thhalv10023976m.g, Thhalv10023987m.g, Thhalv10023345m.g, Thhalv10023354m.g, Thhalv10023344m.g
OG0000160	Stapi.8757s0001	Thhalv10026296m.g
OG0000160	Stapi.0449s0020	Thhalv10022857m.g
OG0000160	Stapi.2877s0006	Thhalv10022861m.g
OG0000163	Stapi.0710s0015, Stapi.2477s0002, Stapi.0916s0001	Thhalv10017057m.g, Thhalv10017909m.g, Thhalv10017639m.g
OG0000163	Stapi.0916s0004	Thhalv10017823m.g
OG0000163	Stapi.2477s0005, Stapi.2477s0004	Thhalv10019371m.g
