Orthogroup	S_diversifolius	S_pinnata
OG0000047	Sdiv_ptg000022l_0377-R	Stapi.0259s0001
OG0000051	Sdiv_ptg000007l_0071-R	Stapi.4599s0002, Stapi.3452s0004, Stapi.10408s0001, Stapi.8022s0003, Stapi.5386s0001, Stapi.2727s0009, Stapi.3339s0003, Stapi.11205s0001, Stapi.11683s0002, Stapi.3452s0006, Stapi.7204s0001, Stapi.6214s0003, Stapi.7204s0002, Stapi.4856s0002, Stapi.1354s0001, Stapi.10296s0002, Stapi.26356s0001, Stapi.3075s0004, Stapi.3075s0007, Stapi.5204s0001, Stapi.3452s0001, Stapi.0112s0019, Stapi.3452s0008, Stapi.1450s0002, Stapi.9970s0001, Stapi.3075s0003, Stapi.2727s0006, Stapi.6214s0005, Stapi.10345s0001, Stapi.4856s0001, Stapi.6192s0002, Stapi.3339s0002, Stapi.2727s0008, Stapi.0522s0006, Stapi.0299s0020, Stapi.7527s0002
OG0000051	Sdiv_ptg000012l_2289-R	Stapi.4027s0001, Stapi.3452s0003, Stapi.6192s0001, Stapi.3339s0001, Stapi.8572s0002, Stapi.3641s0003, Stapi.9970s0003, Stapi.6214s0001, Stapi.11205s0002, Stapi.2727s0002, Stapi.10345s0003, Stapi.30524s0001, Stapi.4487s0001, Stapi.19329s0002
OG0000062	Sdiv_ptg000015l_1092-R	Stapi.2719s0003
OG0000077	Sdiv_ptg000012l_0378-R	Stapi.0396s0014, Stapi.0498s0001
OG0000077	Sdiv_ptg000007l_1639-R	Stapi.0722s0003
OG0000077	Sdiv_ptg000022l_0679-R, Sdiv_ptg000008l_0637-R	Stapi.5563s0006
OG0000077	Sdiv_ptg000010l_2156-R	Stapi.0250s0012
OG0000077	Sdiv_ptg000002l_1778-R	Stapi.9655s0001
OG0000077	Sdiv_ptg000008l_0991-R	Stapi.2162s0004
OG0000077	Sdiv_ptg000005l_0718-R, Sdiv_ptg000004l_1038-R	Stapi.2395s0008
