Orthogroup	S_diversifolius	E_salsugineum
OG0000080	Sdiv_ptg000002l_0823-R	Thhalv10002572m.g
OG0000080	Sdiv_ptg000002l_0336-R, Sdiv_ptg000015l_1776-R, Sdiv_ptg000022l_1286-R	Thhalv10016809m.g, Thhalv10010455m.g
OG0000080	Sdiv_ptg000013l_1462-R	Thhalv10020950m.g
OG0000080	Sdiv_ptg000013l_0979-R	Thhalv10020906m.g
OG0000080	Sdiv_ptg000010l_2344-R	Thhalv10013834m.g
OG0000080	Sdiv_ptg000015l_1328-R	Thhalv10013840m.g
OG0000093	Sdiv_ptg000004l_1690-R, Sdiv_ptg000005l_1397-R	Thhalv10024335m.g
OG0000093	Sdiv_ptg000002l_0958-R, Sdiv_ptg000015l_1184-R	Thhalv10002391m.g
OG0000093	Sdiv_ptg000001l_0466-R, Sdiv_ptg000011l_0434-R, Sdiv_ptg000013l_0439-R	Thhalv10002390m.g
OG0000093	Sdiv_ptg000002l_2099-R	Thhalv10018080m.g
OG0000093	Sdiv_ptg000012l_0380-R, Sdiv_ptg000007l_1812-R	Thhalv10003603m.g
OG0000093	Sdiv_ptg000009l_2481-R, Sdiv_ptg000010l_0805-R	Thhalv10015530m.g
OG0000093	Sdiv_ptg000013l_0122-R, Sdiv_ptg000011l_0129-R, Sdiv_ptg000001l_0151-R	Thhalv10022531m.g
OG0000096	Sdiv_ptg000027l_0103-R, Sdiv_ptg000003l_1260-R, Sdiv_ptg000015l_1150-R, Sdiv_ptg000015l_1186-R, Sdiv_ptg000011l_0421-R, Sdiv_ptg000005l_0361-R, Sdiv_ptg000008l_0491-R, Sdiv_ptg000005l_0378-R, Sdiv_ptg000013l_1407-R, Sdiv_ptg000010l_1806-R, Sdiv_ptg000022l_0723-R, Sdiv_ptg000002l_1275-R, Sdiv_ptg000012l_1693-R, Sdiv_ptg000004l_0580-R, Sdiv_ptg000009l_2031-R, Sdiv_ptg000010l_0226-R, Sdiv_ptg000012l_1734-R, Sdiv_ptg000015l_1132-R, Sdiv_ptg000004l_0373-R, Sdiv_ptg000008l_0395-R, Sdiv_ptg000003l_1373-R, Sdiv_ptg000015l_1290-R, Sdiv_ptg000003l_1261-R, Sdiv_ptg000015l_1153-R, Sdiv_ptg000027l_0102-R, Sdiv_ptg000011l_0333-R, Sdiv_ptg000005l_0116-R, Sdiv_ptg000008l_0324-R, Sdiv_ptg000009l_2038-R, Sdiv_ptg000009l_1131-R, Sdiv_ptg000009l_2902-R, Sdiv_ptg000012l_1664-R, Sdiv_ptg000005l_0069-R, Sdiv_ptg000014l_1791-R, Sdiv_ptg000013l_0393-R, Sdiv_ptg000015l_1156-R, Sdiv_ptg000015l_1154-R, Sdiv_ptg000015l_1185-R	Thhalv10028068m.g
OG0000104	Sdiv_ptg000009l_0630-R	Thhalv10005114m.g
OG0000104	Sdiv_ptg000007l_0317-R	Thhalv10029057m.g
OG0000104	Sdiv_ptg000004l_2267-R	Thhalv10014984m.g, Thhalv10019309m.g
OG0000105	Sdiv_ptg000012l_2201-R	Thhalv10023505m.g
OG0000107	Sdiv_ptg000003l_2864-R, Sdiv_ptg000014l_1853-R, Sdiv_ptg000004l_0097-R	Thhalv10000654m.g, Thhalv10027422m.g
OG0000116	Sdiv_ptg000027l_0281-R	Thhalv10027631m.g
OG0000119	Sdiv_ptg000022l_0242-R	Thhalv10000675m.g
OG0000127	Sdiv_ptg000015l_1990-R, Sdiv_ptg000002l_0110-R	Thhalv10006295m.g
OG0000127	Sdiv_ptg000022l_0485-R	Thhalv10017373m.g
OG0000127	Sdiv_ptg000027l_0076-R, Sdiv_ptg000015l_1031-R, Sdiv_ptg000002l_1084-R	Thhalv10027976m.g
OG0000127	Sdiv_ptg000009l_2810-R, Sdiv_ptg000002l_0932-R, Sdiv_ptg000010l_0473-R	Thhalv10002700m.g
OG0000134	Sdiv_ptg000012l_1215-R	Thhalv10004760m.g
OG0000134	Sdiv_ptg000012l_1214-R	Thhalv10009721m.g, Thhalv10014092m.g, Thhalv10008193m.g, Thhalv10009882m.g, Thhalv10024127m.g, Thhalv10023962m.g, Thhalv10024038m.g, Thhalv10022458m.g, Thhalv10022446m.g, Thhalv10024157m.g, Thhalv10024068m.g, Thhalv10002041m.g, Thhalv10008182m.g, Thhalv10014078m.g
OG0000135	Sdiv_ptg000009l_2171-R, Sdiv_ptg000010l_1098-R	Thhalv10014941m.g
OG0000135	Sdiv_ptg000005l_1232-R, Sdiv_ptg000004l_1539-R	Thhalv10026967m.g
OG0000135	Sdiv_ptg000012l_2316-R	Thhalv10023744m.g
OG0000135	Sdiv_ptg000027l_0286-R, Sdiv_ptg000004l_0034-R	Thhalv10027977m.g
OG0000135	Sdiv_ptg000010l_0901-R	Thhalv10014935m.g
OG0000135	Sdiv_ptg000001l_0295-R	Thhalv10022898m.g
OG0000141	Sdiv_ptg000010l_0238-R	Thhalv10002886m.g, Thhalv10015858m.g, Thhalv10015121m.g, Thhalv10015119m.g, Thhalv10015118m.g, Thhalv10015117m.g
OG0000141	Sdiv_ptg000009l_1202-R	Thhalv10015141m.g
OG0000146	Sdiv_ptg000022l_1982-R	Thhalv10006262m.g, Thhalv10001656m.g
OG0000146	Sdiv_ptg000010l_1987-R	Thhalv10014797m.g
OG0000146	Sdiv_ptg000002l_1403-R, Sdiv_ptg000015l_0747-R, Sdiv_ptg000003l_0618-R	Thhalv10008884m.g
OG0000147	Sdiv_ptg000016l_0270-R	Thhalv10027082m.g, Thhalv10009174m.g, Thhalv10006332m.g
OG0000148	Sdiv_ptg000012l_2070-R, Sdiv_ptg000002l_0736-R	Thhalv10023343m.g
OG0000148	Sdiv_ptg000010l_2814-R	Thhalv10012922m.g
OG0000148	Sdiv_ptg000013l_1664-R	Thhalv10020258m.g
OG0000148	Sdiv_ptg000014l_1054-R	Thhalv10007031m.g
OG0000148	Sdiv_ptg000013l_1432-R	Thhalv10020257m.g
OG0000151	Sdiv_ptg000015l_1254-R, Sdiv_ptg000015l_1259-R, Sdiv_ptg000015l_1253-R	Thhalv10002388m.g
OG0000152	Sdiv_ptg000014l_2245-R	Thhalv10009036m.g
OG0000152	Sdiv_ptg000014l_2240-R	Thhalv10009068m.g
OG0000152	Sdiv_ptg000014l_2241-R	Thhalv10009028m.g, Thhalv10009397m.g
OG0000153	Sdiv_ptg000010l_0605-R	Thhalv10002699m.g, Thhalv10014958m.g, Thhalv10010811m.g, Thhalv10017408m.g
OG0000158	Sdiv_ptg000010l_1384-R	Thhalv10002848m.g
OG0000159	Sdiv_ptg000014l_0383-R	Thhalv10029183m.g
OG0000159	Sdiv_ptg000001l_1187-R	Thhalv10015983m.g, Thhalv10023989m.g, Thhalv10023349m.g, Thhalv10023942m.g, Thhalv10023976m.g, Thhalv10023987m.g, Thhalv10023345m.g, Thhalv10023354m.g, Thhalv10023344m.g, Thhalv10023350m.g, Thhalv10023351m.g
OG0000160	Sdiv_ptg000005l_1794-R	Thhalv10026296m.g
OG0000160	Sdiv_ptg000004l_2043-R	Thhalv10026291m.g
OG0000160	Sdiv_ptg000015l_0366-R	Thhalv10019171m.g
OG0000160	Sdiv_ptg000014l_1319-R	Thhalv10008827m.g
OG0000160	Sdiv_ptg000013l_0198-R, Sdiv_ptg000011l_0209-R	Thhalv10022861m.g
OG0000163	Sdiv_ptg000022l_0658-R	Thhalv10017057m.g, Thhalv10017909m.g, Thhalv10017639m.g
OG0000163	Sdiv_ptg000022l_0655-R	Thhalv10017823m.g
OG0000163	Sdiv_ptg000022l_0656-R	Thhalv10019371m.g
OG0000169	Sdiv_ptg000003l_1441-R, Sdiv_ptg000005l_0126-R, Sdiv_ptg000022l_0414-R, Sdiv_ptg000011l_0352-R, Sdiv_ptg000012l_1825-R, Sdiv_ptg000022l_0357-R, Sdiv_ptg000013l_0408-R, Sdiv_ptg000008l_0410-R, Sdiv_ptg000012l_1818-R, Sdiv_ptg000009l_1816-R, Sdiv_ptg000015l_1100-R, Sdiv_ptg000015l_1128-R, Sdiv_ptg000005l_0090-R, Sdiv_ptg000004l_0361-R, Sdiv_ptg000008l_0391-R, Sdiv_ptg000003l_1607-R, Sdiv_ptg000007l_0979-R, Sdiv_ptg000008l_0405-R, Sdiv_ptg000004l_0360-R, Sdiv_ptg000004l_0407-R, Sdiv_ptg000027l_0122-R, Sdiv_ptg000010l_1641-R, Sdiv_ptg000013l_0365-R, Sdiv_ptg000005l_0008-R, Sdiv_ptg000012l_2181-R, Sdiv_ptg000004l_0534-R, Sdiv_ptg000001l_0480-R, Sdiv_ptg000012l_1830-R, Sdiv_ptg000007l_0495-R, Sdiv_ptg000001l_0446-R, Sdiv_ptg000014l_1817-R, Sdiv_ptg000012l_2016-R, Sdiv_ptg000007l_0549-R, Sdiv_ptg000022l_0471-R, Sdiv_ptg000022l_0392-R	Thhalv10019744m.g
OG0000170	Sdiv_ptg000022l_0156-R	Thhalv10000131m.g
OG0000173	Sdiv_ptg000009l_2876-R	Thhalv10008842m.g, Thhalv10028985m.g
OG0000173	Sdiv_ptg000016l_0239-R	Thhalv10006249m.g
OG0000173	Sdiv_ptg000007l_0379-R	Thhalv10023704m.g, Thhalv10023657m.g
OG0000174	Sdiv_ptg000015l_1179-R	Thhalv10023289m.g, Thhalv10023861m.g
OG0000174	Sdiv_ptg000007l_0304-R	Thhalv10024072m.g, Thhalv10023659m.g, Thhalv10024171m.g, Thhalv10012230m.g
OG0000175	Sdiv_ptg000011l_0317-R, Sdiv_ptg000013l_0317-R	Thhalv10022545m.g, Thhalv10022404m.g, Thhalv10024295m.g, Thhalv10024211m.g, Thhalv10024234m.g, Thhalv10019540m.g, Thhalv10019468m.g, Thhalv10012489m.g
OG0000181	Sdiv_ptg000003l_1193-R, Sdiv_ptg000003l_1195-R, Sdiv_ptg000003l_1197-R, Sdiv_ptg000003l_1198-R, Sdiv_ptg000003l_1205-R, Sdiv_ptg000003l_1201-R, Sdiv_ptg000003l_1203-R	Thhalv10029161m.g, Thhalv10029379m.g, Thhalv10029399m.g
OG0000187	Sdiv_ptg000015l_0918-R	Thhalv10012389m.g, Thhalv10011354m.g, Thhalv10011355m.g
OG0000187	Sdiv_ptg000009l_2042-R	Thhalv10015256m.g
OG0000192	Sdiv_ptg000004l_2182-R	Thhalv10026033m.g
OG0000192	Sdiv_ptg000027l_0184-R	Thhalv10000487m.g, Thhalv10000611m.g, Thhalv10027888m.g
OG0000194	Sdiv_ptg000014l_1937-R, Sdiv_ptg000003l_1282-R	Thhalv10001833m.g
OG0000194	Sdiv_ptg000015l_0193-R, Sdiv_ptg000002l_1964-R	Thhalv10019018m.g
OG0000194	Sdiv_ptg000010l_1477-R	Thhalv10028882m.g
OG0000194	Sdiv_ptg000013l_2101-R	Thhalv10021346m.g
OG0000197	Sdiv_ptg000002l_0350-R	Thhalv10016300m.g, Thhalv10010146m.g, Thhalv10012786m.g, Thhalv10010176m.g, Thhalv10016295m.g, Thhalv10010147m.g
OG0000198	Sdiv_ptg000010l_0911-R	Thhalv10012832m.g
OG0000198	Sdiv_ptg000009l_2122-R	Thhalv10012817m.g
OG0000198	Sdiv_ptg000004l_1438-R	Thhalv10024564m.g
OG0000198	Sdiv_ptg000010l_1541-R	Thhalv10024561m.g
OG0000199	Sdiv_ptg000010l_0143-R, Sdiv_ptg000009l_1089-R	Thhalv10013948m.g
OG0000199	Sdiv_ptg000013l_1049-R, Sdiv_ptg000001l_1113-R	Thhalv10021026m.g
OG0000199	Sdiv_ptg000014l_1648-R	Thhalv10011613m.g
OG0000199	Sdiv_ptg000027l_0067-R	Thhalv10027817m.g
OG0000199	Sdiv_ptg000002l_1075-R, Sdiv_ptg000015l_1042-R	Thhalv10018774m.g
OG0000200	Sdiv_ptg000008l_0860-R	Thhalv10016267m.g, Thhalv10016266m.g
OG0000200	Sdiv_ptg000022l_0767-R	Thhalv10016223m.g
OG0000201	Sdiv_ptg000027l_0025-R, Sdiv_ptg000027l_0008-R, Sdiv_ptg000027l_0004-R, Sdiv_ptg000027l_0019-R, Sdiv_ptg000027l_0010-R, Sdiv_ptg000005l_0003-R, Sdiv_ptg000027l_0024-R, Sdiv_ptg000027l_0023-R, Sdiv_ptg000027l_0021-R, Sdiv_ptg000027l_0005-R, Sdiv_ptg000027l_0002-R, Sdiv_ptg000027l_0006-R, Sdiv_ptg000027l_0003-R, Sdiv_ptg000027l_0027-R, Sdiv_ptg000027l_0020-R, Sdiv_ptg000005l_0005-R, Sdiv_ptg000027l_0007-R, Sdiv_ptg000027l_0015-R, Sdiv_ptg000027l_0011-R, Sdiv_ptg000027l_0016-R, Sdiv_ptg000027l_0026-R, Sdiv_ptg000027l_0028-R, Sdiv_ptg000027l_0018-R, Sdiv_ptg000027l_0009-R, Sdiv_ptg000027l_0014-R	Thhalv10028274m.g, Thhalv10028342m.g
OG0000204	Sdiv_ptg000015l_2273-R	Thhalv10006141m.g
OG0000204	Sdiv_ptg000005l_0886-R	Thhalv10025910m.g
OG0000204	Sdiv_ptg000014l_0041-R	Thhalv10008397m.g
OG0000204	Sdiv_ptg000013l_0465-R, Sdiv_ptg000009l_2992-R	Thhalv10028860m.g
OG0000204	Sdiv_ptg000022l_1891-R, Sdiv_ptg000018l_0150-R	Thhalv10001573m.g
OG0000205	Sdiv_ptg000001l_0730-R, Sdiv_ptg000001l_0720-R, Sdiv_ptg000009l_1743-R	Thhalv10022281m.g, Thhalv10022140m.g, Thhalv10021953m.g, Thhalv10022121m.g, Thhalv10022074m.g, Thhalv10021906m.g, Thhalv10022425m.g
OG0000208	Sdiv_ptg000076l_0003-R, Sdiv_ptg000048l_0003-R, Sdiv_ptg000070l_0002-R, Sdiv_ptg000042l_0002-R, Sdiv_ptg000058l_0002-R, Sdiv_ptg000036l_0005-R, Sdiv_ptg000069l_0003-R, Sdiv_ptg000052l_0001-R, Sdiv_ptg000041l_0010-R, Sdiv_ptg000065l_0002-R, Sdiv_ptg000082l_0001-R, Sdiv_ptg000079l_0004-R, Sdiv_ptg000071l_0002-R, Sdiv_ptg000066l_0004-R, Sdiv_ptg000029l_0002-R, Sdiv_ptg000063l_0003-R, Sdiv_ptg000080l_0002-R, Sdiv_ptg000032l_0003-R, Sdiv_ptg000023l_0002-R, Sdiv_ptg000039l_0001-R, Sdiv_ptg000025l_0005-R, Sdiv_ptg000084l_0002-R, Sdiv_ptg000077l_0002-R, Sdiv_ptg000060l_0001-R, Sdiv_ptg000082l_0004-R	Thhalv10011843m.g
OG0000209	Sdiv_ptg000074l_0001-R, Sdiv_ptg000141l_0002-R, Sdiv_ptg000198l_0001-R, Sdiv_ptg000121l_0002-R, Sdiv_ptg000195l_0003-R, Sdiv_ptg000149l_0001-R, Sdiv_ptg000153l_0003-R, Sdiv_ptg000179l_0001-R, Sdiv_ptg000104l_0008-R, Sdiv_ptg000135l_0001-R, Sdiv_ptg000046l_0001-R, Sdiv_ptg000060l_0002-R, Sdiv_ptg000209l_0001-R, Sdiv_ptg000197l_0002-R, Sdiv_ptg000178l_0003-R, Sdiv_ptg000177l_0007-R, Sdiv_ptg000053l_0004-R, Sdiv_ptg000130l_0001-R, Sdiv_ptg000076l_0002-R, Sdiv_ptg000190l_0004-R, Sdiv_ptg000168l_0015-R, Sdiv_ptg000079l_0005-R, Sdiv_ptg000042l_0003-R, Sdiv_ptg000169l_0003-R, Sdiv_ptg000063l_0002-R	Thhalv10028093m.g, Thhalv10001821m.g, Thhalv10012367m.g
OG0000211	Sdiv_ptg000152l_0003-R, Sdiv_ptg000041l_0003-R, Sdiv_ptg000055l_0005-R, Sdiv_ptg000132l_0003-R, Sdiv_ptg000118l_0007-R, Sdiv_ptg000140l_0002-R, Sdiv_ptg000017l_0002-R, Sdiv_ptg000189l_0003-R, Sdiv_ptg000188l_0006-R, Sdiv_ptg000168l_0002-R, Sdiv_ptg000062l_0003-R, Sdiv_ptg000154l_0002-R, Sdiv_ptg000128l_0002-R, Sdiv_ptg000172l_0003-R, Sdiv_ptg000080l_0009-R, Sdiv_ptg000146l_0003-R, Sdiv_ptg000112l_0002-R, Sdiv_ptg000177l_0002-R, Sdiv_ptg000094l_0003-R, Sdiv_ptg000149l_0008-R, Sdiv_ptg000116l_0002-R, Sdiv_ptg000120l_0008-R, Sdiv_ptg000155l_0002-R, Sdiv_ptg000098l_0007-R, Sdiv_ptg000139l_0002-R, Sdiv_ptg000580l_0003-R, Sdiv_ptg001148l_0002-R	Thhalv10011087m.g
OG0000212	Sdiv_ptg000021l_0005-R, Sdiv_ptg000094l_0001-R, Sdiv_ptg000017l_0004-R, Sdiv_ptg000120l_0009-R, Sdiv_ptg000139l_0004-R, Sdiv_ptg000128l_0004-R, Sdiv_ptg000112l_0004-R, Sdiv_ptg000080l_0011-R, Sdiv_ptg000077l_0010-R, Sdiv_ptg000116l_0004-R, Sdiv_ptg000146l_0001-R, Sdiv_ptg000055l_0003-R, Sdiv_ptg000075l_0006-R, Sdiv_ptg000152l_0005-R, Sdiv_ptg000062l_0001-R, Sdiv_ptg000041l_0001-R, Sdiv_ptg000086l_0005-R, Sdiv_ptg000142l_0001-R, Sdiv_ptg000006l_0002-R, Sdiv_ptg000140l_0004-R, Sdiv_ptg000127l_0001-R, Sdiv_ptg000170l_0004-R, Sdiv_ptg000104l_0004-R, Sdiv_ptg000038l_0001-R, Sdiv_ptg000149l_0006-R, Sdiv_ptg000132l_0005-R	Thhalv10010993m.g
OG0000222	Sdiv_ptg000004l_1072-R	Thhalv10002984m.g, Thhalv10022025m.g
OG0000222	Sdiv_ptg000002l_1062-R	Thhalv10013551m.g, Thhalv10012685m.g, Thhalv10014181m.g, Thhalv10016428m.g, Thhalv10029461m.g, Thhalv10028322m.g, Thhalv10025088m.g, Thhalv10024419m.g
OG0000222	Sdiv_ptg000002l_1049-R	Thhalv10018118m.g, Thhalv10018117m.g, Thhalv10018116m.g
OG0000224	Sdiv_ptg000037l_0002-R, Sdiv_ptg000189l_0005-R, Sdiv_ptg000038l_0006-R, Sdiv_ptg000152l_0001-R, Sdiv_ptg000154l_0003-R, Sdiv_ptg000094l_0005-R, Sdiv_ptg000127l_0005-R, Sdiv_ptg000188l_0004-R, Sdiv_ptg000098l_0005-R, Sdiv_ptg000075l_0001-R, Sdiv_ptg000168l_0004-R, Sdiv_ptg000191l_0001-R, Sdiv_ptg000149l_0010-R, Sdiv_ptg000146l_0006-R, Sdiv_ptg000041l_0004-R, Sdiv_ptg000055l_0007-R, Sdiv_ptg000080l_0007-R, Sdiv_ptg000100l_0005-R, Sdiv_ptg000077l_0007-R, Sdiv_ptg000062l_0005-R, Sdiv_ptg000172l_0001-R, Sdiv_ptg000132l_0001-R, Sdiv_ptg000131l_0005-R, Sdiv_ptg000118l_0005-R, Sdiv_ptg000021l_0009-R	Thhalv10011116m.g
OG0000231	Sdiv_ptg000010l_0612-R	Thhalv10002663m.g
OG0000231	Sdiv_ptg000010l_2760-R	Thhalv10014465m.g
