Orthogroup	E_salsugineum	S_pinnata
OG0000045	Thhalv10023807m.g, Thhalv10027423m.g	Stapi.10314s0001, Stapi.24167s0001, Stapi.1973s0005, Stapi.5677s0001, Stapi.2213s0001
OG0000045	Thhalv10023055m.g	Stapi.10468s0001, Stapi.20177s0001, Stapi.3032s0004
OG0000045	Thhalv10012241m.g	Stapi.8308s0001, Stapi.4736s0002, Stapi.13697s0001
OG0000045	Thhalv10019861m.g, Thhalv10029225m.g, Thhalv10001790m.g	Stapi.10747s0001, Stapi.0422s0013, Stapi.3655s0001, Stapi.0370s0024, Stapi.17558s0001, Stapi.3797s0008, Stapi.0143s0015, Stapi.3583s0004, Stapi.3576s0002, Stapi.5406s0005
OG0000055	Thhalv10003306m.g	Stapi.0340s0031, Stapi.0022s0012, Stapi.1910s0004, Stapi.7998s0002, Stapi.7085s0002, Stapi.1006s0010, Stapi.0201s0002, Stapi.11495s0001, Stapi.4106s0002, Stapi.0929s0007, Stapi.3597s0008, Stapi.0317s0004, Stapi.0316s0017, Stapi.23051s0001, Stapi.12683s0001, Stapi.13136s0001, Stapi.14200s0001, Stapi.4555s0002, Stapi.22196s0001, Stapi.4461s0002, Stapi.9518s0001, Stapi.0129s0028, Stapi.4890s0001, Stapi.21816s0001, Stapi.1864s0006, Stapi.3278s0004, Stapi.0254s0028, Stapi.9389s0001, Stapi.10685s0001, Stapi.2177s0002, Stapi.2046s0009, Stapi.3426s0001, Stapi.8168s0002, Stapi.6336s0002, Stapi.6771s0001, Stapi.1959s0009, Stapi.4516s0006, Stapi.1330s0004, Stapi.2759s0001, Stapi.0563s0021, Stapi.13961s0002, Stapi.13961s0001, Stapi.11037s0001, Stapi.0257s0010, Stapi.4481s0001, Stapi.5085s0003, Stapi.1206s0008, Stapi.0020s0009, Stapi.1076s0006, Stapi.2335s0003, Stapi.4533s0003, Stapi.0454s0001, Stapi.1029s0001, Stapi.1761s0018, Stapi.1110s0001, Stapi.0536s0007, Stapi.10960s0001, Stapi.3696s0001, Stapi.2394s0004, Stapi.2462s0002, Stapi.2462s0003, Stapi.10941s0001, Stapi.1413s0001, Stapi.0649s0004, Stapi.0793s0005, Stapi.3526s0001, Stapi.5686s0008, Stapi.0960s0008, Stapi.1939s0001, Stapi.7201s0004, Stapi.16090s0001, Stapi.2025s0006, Stapi.2465s0001, Stapi.3675s0002, Stapi.0553s0009
OG0000058	Thhalv10002866m.g	Stapi.0222s0014, Stapi.0874s0004, Stapi.2361s0003, Stapi.1607s0011, Stapi.11351s0001, Stapi.2623s0004, Stapi.0145s0016, Stapi.0518s0004, Stapi.10397s0003, Stapi.31492s0001, Stapi.3886s0004, Stapi.0995s0009, Stapi.2045s0008, Stapi.0147s0005, Stapi.0134s0031, Stapi.0694s0018, Stapi.2023s0009, Stapi.1244s0010, Stapi.14649s0001, Stapi.12589s0001, Stapi.2431s0001, Stapi.0744s0003, Stapi.2118s0001, Stapi.2235s0008, Stapi.0177s0029, Stapi.1696s0001, Stapi.0602s0002, Stapi.1947s0003, Stapi.1535s0010, Stapi.14590s0001, Stapi.1680s0001, Stapi.8805s0002, Stapi.6160s0002, Stapi.10559s0001, Stapi.2481s0004, Stapi.9387s0002, Stapi.3856s0004, Stapi.0391s0023, Stapi.9802s0002, Stapi.19171s0001, Stapi.2891s0004, Stapi.0237s0027, Stapi.1591s0001, Stapi.1247s0001, Stapi.7436s0002, Stapi.0456s0003, Stapi.7917s0001, Stapi.1720s0002, Stapi.2176s0009, Stapi.0460s0013, Stapi.0019s0028, Stapi.10811s0001, Stapi.6817s0001, Stapi.1325s0007, Stapi.1426s0007, Stapi.2250s0010, Stapi.16314s0001, Stapi.0253s0033, Stapi.4670s0001, Stapi.0655s0015, Stapi.0040s0016, Stapi.7414s0001, Stapi.0125s0030, Stapi.2272s0006, Stapi.22296s0001, Stapi.13690s0001, Stapi.5376s0005, Stapi.30426s0001, Stapi.1420s0009, Stapi.1524s0003, Stapi.0780s0003, Stapi.1023s0002
OG0000065	Thhalv10026974m.g, Thhalv10028995m.g, Thhalv10000723m.g	Stapi.2503s0006, Stapi.0179s0008, Stapi.15221s0001, Stapi.8179s0003, Stapi.0889s0002, Stapi.1807s0006, Stapi.4188s0004, Stapi.0572s0006, Stapi.21110s0001, Stapi.3032s0003, Stapi.7564s0002, Stapi.0040s0021, Stapi.2432s0006, Stapi.2270s0006, Stapi.11985s0001, Stapi.0887s0012, Stapi.3765s0004, Stapi.0137s0001, Stapi.11843s0001, Stapi.1925s0008, Stapi.7042s0001, Stapi.1212s0004, Stapi.4911s0003, Stapi.1047s0005, Stapi.7019s0005, Stapi.2419s0007, Stapi.0034s0038, Stapi.0722s0009, Stapi.1356s0005, Stapi.9093s0002, Stapi.4415s0003, Stapi.2495s0001, Stapi.4902s0001, Stapi.1416s0005, Stapi.1903s0002, Stapi.0378s0007, Stapi.0603s0009, Stapi.5997s0003, Stapi.16130s0001, Stapi.9609s0001, Stapi.1558s0005, Stapi.4505s0003, Stapi.5802s0001, Stapi.0179s0006, Stapi.0989s0002, Stapi.10830s0002, Stapi.4234s0006, Stapi.3665s0001, Stapi.5833s0005, Stapi.8620s0002, Stapi.0948s0003, Stapi.1171s0004, Stapi.0218s0052, Stapi.5708s0002, Stapi.2276s0004, Stapi.9392s0001, Stapi.14569s0001, Stapi.17765s0001
OG0000066	Thhalv10011962m.g, Thhalv10012379m.g, Thhalv10012047m.g, Thhalv10012279m.g, Thhalv10012205m.g, Thhalv10012082m.g, Thhalv10011995m.g, Thhalv10012093m.g, Thhalv10012346m.g, Thhalv10012275m.g	Stapi.15433s0001
OG0000066	Thhalv10028042m.g	Stapi.2874s0008
OG0000071	Thhalv10002286m.g	Stapi.0252s0017, Stapi.11677s0003, Stapi.2253s0006
OG0000071	Thhalv10029202m.g	Stapi.0474s0009, Stapi.3833s0002, Stapi.2789s0007, Stapi.5105s0003, Stapi.0312s0017, Stapi.3265s0004, Stapi.11240s0001, Stapi.0254s0018, Stapi.28997s0001, Stapi.13702s0001, Stapi.0853s0017, Stapi.4422s0001, Stapi.11405s0002, Stapi.0792s0005, Stapi.2257s0006, Stapi.4831s0004, Stapi.0033s0034, Stapi.2887s0005, Stapi.1450s0013, Stapi.5569s0001, Stapi.1115s0002, Stapi.2887s0006, Stapi.7914s0004, Stapi.2298s0014, Stapi.2986s0001, Stapi.1627s0002, Stapi.1441s0005, Stapi.2012s0004, Stapi.1554s0006, Stapi.6992s0004, Stapi.1269s0001, Stapi.0905s0005, Stapi.0132s0032, Stapi.0484s0030, Stapi.2195s0003, Stapi.15187s0001, Stapi.2640s0006, Stapi.11722s0001, Stapi.13490s0001, Stapi.23810s0001, Stapi.1184s0008, Stapi.2298s0009, Stapi.19851s0001, Stapi.0737s0007, Stapi.1405s0003, Stapi.0095s0015, Stapi.18364s0001, Stapi.0451s0005, Stapi.7698s0001, Stapi.3612s0001, Stapi.3612s0002, Stapi.0122s0005
OG0000073	Thhalv10009535m.g	Stapi.13237s0002, Stapi.2640s0004
OG0000073	Thhalv10029194m.g	Stapi.0041s0022
OG0000073	Thhalv10009777m.g, Thhalv10026817m.g	Stapi.9929s0002, Stapi.2814s0011, Stapi.2226s0016, Stapi.0968s0002, Stapi.0725s0011, Stapi.1341s0005, Stapi.8343s0001, Stapi.15480s0001, Stapi.10757s0001, Stapi.4918s0003, Stapi.3685s0009, Stapi.0654s0012, Stapi.0376s0017, Stapi.6808s0002
OG0000077	Thhalv10010368m.g, Thhalv10010369m.g	Stapi.0396s0014, Stapi.0498s0001
OG0000077	Thhalv10010366m.g	Stapi.0519s0014
OG0000077	Thhalv10004208m.g	Stapi.0722s0003
OG0000077	Thhalv10016651m.g	Stapi.5563s0006
OG0000077	Thhalv10013524m.g	Stapi.0250s0012
OG0000077	Thhalv10018544m.g	Stapi.9655s0001
OG0000077	Thhalv10016629m.g	Stapi.2162s0004
OG0000077	Thhalv10025207m.g	Stapi.2395s0008
OG0000077	Thhalv10003210m.g	Stapi.6662s0001, Stapi.0455s0003
OG0000078	Thhalv10011059m.g	Stapi.4938s0003, Stapi.0137s0018, Stapi.0424s0007, Stapi.1884s0007, Stapi.0172s0011, Stapi.0170s0018, Stapi.4746s0002, Stapi.0994s0002, Stapi.3828s0004, Stapi.2362s0004, Stapi.11140s0001, Stapi.15729s0001, Stapi.2874s0010, Stapi.3809s0001, Stapi.14439s0001, Stapi.13023s0002, Stapi.8696s0001, Stapi.3136s0005, Stapi.0865s0003, Stapi.0443s0008, Stapi.3759s0002, Stapi.5493s0001, Stapi.18037s0001, Stapi.3968s0001, Stapi.0351s0007, Stapi.3071s0003, Stapi.1925s0001, Stapi.10510s0001, Stapi.2131s0005, Stapi.15920s0001, Stapi.10108s0001, Stapi.3279s0002, Stapi.8580s0001, Stapi.0031s0017, Stapi.10035s0001, Stapi.1582s0006, Stapi.0008s0007, Stapi.12101s0001, Stapi.3741s0003, Stapi.3522s0001, Stapi.23340s0001, Stapi.2129s0001, Stapi.13644s0001, Stapi.3804s0002, Stapi.13991s0001, Stapi.27762s0001, Stapi.3143s0002, Stapi.5769s0002, Stapi.2805s0003, Stapi.0024s0019, Stapi.6030s0001, Stapi.0749s0005, Stapi.0589s0003, Stapi.15577s0001, Stapi.1820s0006, Stapi.6510s0001, Stapi.0098s0023, Stapi.7757s0006, Stapi.12619s0002
OG0000080	Thhalv10002572m.g	Stapi.14275s0001
OG0000080	Thhalv10016809m.g	Stapi.4151s0001
OG0000080	Thhalv10010455m.g	Stapi.3274s0003
OG0000080	Thhalv10020950m.g	Stapi.3628s0004, Stapi.2736s0001
OG0000080	Thhalv10028132m.g	Stapi.1519s0013, Stapi.8139s0002
OG0000080	Thhalv10013840m.g	Stapi.5506s0002
OG0000093	Thhalv10024335m.g	Stapi.4414s0005
OG0000093	Thhalv10002391m.g	Stapi.3377s0004, Stapi.1523s0002
OG0000093	Thhalv10002390m.g	Stapi.6181s0001
OG0000093	Thhalv10018080m.g	Stapi.25448s0001
OG0000093	Thhalv10003603m.g	Stapi.9223s0001, Stapi.10113s0002
OG0000093	Thhalv10015530m.g	Stapi.3635s0004
OG0000093	Thhalv10022531m.g	Stapi.5513s0002, Stapi.7229s0002
OG0000096	Thhalv10028068m.g	Stapi.0331s0007, Stapi.0147s0030, Stapi.0155s0038, Stapi.1871s0002, Stapi.0953s0005, Stapi.0308s0005, Stapi.0441s0022, Stapi.0196s0027, Stapi.0004s0028, Stapi.0363s0022, Stapi.1885s0002
OG0000104	Thhalv10005114m.g, Thhalv10029057m.g	Stapi.2418s0007
OG0000104	Thhalv10014984m.g	Stapi.9585s0001
OG0000104	Thhalv10005111m.g	Stapi.7334s0003
OG0000105	Thhalv10023505m.g	Stapi.8225s0001
OG0000105	Thhalv10023457m.g, Thhalv10023838m.g, Thhalv10024090m.g, Thhalv10023447m.g	Stapi.8098s0001
OG0000105	Thhalv10023461m.g, Thhalv10024124m.g, Thhalv10023470m.g, Thhalv10024167m.g, Thhalv10024133m.g, Thhalv10023445m.g, Thhalv10024039m.g, Thhalv10024025m.g, Thhalv10023472m.g, Thhalv10019750m.g	Stapi.8225s0002
OG0000107	Thhalv10000646m.g, Thhalv10000583m.g, Thhalv10000580m.g, Thhalv10019002m.g, Thhalv10029200m.g, Thhalv10029326m.g, Thhalv10029173m.g, Thhalv10029152m.g	Stapi.1884s0001
OG0000107	Thhalv10000654m.g, Thhalv10027422m.g	Stapi.1339s0004, Stapi.4797s0001, Stapi.6308s0002, Stapi.0434s0016, Stapi.7777s0002, Stapi.9090s0002, Stapi.1339s0006, Stapi.0434s0013, Stapi.7777s0001, Stapi.1978s0009, Stapi.1363s0006, Stapi.1363s0009, Stapi.0434s0010, Stapi.0434s0006, Stapi.0434s0009, Stapi.0434s0014, Stapi.1363s0008, Stapi.8726s0001, Stapi.0273s0005, Stapi.0137s0016, Stapi.0434s0018, Stapi.0434s0017, Stapi.20550s0001, Stapi.0434s0015
OG0000114	Thhalv10000552m.g	Stapi.0098s0003
OG0000114	Thhalv10002367m.g, Thhalv10000034m.g, Thhalv10000033m.g, Thhalv10000035m.g, Thhalv10000044m.g, Thhalv10002360m.g, Thhalv10000632m.g	Stapi.11009s0002, Stapi.5225s0001, Stapi.0543s0007, Stapi.4527s0002, Stapi.4802s0002, Stapi.0543s0004, Stapi.29124s0001, Stapi.14635s0001, Stapi.8012s0001, Stapi.1021s0005, Stapi.0591s0013, Stapi.8101s0001, Stapi.4983s0002, Stapi.8211s0001, Stapi.4359s0001, Stapi.0412s0009, Stapi.2369s0001, Stapi.4535s0003, Stapi.0543s0002, Stapi.1021s0007, Stapi.8041s0001, Stapi.0412s0012, Stapi.17891s0001, Stapi.4527s0001, Stapi.1021s0006, Stapi.3108s0003, Stapi.5526s0003, Stapi.1512s0002, Stapi.1597s0009, Stapi.22643s0001, Stapi.14264s0002, Stapi.3442s0002, Stapi.4802s0004, Stapi.22146s0001, Stapi.1979s0001, Stapi.4983s0001
OG0000115	Thhalv10028046m.g, Thhalv10023173m.g	Stapi.8809s0001, Stapi.18523s0001, Stapi.3018s0007, Stapi.1226s0002, Stapi.0085s0004, Stapi.0005s0010, Stapi.3619s0005, Stapi.4082s0004, Stapi.2633s0001, Stapi.7179s0001, Stapi.0231s0032, Stapi.0163s0022, Stapi.0540s0015, Stapi.0085s0005, Stapi.10564s0002, Stapi.4027s0007
OG0000115	Thhalv10022584m.g, Thhalv10024135m.g, Thhalv10027556m.g, Thhalv10028186m.g, Thhalv10011953m.g, Thhalv10001868m.g, Thhalv10023166m.g	Stapi.0604s0012
OG0000115	Thhalv10012261m.g, Thhalv10015783m.g, Thhalv10011093m.g, Thhalv10005333m.g, Thhalv10011948m.g, Thhalv10012204m.g, Thhalv10012171m.g	Stapi.2035s0001
OG0000116	Thhalv10027631m.g	Stapi.2511s0001, Stapi.2882s0006, Stapi.20719s0001
OG0000116	Thhalv10027763m.g	Stapi.3843s0005, Stapi.5462s0001, Stapi.0250s0020
OG0000116	Thhalv10000770m.g	Stapi.3568s0001
OG0000119	Thhalv10000675m.g	Stapi.0768s0001, Stapi.3332s0006
OG0000119	Thhalv10000166m.g, Thhalv10000460m.g, Thhalv10000199m.g	Stapi.0159s0002, Stapi.1592s0006, Stapi.2668s0002, Stapi.0768s0003, Stapi.13515s0001
OG0000119	Thhalv10000198m.g	Stapi.4669s0002, Stapi.0159s0001
OG0000122	Thhalv10010851m.g, Thhalv10002735m.g	Stapi.1154s0012
OG0000122	Thhalv10015098m.g	Stapi.0142s0025
OG0000122	Thhalv10002736m.g	Stapi.0263s0013
OG0000122	Thhalv10017468m.g	Stapi.9681s0003
OG0000126	Thhalv10002258m.g	Stapi.15517s0001, Stapi.0060s0002, Stapi.2105s0001, Stapi.8505s0001, Stapi.0351s0010, Stapi.4517s0006, Stapi.8230s0001, Stapi.0433s0007, Stapi.2493s0003, Stapi.10440s0004, Stapi.0664s0007, Stapi.0494s0006, Stapi.16526s0001, Stapi.3992s0006, Stapi.2409s0006, Stapi.0494s0004, Stapi.0196s0011, Stapi.3029s0001, Stapi.3255s0002, Stapi.21145s0001, Stapi.0160s0017, Stapi.4399s0005, Stapi.5816s0001, Stapi.0160s0019, Stapi.0160s0016, Stapi.7397s0002, Stapi.0160s0015, Stapi.0110s0016, Stapi.8612s0003, Stapi.3530s0009, Stapi.0562s0006, Stapi.0064s0012, Stapi.3016s0003, Stapi.2756s0005, Stapi.5399s0003, Stapi.6577s0003, Stapi.10032s0002, Stapi.0770s0001, Stapi.2272s0002, Stapi.0916s0011
OG0000127	Thhalv10006295m.g, Thhalv10017373m.g	Stapi.0371s0011
OG0000127	Thhalv10002700m.g	Stapi.0402s0008, Stapi.0399s0010
OG0000134	Thhalv10004760m.g	Stapi.2732s0003
OG0000134	Thhalv10009721m.g	Stapi.0331s0005
OG0000134	Thhalv10023962m.g, Thhalv10024038m.g	Stapi.8831s0002
OG0000134	Thhalv10022458m.g, Thhalv10022446m.g	Stapi.1107s0011
OG0000134	Thhalv10024068m.g	Stapi.2953s0002, Stapi.11195s0002, Stapi.1107s0012, Stapi.8831s0001
OG0000134	Thhalv10014078m.g	Stapi.0115s0033
OG0000135	Thhalv10014941m.g	Stapi.0400s0020
OG0000135	Thhalv10026967m.g	Stapi.1357s0015
OG0000135	Thhalv10022898m.g	Stapi.0449s0021
OG0000141	Thhalv10015119m.g	Stapi.2748s0001
OG0000141	Thhalv10015141m.g	Stapi.2834s0005
OG0000143	Thhalv10017817m.g, Thhalv10009844m.g, Thhalv10019496m.g	Stapi.0016s0007
OG0000146	Thhalv10006262m.g, Thhalv10001656m.g	Stapi.9699s0002
OG0000146	Thhalv10008885m.g	Stapi.5707s0002
OG0000146	Thhalv10014797m.g	Stapi.3060s0006
OG0000146	Thhalv10008884m.g	Stapi.3499s0005, Stapi.2316s0001
OG0000147	Thhalv10027336m.g	Stapi.3279s0001
OG0000147	Thhalv10027082m.g	Stapi.3915s0003, Stapi.3994s0002, Stapi.3994s0001
OG0000147	Thhalv10026652m.g	Stapi.0831s0014, Stapi.0831s0017, Stapi.0831s0016
OG0000147	Thhalv10027374m.g	Stapi.0831s0015
OG0000148	Thhalv10023343m.g	Stapi.4934s0002
OG0000148	Thhalv10002169m.g	Stapi.14664s0002, Stapi.3639s0001
OG0000148	Thhalv10007031m.g	Stapi.0125s0034, Stapi.3493s0003, Stapi.1293s0009
OG0000148	Thhalv10020257m.g	Stapi.0758s0003
OG0000149	Thhalv10017894m.g, Thhalv10002293m.g, Thhalv10029170m.g, Thhalv10017533m.g	Stapi.22276s0002
OG0000149	Thhalv10027506m.g, Thhalv10029396m.g, Thhalv10029517m.g, Thhalv10029266m.g, Thhalv10029154m.g, Thhalv10029470m.g, Thhalv10029145m.g, Thhalv10029437m.g, Thhalv10029520m.g, Thhalv10029317m.g	Stapi.1295s0006
OG0000149	Thhalv10016904m.g, Thhalv10017616m.g, Thhalv10017704m.g, Thhalv10016945m.g, Thhalv10017764m.g, Thhalv10017911m.g, Thhalv10017591m.g, Thhalv10017778m.g, Thhalv10017512m.g, Thhalv10017708m.g, Thhalv10017621m.g, Thhalv10017773m.g, Thhalv10017515m.g, Thhalv10017955m.g, Thhalv10015844m.g, Thhalv10017832m.g, Thhalv10017748m.g, Thhalv10017648m.g	Stapi.1405s0010
OG0000151	Thhalv10002388m.g	Stapi.3838s0001, Stapi.0399s0012, Stapi.31140s0001, Stapi.3261s0007, Stapi.6961s0003, Stapi.1100s0004, Stapi.0082s0006
OG0000151	Thhalv10000757m.g, Thhalv10001203m.g	Stapi.3261s0006, Stapi.0637s0006, Stapi.2204s0003, Stapi.0669s0007
OG0000151	Thhalv10012566m.g	Stapi.3302s0005, Stapi.5876s0001
OG0000152	Thhalv10009036m.g	Stapi.4633s0002, Stapi.4633s0001
OG0000152	Thhalv10009068m.g	Stapi.0175s0024
OG0000152	Thhalv10009028m.g, Thhalv10009397m.g	Stapi.4905s0001, Stapi.4633s0003
OG0000153	Thhalv10014927m.g	Stapi.2503s0004
OG0000153	Thhalv10014958m.g	Stapi.1305s0003
OG0000153	Thhalv10010811m.g	Stapi.0619s0016
OG0000153	Thhalv10017408m.g	Stapi.1154s0002, Stapi.1149s0007
OG0000154	Thhalv10015889m.g	Stapi.22220s0001
OG0000154	Thhalv10002911m.g	Stapi.0150s0019
OG0000155	Thhalv10022962m.g	Stapi.12524s0002
OG0000155	Thhalv10023198m.g	Stapi.4143s0002
OG0000155	Thhalv10027348m.g	Stapi.28563s0001
OG0000155	Thhalv10026047m.g	Stapi.14803s0002
OG0000158	Thhalv10002848m.g	Stapi.0202s0013
OG0000159	Thhalv10029183m.g	Stapi.8121s0001
OG0000159	Thhalv10015983m.g	Stapi.3587s0003
OG0000159	Thhalv10023989m.g, Thhalv10023349m.g	Stapi.3598s0004, Stapi.1799s0004, Stapi.1137s0002, Stapi.1496s0002, Stapi.3467s0001
OG0000159	Thhalv10023942m.g, Thhalv10023976m.g, Thhalv10023987m.g, Thhalv10023345m.g, Thhalv10023354m.g, Thhalv10023344m.g	Stapi.8121s0002, Stapi.15875s0001
OG0000160	Thhalv10026296m.g	Stapi.8757s0001
OG0000160	Thhalv10022857m.g	Stapi.0449s0020
OG0000160	Thhalv10022861m.g	Stapi.2877s0006
OG0000163	Thhalv10017057m.g, Thhalv10017909m.g, Thhalv10017639m.g	Stapi.0710s0015, Stapi.2477s0002, Stapi.0916s0001
OG0000163	Thhalv10017823m.g	Stapi.0916s0004
OG0000163	Thhalv10019371m.g	Stapi.2477s0005, Stapi.2477s0004
