Orthogroup	S_parvula	S_pinnata
OG0002525	Sp7g37200	Stapi.1525s0022
OG0002525	Sp5g23020	Stapi.5378s0001
OG0002526	Sp3g09760	Stapi.4326s0005, Stapi.16286s0002, Stapi.9121s0005, Stapi.24517s0001
OG0002527	Sp3g06230	Stapi.9317s0003
OG0002527	Sp3g06210	Stapi.9317s0002
OG0002528	Sp3g03280	Stapi.8725s0004
OG0002530	Sp3g00610	Stapi.5184s0005
OG0002531	Sp7g13430	Stapi.0308s0021
OG0002532	Sp7g13190	Stapi.15054s0002
OG0002533	Sp3g10090	Stapi.3737s0005, Stapi.5445s0002, Stapi.19313s0001, Stapi.14187s0001
OG0002534	Sp4g24990	Stapi.4448s0005, Stapi.10563s0002, Stapi.4448s0006
OG0002534	Sp5g04020	Stapi.0162s0010
OG0002535	Sp5g03530	Stapi.0014s0014
OG0002536	Sp5g02870, Sp5g02880, SpUN0080_0050	Stapi.6586s0006, Stapi.7344s0001
OG0002538	Sp5g29610	Stapi.0725s0015
OG0002540	Sp1g15590	Stapi.1285s0008
OG0002542	Sp1g15290, Sp5g33510	Stapi.6371s0003
OG0002543	Sp1g15120	Stapi.2939s0007
OG0002545	Sp1g05030	Stapi.12392s0001, Stapi.4937s0001
OG0002546	Sp5g28680	Stapi.5492s0006, Stapi.15409s0001
OG0002547	Sp5g09360	Stapi.10152s0002
OG0002548	Sp2g25610	Stapi.0773s0010
OG0002548	Sp5g14410	Stapi.0343s0022
OG0002549	Sp5g14325	Stapi.0498s0008
OG0002550	Sp5g14187	Stapi.0930s0003
OG0002550	Sp5g14180	Stapi.6129s0002, Stapi.0347s0005
OG0002551	Sp5g11730	Stapi.2909s0005, Stapi.2909s0006, Stapi.2157s0003, Stapi.3360s0004
OG0002552	Sp5g11630	Stapi.2197s0004
OG0002553	Sp2g30720	Stapi.5361s0005
OG0002554	Sp7g31440, Sp3g27720	Stapi.5156s0003
OG0002555	Sp2g00710	Stapi.1450s0008, Stapi.20626s0001, Stapi.4027s0002, Stapi.11149s0001
OG0002556	Sp1g33680	Stapi.2232s0007
OG0002557	Sp6g05410	Stapi.0735s0012
OG0002558	Sp7g21960	Stapi.1102s0006
OG0002559	Sp2g12120	Stapi.0635s0026
OG0002560	Sp4g10230	Stapi.0186s0019
OG0002561	Sp1g06880	Stapi.1284s0001
OG0002561	Sp1g06870	Stapi.6477s0005
OG0002562	SpUn0020_0060, Sp5g26920	Stapi.14007s0001, Stapi.3654s0002, Stapi.1733s0003
OG0002563	Sp5g26460	Stapi.4798s0001, Stapi.10360s0002, Stapi.0244s0030, Stapi.1843s0003
OG0002565	Sp2g30410, Sp5g11220	Stapi.2841s0004
OG0002566	Sp1g07140	Stapi.10760s0003
OG0002566	Sp4g08280	Stapi.0037s0014, Stapi.0086s0004
OG0002567	SpUN0284_0010	Stapi.1841s0002, Stapi.6587s0001, Stapi.0427s0005
OG0002568	SpUn0014_0050, Sp2g06900, SpUn0090_0010, SpUn0153_0020, SpUn0153_0010	Stapi.0103s0012
OG0002569	SpUn0014_0080, SpUn0077_0010, Sp2g06930	Stapi.0005s0008, Stapi.0103s0020
OG0002571	Sp1g19720	Stapi.2320s0001
OG0002573	Sp1g14080	Stapi.1172s0010, Stapi.1172s0009
OG0002573	Sp1g14090	Stapi.1172s0011
OG0002575	Sp7g01800, Sp5g20800, Sp7g07820, SpUn0485_0020	Stapi.29505s0001, Stapi.8911s0001, Stapi.6112s0005
OG0002576	Sp5g30520	Stapi.3198s0005
OG0002577	Sp5g16690, Sp5g16720, Sp5g16710	Stapi.7195s0001
OG0002578	Sp1g35130, Sp7g33250	Stapi.1829s0002
OG0002579	Sp2g04490	Stapi.1955s0008, Stapi.0471s0009
OG0002580	Sp5g06790	Stapi.2746s0001
OG0002580	Sp5g06780	Stapi.1593s0010
OG0002581	Sp2g08800	Stapi.2319s0005, Stapi.1262s0006
OG0002582	Sp7g16520	Stapi.6043s0005
OG0002582	Sp1g05450	Stapi.11914s0001, Stapi.19195s0001
OG0002583	Sp2g09220	Stapi.1787s0002, Stapi.3506s0002, Stapi.4179s0005, Stapi.0940s0003
OG0002585	Sp5g32780	Stapi.2417s0003, Stapi.6052s0006, Stapi.10077s0002
OG0002586	SpUn0984_0010	Stapi.3791s0008, Stapi.12870s0002
OG0002589	Sp5g31940	Stapi.31106s0001
OG0002589	Sp5g31920	Stapi.14859s0002
OG0002590	Sp5g30330	Stapi.1667s0004, Stapi.1667s0005, Stapi.7043s0003, Stapi.5013s0005
OG0002591	Sp5g34140	Stapi.11834s0001, Stapi.8559s0002, Stapi.12117s0004, Stapi.15218s0002
OG0002592	Sp5g34810	Stapi.20136s0001, Stapi.20399s0001
OG0002598	Sp2g09560, Sp2g09530	Stapi.6653s0001
OG0002599	Sp2g12470	Stapi.0549s0006, Stapi.0635s0010
OG0002600	Sp2g14120, Sp2g14110	Stapi.2057s0012, Stapi.13902s0001, Stapi.7795s0001, Stapi.3644s0005
OG0002601	Sp5g05510	Stapi.4777s0004
OG0002601	Sp4g23620	Stapi.4958s0002, Stapi.5867s0001
OG0002602	Sp5g11890	Stapi.0521s0006, Stapi.2665s0004, Stapi.5799s0002
OG0002603	Sp2g30320	Stapi.4521s0003
OG0002603	Sp5g11050	Stapi.1166s0018
OG0002604	Sp5g07890	Stapi.5290s0002, Stapi.4287s0002
OG0002605	Sp3g33330	Stapi.1674s0002, Stapi.7309s0004, Stapi.6494s0001
OG0002606	Sp3g33420	Stapi.0518s0003, Stapi.5674s0004, Stapi.29399s0001, Stapi.10464s0001
OG0002607	Sp7g26530	Stapi.5555s0002, Stapi.2208s0003
OG0002611	Sp7g14420	Stapi.3458s0001, Stapi.9033s0001, Stapi.1011s0001, Stapi.1011s0008
OG0002612	Sp7g14080	Stapi.11213s0002, Stapi.5702s0003, Stapi.0769s0003
OG0002613	Sp3g33040	Stapi.0388s0013, Stapi.12879s0002, Stapi.6999s0001
OG0002614	Sp3g32210	Stapi.5381s0001
OG0002615	Sp3g31180	Stapi.17488s0001, Stapi.21364s0001, Stapi.8356s0002
OG0002616	SpUn0581_0010, SpUn0786_0010, SpUn1305_0010, SpUn0413_0010	Stapi.3885s0003
OG0002616	Sp7g14770	Stapi.4485s0001
OG0002617	Sp7g15300	Stapi.6413s0001
OG0002617	Sp7g15330	Stapi.30056s0001, Stapi.2496s0005, Stapi.4753s0003
OG0002618	Sp7g31530, Sp5g16660	Stapi.9087s0001
OG0002618	SpUN0258_0010	Stapi.7371s0001
OG0002620	Sp7g05340	Stapi.3764s0002, Stapi.4949s0003, Stapi.0996s0001
OG0002620	Sp7g05360	Stapi.0494s0001, Stapi.0461s0001
OG0002624	Sp2g07020, SpUn0046_0010, SpUn0026_0040, SpUn0277_0010	Stapi.0077s0002, Stapi.0252s0023, Stapi.0198s0016, Stapi.4899s0001, Stapi.15953s0001
OG0002625	Sp7g07570, Sp6g10200, Sp6g05670	Stapi.5717s0006
OG0002627	Sp6g08170, Sp4g03150, Sp1g32450, SpUn0014_0090, Sp2g06940, SpUn0139_0010, Sp3g24750, Sp3g30840	Stapi.2492s0002
OG0002630	Sp7g02190	Stapi.2090s0004, Stapi.21597s0001, Stapi.2871s0003, Stapi.1958s0002, Stapi.7006s0001, Stapi.2659s0001, Stapi.3666s0001, Stapi.3666s0002
OG0002647	Sp2g11620	Stapi.0518s0012, Stapi.2349s0004, Stapi.0243s0014
OG0002648	Sp2g11600, SpUn0036_0010	Stapi.0243s0016, Stapi.2349s0003, Stapi.0518s0011
OG0002649	SpUn0632_0010	Stapi.1918s0005
OG0002650	Sp2g11080	Stapi.0066s0017, Stapi.0581s0014
OG0002651	Sp2g10610	Stapi.6317s0004, Stapi.0738s0012
OG0002652	Sp2g10310	Stapi.0226s0002, Stapi.5906s0001, Stapi.0953s0019
OG0002653	Sp2g10230	Stapi.4698s0004, Stapi.1006s0004, Stapi.21350s0001
OG0002654	Sp7g18030, Sp2g10220	Stapi.1006s0005, Stapi.4698s0005
OG0002655	Sp2g10080, Sp2g10130	Stapi.1478s0005
OG0002656	Sp7g18390	Stapi.0815s0006
OG0002656	Sp2g09690	Stapi.1661s0002
OG0002657	Sp7g33450	Stapi.9651s0001, Stapi.1745s0002
OG0002658	SpUn1871_0010	Stapi.0669s0003, Stapi.0264s0020, Stapi.0637s0007, Stapi.2735s0005, Stapi.0637s0008
OG0002659	Sp7g11150	Stapi.0293s0012
OG0002660	Sp6g27960	Stapi.6261s0003
OG0002664	Sp4g05710	Stapi.4293s0001, Stapi.0483s0007, Stapi.3613s0004
OG0002665	Sp4g06630, Sp4g06780	Stapi.0191s0008, Stapi.0417s0007, Stapi.0417s0006
OG0002666	Sp4g04700, Sp4g04710, Sp4g04740	Stapi.0974s0003
OG0002667	Sp4g05350	Stapi.2441s0005, Stapi.15644s0001, Stapi.0600s0011
OG0002668	Sp4g04940	Stapi.6033s0002, Stapi.2806s0001
OG0002669	Sp4g04960	Stapi.0808s0005, Stapi.0905s0006, Stapi.0905s0004, Stapi.5793s0001
OG0002670	Sp4g03800	Stapi.4890s0002, Stapi.1365s0003, Stapi.3752s0006
OG0002671	Sp4g04090	Stapi.0760s0002, Stapi.2852s0001
OG0002672	Sp4g03730	Stapi.2452s0004, Stapi.1365s0001, Stapi.1938s0004
OG0002673	Sp4g03620	Stapi.1970s0009, Stapi.10946s0002, Stapi.6922s0004
OG0002675	Sp7g28890	Stapi.1788s0001
OG0002675	Sp4g03290	Stapi.1756s0004, Stapi.1416s0002
OG0002676	Sp1g35035	Stapi.0253s0030, Stapi.16564s0002, Stapi.4815s0001, Stapi.3585s0004, Stapi.4732s0001
OG0002677	Sp3g09730	Stapi.4326s0002
OG0002679	Sp4g02420	Stapi.6337s0004, Stapi.2138s0007, Stapi.4206s0001
OG0002682	Sp4g02090	Stapi.5124s0002, Stapi.2165s0002, Stapi.2640s0001
OG0002684	Sp3g22710	Stapi.0850s0002
OG0002686	Sp4g11720	Stapi.0139s0018, Stapi.1805s0001, Stapi.0953s0012, Stapi.1034s0005, Stapi.1487s0002
OG0002687	Sp4g11620	Stapi.0188s0014, Stapi.1181s0006, Stapi.0129s0017
OG0002688	Sp4g11590	Stapi.0129s0014
OG0002689	Sp4g11360	Stapi.2206s0001, Stapi.0478s0010, Stapi.1182s0007
OG0002690	Sp4g10810	Stapi.0177s0015, Stapi.1431s0022
OG0002691	Sp4g10630, Sp4g10640	Stapi.0636s0010, Stapi.0083s0014
OG0002692	Sp4g10520	Stapi.0606s0006, Stapi.0186s0008
OG0002693	Sp4g09970	Stapi.0967s0003
OG0002694	Sp3g24210	Stapi.3295s0001
OG0002695	Sp4g22520	Stapi.25798s0001
OG0002696	Sp4g22260	Stapi.5697s0004, Stapi.2982s0003, Stapi.2982s0002
OG0002697	Sp4g08180, Sp4g21740	Stapi.12056s0002, Stapi.5288s0003
OG0002698	Sp4g21640, SpUn0018_0030, Sp7g20750	Stapi.1540s0011
OG0002699	SpUn0018_0050, Sp4g21620	Stapi.4168s0003, Stapi.1540s0010
OG0002700	Sp4g21570, SpUn0018_0100	Stapi.1540s0005, Stapi.9029s0001
OG0002701	Sp4g21550, SpUn0018_0120	Stapi.4072s0004, Stapi.1540s0002
OG0002702	Sp4g21210	Stapi.3373s0003
OG0002703	Sp4g20760	Stapi.6228s0001, Stapi.4216s0005
OG0002704	Sp4g20755	Stapi.0018s0051
OG0002705	Sp4g20720	Stapi.3752s0004, Stapi.0018s0053, Stapi.4216s0004
OG0002706	Sp4g20560	Stapi.9473s0002
OG0002707	SpUn1737_0010, SpUN0854_0010	Stapi.0728s0018, Stapi.4325s0001, Stapi.0728s0017
OG0002708	Sp4g20070	Stapi.4325s0002, Stapi.15926s0002, Stapi.0728s0016
OG0002710	Sp4g19390	Stapi.1708s0002, Stapi.7970s0003
OG0002712	Sp4g18910	Stapi.1752s0001, Stapi.29091s0001, Stapi.2022s0004
OG0002713	Sp4g18800	Stapi.1071s0013, Stapi.1752s0010
OG0002714	Sp4g18680	Stapi.8132s0002, Stapi.7949s0004, Stapi.3603s0002
OG0002715	Sp4g18580	Stapi.3059s0006, Stapi.11921s0002, Stapi.2182s0009, Stapi.3603s0008
OG0002716	Sp4g18510	Stapi.13713s0001
OG0002717	Sp2g07060	Stapi.2195s0002
OG0002718	Sp4g16630	Stapi.9640s0001, Stapi.2891s0003, Stapi.3833s0004
OG0002719	Sp6g09600	Stapi.0049s0007, Stapi.0184s0023
OG0002720	Sp4g16480	Stapi.5061s0002, Stapi.12284s0001
OG0002721	Sp4g16210	Stapi.5158s0003, Stapi.1533s0012, Stapi.5193s0001
OG0002722	Sp4g16200	Stapi.5193s0002, Stapi.5158s0002, Stapi.1533s0013
OG0002723	Sp4g16010	Stapi.4452s0001
OG0002723	Sp1g32060	Stapi.0917s0015
OG0002724	Sp4g15780	Stapi.4158s0003, Stapi.0342s0001, Stapi.10522s0003
OG0002727	Sp6g06010	Stapi.0472s0002, Stapi.9504s0001
OG0002728	Sp2g25660	Stapi.1195s0011, Stapi.13720s0001
OG0002730	Sp7g21660, Sp6g06260	Stapi.0290s0002, Stapi.0496s0002
OG0002731	Sp6g06320	Stapi.0290s0008, Stapi.0496s0009
OG0002732	Sp5g04590	Stapi.2535s0010
OG0002733	Sp6g06710	Stapi.1963s0003
OG0002734	Sp6g06860	Stapi.0379s0002, Stapi.0418s0019, Stapi.9355s0001
OG0002735	Sp6g06980	Stapi.3181s0003, Stapi.0379s0010
OG0002736	Sp6g07070	Stapi.0463s0006, Stapi.16795s0001, Stapi.0999s0003
OG0002737	Sp6g07200	Stapi.0393s0009, Stapi.6220s0003, Stapi.0373s0007
OG0002738	Sp6g07270	Stapi.0373s0017, Stapi.0155s0045, Stapi.0393s0015
OG0002739	Sp6g07290, SpUn0121_0020	Stapi.0155s0040, Stapi.1250s0010
OG0002740	Sp6g07430	Stapi.0134s0044, Stapi.1250s0003
OG0002742	Sp6g08660	Stapi.0137s0032, Stapi.0530s0005
OG0002743	Sp5g04440	Stapi.13161s0001, Stapi.24975s0002
OG0002744	Sp7g36410	Stapi.1392s0005, Stapi.1392s0004
OG0002746	SpUn0961_0010, Sp6g35960	Stapi.11492s0002
OG0002747	Sp7g34760	Stapi.8684s0002
OG0002748	Sp4g02490	Stapi.6443s0001, Stapi.5311s0003
OG0002749	Sp7g34530	Stapi.15270s0001, Stapi.7412s0003, Stapi.15631s0001
OG0002750	Sp4g21750, Sp4g08170	Stapi.5288s0002
OG0002751	Sp4g23210	Stapi.6141s0003
OG0002752	Sp5g05360, Sp4g23760	Stapi.9587s0001, Stapi.5878s0004, Stapi.6830s0001
OG0002753	Sp4g12780	Stapi.0084s0016
OG0002754	Sp4g24480	Stapi.10160s0001
OG0002755	Sp5g13700, Sp4g24500	Stapi.2251s0001, Stapi.2080s0001
OG0002756	Sp4g24590	Stapi.3908s0004, Stapi.27830s0001, Stapi.6678s0001, Stapi.3039s0009
OG0002757	Sp4g25020	Stapi.8624s0003, Stapi.13746s0001, Stapi.8552s0003
OG0002758	Sp4g25160	Stapi.11894s0001, Stapi.0970s0003
OG0002759	SpUn1318_0010	Stapi.29780s0001
OG0002759	SpUn0921_0020, Sp4g25280	Stapi.3317s0009
OG0002760	Sp4g25290	Stapi.3317s0008
OG0002761	Sp4g25720, Sp4g25710	Stapi.4595s0002, Stapi.4595s0003
OG0002762	Sp4g26060	Stapi.17355s0002, Stapi.4131s0003
OG0002763	Sp4g26310	Stapi.14020s0001
OG0002766	Sp5g02930	Stapi.12031s0003, Stapi.11032s0001
OG0002767	Sp5g02680, Sp4g27130	Stapi.7252s0003
OG0002768	Sp4g27900	Stapi.10375s0001
OG0002770	Sp5g01880, Sp4g28180	Stapi.6300s0005
OG0002771	Sp4g28430	Stapi.29270s0001, Stapi.3928s0005
OG0002772	Sp4g30050	Stapi.2770s0009, Stapi.13733s0001, Stapi.2580s0017
OG0002773	Sp1g19260, Sp7g04880	Stapi.15672s0001
OG0002774	Sp1g19300	Stapi.3247s0001, Stapi.7073s0002, Stapi.2061s0007
OG0002775	Sp1g19470	Stapi.3116s0006, Stapi.1942s0001
OG0002776	Sp1g19600	Stapi.6257s0002, Stapi.14553s0001, Stapi.3512s0001
OG0002778	Sp1g21250	Stapi.0064s0035, Stapi.1578s0005, Stapi.3647s0005
OG0002779	Sp1g21920	Stapi.1996s0005, Stapi.1996s0006, Stapi.1882s0001
OG0002780	Sp1g22910	Stapi.1325s0008, Stapi.4171s0001, Stapi.3596s0001
OG0002781	Sp1g23430	Stapi.3338s0003, Stapi.11419s0002, Stapi.3338s0004, Stapi.1063s0010
OG0002782	Sp1g23440	Stapi.1063s0011, Stapi.3338s0005, Stapi.11419s0001
OG0002783	Sp1g24540	Stapi.2131s0001, Stapi.5516s0001
OG0002784	Sp1g24810	Stapi.0874s0014
OG0002784	Sp5g19680	Stapi.1171s0005
OG0002785	Sp1g24900	Stapi.0874s0001, Stapi.0643s0017, Stapi.4655s0007
OG0002786	Sp1g24950	Stapi.4575s0003, Stapi.2451s0002, Stapi.1459s0003
OG0002787	Sp1g25555	Stapi.1965s0002, Stapi.4284s0005
OG0002788	Sp1g25790	Stapi.1212s0014, Stapi.10612s0002
OG0002789	Sp1g26240	Stapi.7490s0001, Stapi.1009s0007
OG0002790	Sp4g17120	Stapi.2732s0009
OG0002791	Sp1g26590	Stapi.2671s0004, Stapi.4302s0004
OG0002792	Sp1g26690	Stapi.5334s0003, Stapi.5643s0001, Stapi.2196s0002
OG0002793	Sp5g21510, Sp1g27590	Stapi.1364s0009, Stapi.1096s0008
OG0002794	Sp6g01500	Stapi.5862s0003, Stapi.4394s0005, Stapi.2323s0002
OG0002795	Sp1g28720	Stapi.0992s0010, Stapi.2724s0003
OG0002796	Sp1g28930	Stapi.0614s0010, Stapi.7342s0001, Stapi.2126s0003
OG0002798	Sp1g29110	Stapi.0346s0006, Stapi.15834s0002, Stapi.1678s0003
OG0002799	Sp1g29130	Stapi.0346s0008, Stapi.2067s0007, Stapi.1678s0001
OG0002800	Sp1g29280	Stapi.0046s0033, Stapi.0566s0006
OG0002801	Sp1g29860	Stapi.4605s0001, Stapi.1953s0006, Stapi.1010s0010
OG0002802	SpUn0216_0010, Sp1g30370	Stapi.1785s0002, Stapi.3858s0001
OG0002803	Sp1g30390	Stapi.1785s0005, Stapi.0366s0002
OG0002804	Sp2g29530	Stapi.1107s0003
OG0002804	Sp2g29540	Stapi.25234s0001, Stapi.1107s0002
OG0002805	Sp5g11940	Stapi.0109s0017
OG0002806	Sp2g28180	Stapi.3755s0003
OG0002808	Sp6g34080	Stapi.10741s0003
OG0002809	Sp5g13290	Stapi.11656s0002
OG0002810	Sp2g25800	Stapi.7767s0001
OG0002811	Sp2g25470	Stapi.4915s0001
OG0002812	Sp2g25190	Stapi.13026s0002, Stapi.5722s0002, Stapi.1825s0001
OG0002813	Sp2g24980	Stapi.6925s0005
OG0002814	Sp2g24900	Stapi.6925s0002
OG0002815	Sp2g24430	Stapi.3459s0001, Stapi.1872s0009, Stapi.1872s0010
OG0002816	Sp2g23000	Stapi.1638s0003, Stapi.0484s0034
OG0002817	Sp2g23050	Stapi.3372s0001, Stapi.19799s0001, Stapi.0484s0031
OG0002818	Sp2g23730	Stapi.8613s0002, Stapi.10190s0001, Stapi.8969s0001
OG0002819	Sp2g23790	Stapi.10790s0001
OG0002820	Sp6g34600	Stapi.10646s0002
OG0002821	Sp2g24040	Stapi.15814s0001, Stapi.7487s0002
OG0002822	Sp2g22820	Stapi.5699s0002, Stapi.16074s0001
OG0002823	Sp2g22750	Stapi.0347s0026, Stapi.13440s0001, Stapi.3089s0001
OG0002824	Sp2g22390, Sp2g22350, Sp2g22400	Stapi.5471s0002
OG0002825	Sp2g21600	Stapi.7577s0003
OG0002826	Sp2g21500	Stapi.5514s0004
OG0002827	Sp2g21490	Stapi.2136s0007
OG0002829	Sp2g21170	Stapi.2123s0010, Stapi.8306s0001, Stapi.5370s0002
OG0002830	Sp2g21140	Stapi.5370s0005, Stapi.2123s0007
OG0002831	Sp1g06410, Sp2g20940	Stapi.13721s0001, Stapi.2966s0007
OG0002832	Sp2g20810	Stapi.2713s0008, Stapi.4955s0001
OG0002833	Sp2g20710	Stapi.3855s0002
OG0002834	Sp2g20220	Stapi.4014s0002, Stapi.1195s0016, Stapi.12206s0002
OG0002835	Sp3g03630	Stapi.0979s0012
OG0002836	Sp2g20070, Sp1g37090	Stapi.1067s0003, Stapi.6944s0001
OG0002837	Sp2g20030	Stapi.6944s0004, Stapi.4304s0003, Stapi.6393s0006
OG0002838	Sp2g19730, SpUn0021_0120	Stapi.5504s0001, Stapi.2697s0006
OG0002839	Sp2g19530	Stapi.2357s0002, Stapi.0341s0006
OG0002840	Sp2g19410	Stapi.7437s0001, Stapi.5934s0001, Stapi.6142s0001
OG0002841	Sp2g19130	Stapi.0135s0013, Stapi.4387s0002, Stapi.1614s0002
OG0002842	SpUn0224_0020	Stapi.6979s0004, Stapi.4264s0002
OG0002843	Sp2g18830	Stapi.5130s0006, Stapi.13701s0002, Stapi.7751s0004
OG0002844	Sp2g18680	Stapi.0465s0010
OG0002845	Sp2g18660	Stapi.4529s0004
OG0002846	Sp2g18640	Stapi.4529s0006
OG0002846	Sp3g06540	Stapi.0465s0015
OG0002847	Sp2g18490	Stapi.5310s0002, Stapi.12022s0002
OG0002848	Sp2g18210	Stapi.0111s0005, Stapi.3440s0001, Stapi.4462s0002
OG0002849	Sp2g17340	Stapi.2249s0003, Stapi.3441s0001, Stapi.1879s0005
OG0002850	Sp2g17310	Stapi.1879s0009, Stapi.30598s0001, Stapi.9161s0002
OG0002851	Sp2g16820	Stapi.2944s0003, Stapi.2944s0002, Stapi.2883s0005
OG0002853	Sp2g16080	Stapi.8649s0001, Stapi.1189s0010, Stapi.1189s0011
OG0002854	Sp2g15670	Stapi.1778s0005
OG0002855	Sp2g15510	Stapi.1682s0010, Stapi.0280s0008
OG0002856	Sp2g15340	Stapi.0280s0028
OG0002856	Sp1g11670	Stapi.9765s0001
OG0002857	Sp2g14990	Stapi.0875s0012
OG0002858	Sp1g01860	Stapi.3548s0003, Stapi.6028s0006, Stapi.8492s0002
OG0002859	SpUn0083_0020, Sp5g11480	Stapi.1923s0005
OG0002860	Sp6g25860	Stapi.25818s0001, Stapi.0679s0012, Stapi.3457s0001
OG0002861	Sp6g26020	Stapi.4228s0002
OG0002863	Sp6g26140	Stapi.1497s0008
OG0002865	Sp6g27160	Stapi.5071s0004
OG0002866	Sp6g27950	Stapi.1456s0007
OG0002867	Sp6g27550	Stapi.20816s0001, Stapi.7101s0002, Stapi.1231s0003
OG0002868	Sp6g27880	Stapi.1456s0001, Stapi.2793s0008, Stapi.0589s0010
OG0002869	Sp6g27890	Stapi.1456s0002, Stapi.0589s0011, Stapi.2793s0009
OG0002870	Sp6g27910, Sp3g01670	Stapi.0589s0013
OG0002871	Sp6g28150	Stapi.0594s0033
OG0002872	Sp6g28310	Stapi.9550s0003, Stapi.4511s0003
OG0002873	Sp6g28350	Stapi.4236s0003, Stapi.7686s0001
OG0002874	Sp5g26280	Stapi.0244s0012, Stapi.8801s0001, Stapi.4122s0004
OG0002875	Sp5g25000	Stapi.3128s0002, Stapi.0237s0015, Stapi.13183s0001
OG0002876	Sp6g37550, SpUn0247_0040, Sp5g24850	Stapi.2638s0003, Stapi.0440s0011
OG0002877	Sp5g24810	Stapi.2638s0007
OG0002879	Sp5g24720	Stapi.1008s0009, Stapi.0897s0003
OG0002880	Sp5g24490	Stapi.1145s0019, Stapi.1053s0004, Stapi.4921s0005
OG0002881	Sp5g24110	Stapi.0796s0013, Stapi.5413s0002, Stapi.0617s0019
OG0002882	Sp7g04310	Stapi.4146s0005, Stapi.1190s0013, Stapi.6981s0001
OG0002883	Sp7g31470	Stapi.2567s0008
OG0002884	Sp7g04720	Stapi.6898s0002, Stapi.0143s0022, Stapi.3268s0003, Stapi.0929s0005
OG0002885	Sp7g05700, Sp7g05050, SpUn0032_0020, SpUn0005_0030, SpUn0005_0140	Stapi.0361s0009, Stapi.0527s0002, Stapi.0361s0011
OG0002886	Sp7g05130	Stapi.0361s0004
OG0002889	Sp6g01160	Stapi.17494s0001, Stapi.16542s0001
OG0002890	Sp1g01240, Sp6g01400	Stapi.2077s0003
OG0002891	Sp6g01960	Stapi.10659s0002, Stapi.13900s0002, Stapi.18052s0001, Stapi.16175s0002
OG0002894	Sp6g25600, Sp3g05230	Stapi.0590s0007
OG0002895	Sp6g25170	Stapi.7830s0001, Stapi.10399s0003, Stapi.7273s0001
OG0002896	Sp6g24920	Stapi.0997s0012, Stapi.4412s0003, Stapi.26525s0001
OG0002897	Sp6g24850	Stapi.0997s0004
OG0002898	Sp6g24760	Stapi.2232s0003, Stapi.10529s0001, Stapi.2795s0002
OG0002899	Sp6g24390	Stapi.1606s0004
OG0002900	Sp6g24050	Stapi.2996s0010, Stapi.2996s0009, Stapi.3868s0005
OG0002901	Sp6g23600	Stapi.0419s0021
OG0002902	Sp6g23560	Stapi.4645s0005, Stapi.0419s0028, Stapi.17061s0001
OG0002903	Sp6g23420	Stapi.3266s0007
OG0002905	Sp6g23090	Stapi.1223s0012
OG0002906	Sp5g17030	Stapi.3145s0003
OG0002907	Sp6g22730	Stapi.3337s0002, Stapi.17817s0001, Stapi.3337s0004
OG0002908	Sp6g22670	Stapi.5615s0001, Stapi.1951s0012, Stapi.5556s0001
OG0002909	Sp6g22390	Stapi.4552s0004, Stapi.5313s0001
OG0002911	Sp6g20240	Stapi.4213s0001, Stapi.1477s0008, Stapi.2339s0005
OG0002912	Sp6g19840	Stapi.7030s0004, Stapi.2622s0007
OG0002913	Sp6g19770	Stapi.2283s0001
OG0002913	Sp6g19750	Stapi.1307s0018
OG0002914	Sp1g09180	Stapi.1307s0010
OG0002914	Sp6g19670	Stapi.2283s0009
OG0002915	Sp6g19100	Stapi.3635s0001, Stapi.9865s0002
OG0002916	Sp6g18910	Stapi.2147s0003, Stapi.4745s0001, Stapi.10496s0001
OG0002917	Sp7g27720	Stapi.1373s0013
OG0002919	Sp6g17770	Stapi.0032s0076, Stapi.0495s0011
OG0002920	Sp6g17620	Stapi.5239s0002, Stapi.0583s0002, Stapi.0583s0003
OG0002921	Sp6g17510	Stapi.1685s0008, Stapi.5146s0004, Stapi.7339s0001
OG0002922	Sp6g17220	Stapi.1130s0015
OG0002922	Sp7g24680	Stapi.2733s0005
OG0002923	Sp6g17230	Stapi.1130s0016, Stapi.0444s0028, Stapi.2733s0006
OG0002924	Sp6g16630	Stapi.9845s0002, Stapi.0558s0006, Stapi.1003s0002
OG0002925	Sp6g16590	Stapi.0558s0001
OG0002926	Sp3g12730	Stapi.1258s0005, Stapi.2623s0007
OG0002927	Sp6g15410	Stapi.0437s0017
OG0002928	Sp7g23780	Stapi.1126s0011
OG0002928	Sp6g15020	Stapi.0210s0010
OG0002929	Sp6g14770	Stapi.5650s0002
OG0002930	Sp6g14400	Stapi.15750s0001
OG0002930	Sp6g14380	Stapi.10280s0001
OG0002931	Sp6g14200	Stapi.4533s0001
OG0002932	Sp6g14000	Stapi.1468s0001
OG0002932	Sp6g14030	Stapi.0453s0003
OG0002933	Sp6g13880	Stapi.0928s0006, Stapi.5826s0003
OG0002934	Sp6g13740	Stapi.2095s0001, Stapi.4299s0002, Stapi.0658s0004
OG0002935	Sp7g22920	Stapi.1395s0007
OG0002935	Sp6g12760	Stapi.0057s0014
OG0002939	Sp6g29250	Stapi.1545s0006, Stapi.3136s0003, Stapi.2832s0009
OG0002940	Sp6g29820, SpUn0049_0010	Stapi.1947s0002, Stapi.0995s0006
OG0002941	SpUn0049_0080, Sp6g29880	Stapi.0995s0014, Stapi.6849s0002
