Orthogroup	S_diversifolius	C_amplexicaulis
OG0000062	Sdiv_ptg000015l_1092-R	Caamp.1040s1501
OG0000077	Sdiv_ptg000012l_0378-R	Caamp.0033s0051, Caamp.1035s0349
OG0000077	Sdiv_ptg000012l_0562-R	Caamp.1035s0553
OG0000077	Sdiv_ptg000007l_1639-R	Caamp.0120s0843
OG0000077	Sdiv_ptg000022l_0679-R, Sdiv_ptg000008l_0637-R	Caamp.0051s0036, Caamp.0066s0033
OG0000077	Sdiv_ptg000010l_2156-R	Caamp.1038s0212, Caamp.1041s1211
OG0000077	Sdiv_ptg000002l_1778-R	Caamp.0076s0457
OG0000077	Sdiv_ptg000015l_0374-R	Caamp.0006s0263
OG0000077	Sdiv_ptg000008l_0991-R	Caamp.0102s0562, Caamp.0105s0504
OG0000077	Sdiv_ptg000005l_0718-R, Sdiv_ptg000004l_1038-R	Caamp.0190s0897, Caamp.0003s0508
OG0000077	Sdiv_ptg000012l_1643-R, Sdiv_ptg000007l_0643-R	Caamp.0058s0269, Caamp.0076s0557
OG0000080	Sdiv_ptg000002l_0823-R	Caamp.1040s0465, Caamp.0005s0178
OG0000080	Sdiv_ptg000002l_0336-R, Sdiv_ptg000015l_1776-R, Sdiv_ptg000022l_1286-R	Caamp.0102s0287, Caamp.0078s0466, Caamp.0095s0862, Caamp.0105s0779
OG0000080	Sdiv_ptg000013l_1462-R	Caamp.0023s0049, Caamp.0078s1038
OG0000080	Sdiv_ptg000003l_1583-R, Sdiv_ptg000014l_1603-R	Caamp.0064s0740
OG0000080	Sdiv_ptg000013l_0979-R	Caamp.0051s0330, Caamp.1039s1068
OG0000080	Sdiv_ptg000010l_2344-R	Caamp.1038s0437, Caamp.1041s0990
OG0000080	Sdiv_ptg000015l_1328-R	Caamp.0097s0242
OG0000093	Sdiv_ptg000004l_1690-R	Caamp.1041s0429
OG0000093	Sdiv_ptg000005l_1397-R	Caamp.0094s0838
OG0000093	Sdiv_ptg000002l_0958-R	Caamp.0058s0280
OG0000093	Sdiv_ptg000015l_1184-R	Caamp.0055s0019
OG0000093	Sdiv_ptg000001l_0466-R	Caamp.0098s0008
OG0000093	Sdiv_ptg000011l_0434-R, Sdiv_ptg000013l_0439-R	Caamp.0113s0021
OG0000093	Sdiv_ptg000002l_2099-R	Caamp.0064s0035
OG0000093	Sdiv_ptg000012l_0380-R, Sdiv_ptg000007l_1812-R	Caamp.0033s0049, Caamp.1035s0351
OG0000093	Sdiv_ptg000009l_2481-R	Caamp.1040s0653
OG0000093	Sdiv_ptg000010l_0805-R	Caamp.1037s1023
OG0000093	Sdiv_ptg000013l_0122-R, Sdiv_ptg000011l_0129-R	Caamp.0095s1233
OG0000093	Sdiv_ptg000001l_0151-R	Caamp.0093s0074
OG0000096	Sdiv_ptg000027l_0103-R, Sdiv_ptg000003l_1260-R, Sdiv_ptg000015l_1150-R, Sdiv_ptg000015l_1186-R, Sdiv_ptg000011l_0421-R, Sdiv_ptg000005l_0361-R, Sdiv_ptg000008l_0491-R, Sdiv_ptg000005l_0378-R, Sdiv_ptg000013l_1407-R, Sdiv_ptg000010l_1806-R, Sdiv_ptg000022l_0723-R, Sdiv_ptg000002l_1275-R, Sdiv_ptg000012l_1693-R, Sdiv_ptg000004l_0580-R, Sdiv_ptg000009l_2031-R, Sdiv_ptg000010l_0226-R, Sdiv_ptg000012l_1734-R, Sdiv_ptg000015l_1132-R, Sdiv_ptg000004l_0373-R, Sdiv_ptg000008l_0395-R, Sdiv_ptg000003l_1373-R, Sdiv_ptg000015l_1290-R, Sdiv_ptg000003l_1261-R, Sdiv_ptg000015l_1153-R, Sdiv_ptg000027l_0102-R, Sdiv_ptg000011l_0333-R, Sdiv_ptg000005l_0116-R, Sdiv_ptg000008l_0324-R, Sdiv_ptg000009l_2038-R, Sdiv_ptg000009l_1131-R, Sdiv_ptg000009l_2902-R, Sdiv_ptg000012l_1664-R, Sdiv_ptg000005l_0069-R, Sdiv_ptg000014l_1791-R, Sdiv_ptg000013l_0393-R, Sdiv_ptg000015l_1156-R, Sdiv_ptg000015l_1154-R, Sdiv_ptg000015l_1185-R	Caamp.0064s0463
OG0000104	Sdiv_ptg000009l_0630-R	Caamp.1038s0386
OG0000104	Sdiv_ptg000010l_2296-R	Caamp.1041s1043
OG0000104	Sdiv_ptg000007l_0317-R	Caamp.0188s0098
OG0000104	Sdiv_ptg000004l_2268-R, Sdiv_ptg000010l_2250-R	Caamp.0026s0666
OG0000104	Sdiv_ptg000004l_2267-R	Caamp.0190s1307, Caamp.0006s0280, Caamp.1027s0168, Caamp.1038s0334, Caamp.1041s1099, Caamp.0094s0114, Caamp.0094s0113, Caamp.1027s0167
OG0000105	Sdiv_ptg000012l_2201-R	Caamp.0015s0252
OG0000105	Sdiv_ptg000007l_0368-R	Caamp.0015s0259, Caamp.0303s1240, Caamp.0303s1243
OG0000107	Sdiv_ptg000003l_2864-R	Caamp.1035s1431
OG0000108	Sdiv_ptg000003l_1507-R, Sdiv_ptg000003l_1541-R	Caamp.0064s0637, Caamp.0064s0679, Caamp.0064s0678, Caamp.0015s0045
OG0000116	Sdiv_ptg000027l_0281-R	Caamp.0026s0655
OG0000122	Sdiv_ptg000015l_1320-R, Sdiv_ptg000015l_1308-R, Sdiv_ptg000022l_0611-R, Sdiv_ptg000010l_0628-R, Sdiv_ptg000009l_2655-R, Sdiv_ptg000022l_1280-R, Sdiv_ptg000002l_0828-R, Sdiv_ptg000008l_1190-R	Caamp.0097s0206
OG0000127	Sdiv_ptg000015l_1990-R, Sdiv_ptg000002l_0110-R	Caamp.0095s0592
OG0000127	Sdiv_ptg000027l_0076-R, Sdiv_ptg000015l_1031-R, Sdiv_ptg000002l_1084-R	Caamp.0006s0598
OG0000127	Sdiv_ptg000008l_0412-R	Caamp.0097s0795, Caamp.1036s0547
OG0000127	Sdiv_ptg000009l_2810-R, Sdiv_ptg000002l_0932-R, Sdiv_ptg000010l_0473-R	Caamp.0097s0059, Caamp.1037s0608, Caamp.1040s0256, Caamp.0005s0013
OG0000134	Sdiv_ptg000012l_1215-R	Caamp.0120s0017
OG0000134	Sdiv_ptg000012l_1214-R	Caamp.0071s0052, Caamp.0003s0030, Caamp.0071s0053, Caamp.1033s0489, Caamp.0070s0051
OG0000135	Sdiv_ptg000009l_2171-R, Sdiv_ptg000010l_1098-R	Caamp.1040s1049, Caamp.1037s1388
OG0000135	Sdiv_ptg000005l_1232-R, Sdiv_ptg000004l_1539-R	Caamp.0190s0240, Caamp.0094s1048
OG0000135	Sdiv_ptg000007l_0033-R	Caamp.0303s1069
OG0000135	Sdiv_ptg000012l_2316-R	Caamp.0266s0039
OG0000135	Sdiv_ptg000027l_0286-R	Caamp.0044s0014
OG0000135	Sdiv_ptg000010l_0901-R	Caamp.1037s1131, Caamp.1040s0766
OG0000135	Sdiv_ptg000001l_0295-R	Caamp.0026s0645, Caamp.0190s1329
OG0000136	Sdiv_ptg000014l_1913-R	Caamp.0020s0069
OG0000140	Sdiv_ptg000014l_2047-R	Caamp.0013s0177, Caamp.0008s0120, Caamp.0013s0224, Caamp.1039s0256, Caamp.0006s0797, Caamp.1037s1650, Caamp.1033s0929, Caamp.0064s0387, Caamp.0010s0197
OG0000141	Sdiv_ptg000022l_0020-R	Caamp.1039s0027
OG0000141	Sdiv_ptg000010l_0238-R	Caamp.1037s0322, Caamp.1036s0059, Caamp.1036s0052, Caamp.1036s0060, Caamp.1037s0319, Caamp.1037s0320, Caamp.1036s0053, Caamp.1036s0063, Caamp.1036s0062, Caamp.1036s0057, Caamp.1037s0324, Caamp.1037s0328
OG0000141	Sdiv_ptg000009l_1202-R	Caamp.1036s0056, Caamp.1036s0064
OG0000141	Sdiv_ptg000010l_0240-R	Caamp.1037s0325
OG0000146	Sdiv_ptg000022l_1982-R	Caamp.0018s0288, Caamp.0023s0535, Caamp.1031s0859, Caamp.0065s0145
OG0000146	Sdiv_ptg000010l_1987-R	Caamp.1041s1414
OG0000146	Sdiv_ptg000009l_0939-R	Caamp.1038s0021
OG0000146	Sdiv_ptg000002l_1403-R, Sdiv_ptg000015l_0747-R, Sdiv_ptg000003l_0618-R	Caamp.0303s0872, Caamp.1036s0372, Caamp.1033s0175
OG0000147	Sdiv_ptg000016l_0270-R	Caamp.0095s0009, Caamp.0090s0047, Caamp.0095s0013, Caamp.1035s1478, Caamp.0188s0985, Caamp.0065s0197
OG0000148	Sdiv_ptg000012l_2070-R, Sdiv_ptg000002l_0736-R	Caamp.1039s0308
OG0000148	Sdiv_ptg000010l_2814-R	Caamp.0105s1870
OG0000148	Sdiv_ptg000012l_1997-R	Caamp.0011s0025
OG0000148	Sdiv_ptg000013l_1664-R	Caamp.0214s0178
OG0000148	Sdiv_ptg000014l_1054-R	Caamp.0188s0708
OG0000148	Sdiv_ptg000013l_1432-R	Caamp.1039s0476
OG0000151	Sdiv_ptg000015l_1254-R	Caamp.0097s0158, Caamp.0097s0219, Caamp.0097s0119
OG0000151	Sdiv_ptg000015l_1259-R	Caamp.0097s0217
OG0000151	Sdiv_ptg000015l_1253-R	Caamp.0097s0116, Caamp.0097s0127
OG0000152	Sdiv_ptg000014l_2245-R	Caamp.1033s0589, Caamp.1033s0590, Caamp.0078s0560, Caamp.0078s0558
OG0000152	Sdiv_ptg000014l_2240-R	Caamp.1033s0593, Caamp.0007s0002
OG0000152	Sdiv_ptg000014l_2241-R	Caamp.0078s0571, Caamp.0078s0562, Caamp.1033s0588
OG0000153	Sdiv_ptg000002l_0842-R	Caamp.0005s0148
OG0000153	Sdiv_ptg000010l_0605-R	Caamp.1037s0686, Caamp.0095s0870, Caamp.0078s0476, Caamp.0078s0798, Caamp.1040s0335
OG0000155	Sdiv_ptg000001l_0277-R	Caamp.0190s1355
OG0000155	Sdiv_ptg000011l_0259-R	Caamp.0026s0608
OG0000158	Sdiv_ptg000010l_1384-R	Caamp.0114s0001, Caamp.0011s0219, Caamp.0073s0011, Caamp.0009s0070
OG0000159	Sdiv_ptg000014l_0383-R	Caamp.0303s1179, Caamp.0303s1176
OG0000159	Sdiv_ptg000001l_1187-R	Caamp.0303s1189, Caamp.0303s1083, Caamp.1039s1402, Caamp.0015s0345, Caamp.0015s0328, Caamp.0058s0102
OG0000160	Sdiv_ptg000005l_1794-R	Caamp.0094s0308
OG0000160	Sdiv_ptg000002l_0508-R	Caamp.0078s0205
OG0000160	Sdiv_ptg000015l_1613-R	Caamp.0095s1079
OG0000160	Sdiv_ptg000004l_2043-R	Caamp.0105s1058
OG0000160	Sdiv_ptg000015l_0366-R	Caamp.0076s0464, Caamp.0006s0253
OG0000160	Sdiv_ptg000014l_1319-R	Caamp.0190s0006
OG0000160	Sdiv_ptg000003l_0384-R	Caamp.0046s0481
