Orthogroup	S_pinnata	S_parvula
OG0000604	Stapi.2327s0009, Stapi.1881s0007	Sp6g00160
OG0000605	Stapi.0980s0014	Sp5g02270
OG0000607	Stapi.3428s0003	Sp1g19850
OG0000607	Stapi.2433s0001	Sp1g19830
OG0000611	Stapi.1079s0001, Stapi.3744s0002	Sp6g33160
OG0000611	Stapi.10708s0003	Sp2g28040, Sp2g28050
OG0000612	Stapi.17076s0001, Stapi.1652s0003	Sp2g23530
OG0000612	Stapi.2183s0005	Sp5g13190
OG0000613	Stapi.6160s0001	Sp2g21770
OG0000613	Stapi.6630s0001	Sp3g33230
OG0000613	Stapi.4076s0011	Sp6g31940
OG0000614	Stapi.7826s0002	Sp3g11000
OG0000614	Stapi.0789s0002	Sp2g17860
OG0000616	Stapi.2832s0004, Stapi.3911s0002	Sp6g29200
OG0000616	Stapi.5388s0001, Stapi.0636s0007, Stapi.4944s0001	Sp5g25430
OG0000617	Stapi.8742s0003	Sp6g00650
OG0000617	Stapi.13743s0001	Sp4g27880, Sp5g02130
OG0000618	Stapi.0419s0025, Stapi.4645s0007	Sp6g23570
OG0000618	Stapi.0419s0024	Sp6g23580, Sp6g37940
OG0000619	Stapi.0507s0010	Sp5g15400
OG0000619	Stapi.13007s0002, Stapi.5450s0005	Sp6g21390
OG0000620	Stapi.3969s0005, Stapi.3969s0004	Sp7g23920
OG0000620	Stapi.4256s0009	Sp6g19050
OG0000621	Stapi.1384s0011	Sp5g27770
OG0000621	Stapi.3235s0005	Sp7g24120
OG0000621	Stapi.2462s0006	Sp6g18720
OG0000622	Stapi.8147s0002	Sp6g18440, Sp7g27260
OG0000622	Stapi.5081s0007	Sp3g33080
OG0000623	Stapi.1772s0011, Stapi.0799s0010	Sp6g16480
OG0000623	Stapi.1030s0001, Stapi.2373s0010, Stapi.4686s0001	Sp7g25180
OG0000625	Stapi.19471s0001, Stapi.1718s0001, Stapi.2095s0005	Sp6g13710, Sp6g13720
OG0000626	Stapi.1584s0003	Sp4g14330
OG0000626	Stapi.4182s0005, Stapi.1825s0006	Sp6g30970
OG0000626	Stapi.2979s0002	Sp1g04410
OG0000627	Stapi.2931s0004, Stapi.4073s0007	Sp4g04520, Sp4g04590
OG0000627	Stapi.20877s0001	Sp7g29940
OG0000629	Stapi.3957s0003, Stapi.2309s0006	Sp6g35000, SpUn0847_0010
OG0000629	Stapi.2309s0003	Sp6g35010
OG0000631	Stapi.13484s0001	Sp6g39400
OG0000631	Stapi.4427s0004	Sp5g09110
OG0000632	Stapi.6070s0002	Sp3g11490, Sp3g11500
OG0000633	Stapi.1384s0009	Sp5g27790
OG0000633	Stapi.13322s0003	Sp3g12160
OG0000634	Stapi.10450s0004	Sp7g15600
OG0000634	Stapi.0446s0043, Stapi.2958s0011	Sp3g13260
OG0000635	Stapi.0625s0003	Sp1g37190
OG0000635	Stapi.4114s0003, Stapi.0587s0003	Sp3g17980
OG0000637	Stapi.0085s0033	Sp3g26700, Sp4g06850, Sp7g05440, Sp5g17120, Sp5g17830, Sp1g30620, Sp7g10300, Sp3g24740, Sp5g20810, Sp4g05970, Sp3g26480, Sp7g08640, Sp7g06670, Sp3g23660, Sp7g09850
OG0000639	Stapi.29188s0002, Stapi.9630s0001, Stapi.29524s0001, Stapi.1039s0001, Stapi.9630s0003, Stapi.0188s0026	Sp4g02860
OG0000641	Stapi.1628s0013	Sp3g06530
OG0000641	Stapi.4529s0005	Sp2g18650
OG0000642	Stapi.3351s0001	Sp7g09590
OG0000642	Stapi.1845s0012	Sp6g03330
OG0000643	Stapi.3462s0005	Sp7g20000, Sp6g04140
OG0000644	Stapi.2080s0004	SpUn1065_0010
OG0000645	Stapi.3640s0004	Sp3g27480
OG0000645	Stapi.10990s0001, Stapi.19943s0001, Stapi.8557s0001	Sp7g31380
OG0000646	Stapi.7167s0003, Stapi.18101s0002, Stapi.21012s0002, Stapi.22760s0001, Stapi.3060s0007	Sp4g08930
OG0000646	Stapi.22824s0001	Sp7g09930
OG0000648	Stapi.0390s0055	Sp3g25720
OG0000649	Stapi.0070s0013, Stapi.0210s0007, Stapi.0896s0003, Stapi.0183s0009	Sp7g09210, Sp7g09310
OG0000650	Stapi.7791s0002	Sp1g08040
OG0000651	Stapi.1873s0008	Sp2g04030, Sp2g04040, Sp2g04020
OG0000651	Stapi.20672s0001	Sp2g04010
OG0000652	Stapi.0536s0015	Sp4g11155
OG0000653	Stapi.4961s0002	Sp5g32700, Sp5g32710, Sp2g06080, Sp2g01440
OG0000654	Stapi.1745s0001	Sp3g01030
OG0000654	Stapi.0706s0006, Stapi.5405s0001	Sp5g20100
OG0000654	Stapi.14032s0001, Stapi.4510s0003, Stapi.3404s0003	Sp7g28980, Sp7g28970
OG0000655	Stapi.1443s0011	Sp7g24990
OG0000655	Stapi.14075s0001, Stapi.1443s0010	Sp7g25000
OG0000655	Stapi.1443s0009, Stapi.2137s0003	Sp7g25010
OG0000656	Stapi.5212s0001, Stapi.5212s0002, Stapi.3647s0002, Stapi.1368s0005, Stapi.1368s0006	Sp7g23530, Sp7g23540
OG0000657	Stapi.3213s0012, Stapi.2295s0003	Sp3g07010
OG0000657	Stapi.12775s0001	Sp3g09440
OG0000658	Stapi.2745s0004	Sp6g04680, Sp1g40990
OG0000658	Stapi.0913s0006	Sp7g13200
OG0000659	Stapi.24975s0001	Sp5g04430
OG0000659	Stapi.0479s0008, Stapi.1439s0006, Stapi.23413s0001, Stapi.8846s0001	Sp3g10140
OG0000660	Stapi.1286s0011	Sp5g03840
OG0000660	Stapi.2623s0003	Sp5g03860
OG0000661	Stapi.3961s0002	Sp5g30590
OG0000661	Stapi.0052s0010	Sp2g07750
OG0000661	Stapi.0212s0015	Sp1g33870
OG0000663	Stapi.0668s0012, Stapi.0596s0001, Stapi.2509s0005	SpUn0423_0010, Sp1g18100, Sp1g24840
OG0000663	Stapi.18036s0001	Sp1g18090
OG0000663	Stapi.0438s0006, Stapi.0438s0005, Stapi.9647s0001	Sp1g18070
OG0000665	Stapi.0208s0021	Sp5g11780
OG0000665	Stapi.2331s0001	Sp1g18490
OG0000666	Stapi.29704s0001, Stapi.1597s0007, Stapi.0022s0058, Stapi.3380s0001, Stapi.1206s0001	Sp7g03930, SpUn0980_0010, Sp5g18800, Sp1g30070, Sp1g32130
OG0000666	Stapi.2358s0001	Sp7g03920, Sp2g05270, Sp3g26860
OG0000672	Stapi.4504s0005	Sp1g00150
OG0000672	Stapi.2826s0002	Sp2g12000
OG0000672	Stapi.0708s0015	Sp7g16630
OG0000673	Stapi.0364s0031, Stapi.2403s0006	Sp4g14470
OG0000673	Stapi.1585s0006	Sp1g14240
OG0000674	Stapi.0965s0001, Stapi.0293s0004	Sp7g11100
OG0000674	Stapi.0324s0032	Sp3g22060
OG0000675	Stapi.0110s0007, Stapi.0363s0025, Stapi.0363s0024, Stapi.7241s0006, Stapi.0293s0003	Sp6g39490
OG0000676	Stapi.4744s0001	SpUn1164_0010, Sp1g17230, Sp1g17220
OG0000677	Stapi.0253s0003	Sp7g30300
OG0000678	Stapi.0203s0008	Sp4g05010
OG0000678	Stapi.1199s0002	Sp7g30260
OG0000679	Stapi.1734s0006, Stapi.0817s0001, Stapi.2488s0002	Sp7g29780
OG0000680	Stapi.0652s0001, Stapi.3394s0007	Sp4g02810
OG0000681	Stapi.21425s0001	Sp4g02550
OG0000681	Stapi.4292s0002, Stapi.15910s0001, Stapi.15910s0002, Stapi.4292s0001	Sp4g02560
OG0000682	Stapi.11005s0001	Sp4g21710
OG0000682	Stapi.11190s0001	Sp4g21720, Sp4g21730
OG0000683	Stapi.12362s0004	Sp6g40870
OG0000683	Stapi.3099s0005	Sp4g20630
OG0000684	Stapi.4130s0002	Sp4g20140
OG0000684	Stapi.10768s0001	Sp4g20160
OG0000685	Stapi.1058s0001	Sp4g16990
OG0000685	Stapi.1616s0006, Stapi.5157s0005, Stapi.3047s0006	Sp1g26330
OG0000686	Stapi.7531s0002	Sp4g16530
OG0000686	Stapi.6050s0003	Sp1g25250
OG0000687	Stapi.1110s0007	Sp6g06070
OG0000687	Stapi.0202s0023, Stapi.1001s0010	Sp7g21360
OG0000688	Stapi.1295s0013	Sp6g08040
OG0000688	Stapi.1785s0004, Stapi.0366s0001	SpUn0654_0010
OG0000689	Stapi.4792s0004, Stapi.10024s0001, Stapi.16697s0001, Stapi.1573s0005, Stapi.2258s0001, Stapi.3292s0004, Stapi.4977s0003, Stapi.0230s0006, Stapi.3234s0006, Stapi.0393s0005, Stapi.4359s0002	Sp6g12020, Sp7g08230
OG0000691	Stapi.5932s0006	Sp7g36000
OG0000692	Stapi.7496s0001	Sp6g09230
OG0000692	Stapi.14426s0001	Sp5g33140
OG0000693	Stapi.18163s0001, Stapi.1493s0006, Stapi.11818s0001	Sp1g20030
OG0000693	Stapi.1168s0004	Sp5g27250
OG0000694	Stapi.0334s0014	Sp5g25200
OG0000694	Stapi.10569s0002	Sp2g04690, Sp1g21530
OG0000696	Stapi.0431s0029	Sp1g12310
OG0000696	Stapi.4999s0007	Sp1g22170
OG0000697	Stapi.0511s0011, Stapi.0511s0010	Sp1g27690
OG0000697	Stapi.2548s0009	Sp5g16370
OG0000698	Stapi.6968s0002, Stapi.5945s0002, Stapi.2740s0005, Stapi.6968s0001, Stapi.0566s0016, Stapi.21458s0001, Stapi.2317s0004, Stapi.8322s0001, Stapi.3329s0001	Sp1g29920
OG0000699	Stapi.5945s0003, Stapi.0109s0002, Stapi.4013s0002, Stapi.3342s0002, Stapi.2317s0003	Sp1g29930
OG0000700	Stapi.3836s0004	Sp3g07960
OG0000701	Stapi.6518s0003	Sp2g23380
OG0000701	Stapi.1386s0005, Stapi.4261s0004	Sp5g13040
OG0000702	Stapi.3390s0001	SpUn0021_0070, Sp2g19780
OG0000703	Stapi.0111s0002, Stapi.8686s0002	Sp2g18180
OG0000703	Stapi.2396s0001	Sp7g03110, SpUn1066_0010
OG0000704	Stapi.1193s0004, Stapi.18353s0001, Stapi.0741s0005	Sp1g11480
OG0000704	Stapi.0960s0014	Sp2g15760
OG0000705	Stapi.3122s0007	Sp5g00220
OG0000705	Stapi.0594s0007	Sp6g02610, Sp1g02070
OG0000706	Stapi.15224s0001	Sp6g27040
OG0000706	Stapi.15783s0002, Stapi.4072s0003	Sp7g03080, Sp3g02200
OG0000707	Stapi.2409s0007	SpUn0004_0100, Sp5g20040, SpUn0004_0120, SpUn0004_0200, Sp5g24040
OG0000708	Stapi.1737s0010, Stapi.5065s0004	Sp6g31290
OG0000708	Stapi.0752s0008	Sp6g24990
OG0000709	Stapi.6920s0001, Stapi.1485s0001, Stapi.2810s0006	Sp5g15860, Sp5g15830
OG0000710	Stapi.5181s0002	Sp6g21000, Sp6g21010, Sp6g20990
OG0000711	Stapi.1834s0010	Sp5g15220
OG0000711	Stapi.5181s0003	Sp5g07090
OG0000711	Stapi.0628s0012	Sp6g20970
OG0000712	Stapi.1755s0016	Sp6g20050
OG0000712	Stapi.2053s0008	Sp6g35810
OG0000713	Stapi.0968s0003, Stapi.2183s0006	Sp5g13180
OG0000713	Stapi.0304s0005, Stapi.6482s0001	Sp6g13090
OG0000714	Stapi.1214s0008	Sp3g24140
OG0000715	Stapi.1197s0002	SpUn0039_0040
OG0000715	Stapi.5120s0002	Sp1g15400
OG0000716	Stapi.8547s0001	Sp5g29390
OG0000716	Stapi.2267s0002, Stapi.1597s0008, Stapi.0006s0046, Stapi.4438s0010	Sp6g34910
OG0000717	Stapi.8382s0002	Sp6g37450
OG0000717	Stapi.4748s0003	Sp3g09180
OG0000718	Stapi.2938s0006	Sp3g29850
OG0000719	Stapi.1258s0003	Sp3g12710
OG0000719	Stapi.1258s0004, Stapi.2623s0008	Sp3g12720
OG0000720	Stapi.7895s0001, Stapi.1541s0008	Sp3g18040
OG0000720	Stapi.1813s0013, Stapi.3366s0003	Sp1g37240
OG0000721	Stapi.0408s0018	Sp7g11740
OG0000721	Stapi.5119s0001	Sp3g21520
OG0000722	Stapi.0162s0015	Sp4g10330
OG0000722	Stapi.0375s0012, Stapi.16446s0002	Sp6g22810
OG0000723	Stapi.0122s0004	Sp5g16550
OG0000724	Stapi.12603s0002, Stapi.1765s0012, Stapi.20411s0001, Stapi.5555s0001, Stapi.0437s0006	Sp7g26855
OG0000724	Stapi.1765s0011, Stapi.12603s0001	Sp7g26860
OG0000726	Stapi.0618s0007, Stapi.0297s0002	Sp1g35810
OG0000727	Stapi.4879s0002	Sp7g17420
OG0000727	Stapi.1405s0009, Stapi.1629s0001	Sp4g13470
OG0000728	Stapi.2013s0004, Stapi.3176s0004, Stapi.1390s0004, Stapi.9974s0003, Stapi.2013s0002, Stapi.0364s0024, Stapi.0364s0013, Stapi.3176s0011, Stapi.0234s0006	Sp4g14980
OG0000729	Stapi.4318s0001	Sp3g32080
OG0000730	Stapi.3629s0002	Sp3g31980
OG0000730	Stapi.1067s0011	Sp7g16020, Sp5g29730
OG0000731	Stapi.5003s0001	Sp7g34250
OG0000731	Stapi.11557s0001	SpUn0030_0060, Sp3g31770
OG0000732	Stapi.0957s0002	Sp4g12690
OG0000732	Stapi.12155s0001, Stapi.5841s0001, Stapi.10498s0001	Sp6g36400
OG0000733	Stapi.9917s0002	Sp3g09970
OG0000733	Stapi.3971s0004	Sp3g28980
OG0000735	Stapi.3068s0005, Stapi.1792s0004, Stapi.13277s0003	Sp2g14890
OG0000735	Stapi.3133s0009	Sp1g11730, SpUn0138_0010
OG0000736	Stapi.1334s0005, Stapi.4868s0002	Sp2g03390
OG0000736	Stapi.4530s0004, Stapi.0993s0008, Stapi.4281s0001, Stapi.7232s0001, Stapi.1334s0006, Stapi.2292s0005	Sp2g03400
OG0000737	Stapi.4000s0002, Stapi.15264s0001, Stapi.0587s0020	Sp5g31070
OG0000738	Stapi.1761s0003, Stapi.12648s0001	Sp7g25760, Sp7g25640
OG0000738	Stapi.0081s0001, Stapi.18133s0001, Stapi.4470s0001	Sp2g02660
OG0000739	Stapi.0675s0013, Stapi.0720s0012	Sp3g27850
OG0000739	Stapi.8489s0001	Sp5g12960
OG0000741	Stapi.2667s0002	Sp7g27790
OG0000741	Stapi.22549s0001, Stapi.9108s0001	Sp1g04520
OG0000742	Stapi.1736s0005	Sp5g21870
OG0000742	Stapi.1323s0004	Sp7g03800
OG0000744	Stapi.9535s0002	Sp4g00840
OG0000745	Stapi.0233s0013	Sp7g11850
OG0000745	Stapi.3573s0001, Stapi.0233s0018	Sp7g11830
OG0000746	Stapi.4985s0002	Sp5g30780
OG0000746	Stapi.0692s0019, Stapi.10479s0004, Stapi.0849s0001, Stapi.3493s0009	Sp1g17720
OG0000747	Stapi.0786s0005	Sp1g15560
OG0000747	Stapi.5424s0004, Stapi.3008s0003, Stapi.2399s0001	Sp5g27600
OG0000748	Stapi.0133s0028	Sp5g29450
OG0000748	Stapi.5943s0002	Sp5g06720
OG0000749	Stapi.3559s0002, Stapi.3285s0009	Sp5g12870
OG0000749	Stapi.3559s0004	Sp5g12880
OG0000749	Stapi.3559s0001	Sp5g12860
OG0000750	Stapi.12152s0001, Stapi.0954s0006, Stapi.5579s0002, Stapi.20482s0001, Stapi.0747s0004, Stapi.27069s0001, Stapi.0269s0024, Stapi.17591s0001	Sp3g30830
OG0000751	Stapi.5403s0003, Stapi.1276s0005	Sp1g33830
OG0000751	Stapi.0052s0012, Stapi.0014s0028	Sp2g07780
OG0000753	Stapi.3111s0001, Stapi.0895s0001	Sp1g34380
OG0000754	Stapi.8549s0001, Stapi.1512s0001, Stapi.1597s0001, Stapi.1512s0004, Stapi.0543s0005, Stapi.14264s0001, Stapi.6789s0001, Stapi.4544s0001, Stapi.5756s0001, Stapi.1328s0003	SpUn0995_0010, SpUn1186_0010, Sp4g02250
OG0000756	Stapi.2712s0002	Sp6g08090
OG0000756	Stapi.0939s0010	Sp5g15020
OG0000756	Stapi.2712s0001	Sp3g33110
OG0000757	Stapi.0021s0009, Stapi.15206s0001, Stapi.5287s0003, Stapi.3797s0006, Stapi.31717s0001, Stapi.11793s0001, Stapi.2640s0005, Stapi.18245s0002, Stapi.0406s0001, Stapi.3425s0005, Stapi.9545s0001	Sp5g29740
OG0000764	Stapi.2227s0007	Sp2g11280
OG0000764	Stapi.0688s0004	Sp7g16010
OG0000765	Stapi.1289s0008, Stapi.0226s0037	Sp2g10510
OG0000766	Stapi.0203s0003	Sp1g17730
OG0000766	Stapi.4985s0001	Sp5g30810
OG0000767	Stapi.1981s0002	Sp4g03870
OG0000767	Stapi.2099s0001	Sp4g03900
OG0000768	Stapi.6969s0001, Stapi.4804s0003, Stapi.4067s0001	Sp2g01400, Sp1g05910, Sp4g04880
OG0000769	Stapi.2005s0002, Stapi.6136s0001, Stapi.7009s0003, Stapi.2626s0004, Stapi.2626s0005, Stapi.2626s0006, Stapi.10181s0002, Stapi.4562s0002, Stapi.7110s0001	Sp4g03070
OG0000770	Stapi.4157s0001	Sp7g34900
OG0000770	Stapi.8001s0001, Stapi.3358s0001	Sp4g02310
OG0000771	Stapi.2696s0005	Sp5g09490
OG0000771	Stapi.2989s0001, Stapi.6545s0004	Sp4g20890
OG0000772	Stapi.2789s0002, Stapi.12747s0001	Sp5g08860
OG0000772	Stapi.2166s0008	Sp4g19595
OG0000773	Stapi.0243s0011	Sp4g19440
OG0000773	Stapi.1322s0009, Stapi.3826s0001	Sp5g08980
OG0000774	Stapi.1419s0007	Sp4g17290
OG0000774	Stapi.6957s0001, Stapi.2897s0005	Sp1g26880
OG0000775	Stapi.4420s0006	Sp1g26800
OG0000775	Stapi.1419s0014, Stapi.4446s0002, Stapi.1898s0005	Sp4g17240
OG0000776	Stapi.0566s0007	Sp6g07730, Sp1g29290
OG0000778	Stapi.8871s0001, Stapi.1917s0002	Sp2g29170
OG0000778	Stapi.12741s0001	Sp7g35270
OG0000779	Stapi.1984s0003	Sp5g05620
OG0000779	Stapi.3221s0005, Stapi.2742s0005	Sp4g23510
OG0000780	Stapi.2133s0001, Stapi.12597s0001, Stapi.8959s0002, Stapi.17726s0001, Stapi.15806s0002	Sp5g05140
OG0000781	Stapi.4516s0001	Sp1g21785
OG0000782	Stapi.3985s0003	Sp1g12670
OG0000783	Stapi.1909s0004, Stapi.0935s0002, Stapi.2862s0001	Sp5g24650
OG0000783	Stapi.7824s0001	Sp1g22030
OG0000784	Stapi.6240s0001	Sp1g22530
OG0000784	Stapi.1716s0005, Stapi.3782s0004	Sp5g23810
OG0000785	Stapi.3338s0008, Stapi.1045s0016	Sp1g23660
OG0000786	Stapi.1675s0007	Sp1g23640
OG0000786	Stapi.1318s0008	Sp5g22400
OG0000787	Stapi.2023s0007	Sp4g16860
OG0000787	Stapi.2172s0002	Sp1g25980
OG0000788	Stapi.2356s0003	Sp1g28610
OG0000788	Stapi.2356s0001	Sp1g28630
OG0000791	Stapi.0023s0023, Stapi.0051s0026	SpUn0050_0020, SpUn0015_0140, Sp6g12520
OG0000793	Stapi.0625s0006, Stapi.1814s0005	Sp1g37150, Sp3g17960, Sp2g23880
OG0000794	Stapi.4863s0001, Stapi.1692s0001	Sp2g20400
OG0000795	Stapi.0789s0009, Stapi.2181s0003	Sp2g17940
OG0000795	Stapi.1453s0006	Sp7g02660
OG0000796	Stapi.1622s0002, Stapi.0960s0013	Sp2g15770
OG0000796	Stapi.1193s0003	Sp1g11470
OG0000797	Stapi.6977s0003	Sp1g01230
OG0000799	Stapi.8164s0002, Stapi.9918s0003	Sp3g02090
OG0000799	Stapi.1544s0023	Sp6g27200
OG0000800	Stapi.0963s0003	Sp5g31840
OG0000800	Stapi.25274s0001, Stapi.1544s0015	Sp6g27290
OG0000801	Stapi.4146s0007, Stapi.1875s0001, Stapi.1190s0012, Stapi.4146s0006, Stapi.8730s0003, Stapi.11098s0001	Sp7g04300
OG0000802	Stapi.4626s0003	Sp6g02030
OG0000803	Stapi.0386s0007	Sp5g16000
OG0000803	Stapi.1223s0002, Stapi.11639s0001	Sp6g22000
OG0000804	Stapi.10292s0001	Sp6g21810
OG0000805	Stapi.2053s0012	SpUn0354_0020
OG0000806	Stapi.1651s0004, Stapi.7629s0001, Stapi.0340s0023	Sp7g24260
OG0000806	Stapi.2973s0003	Sp6g18410
OG0000807	Stapi.0032s0077, Stapi.4959s0002	Sp6g17780
OG0000807	Stapi.6463s0003, Stapi.14346s0001	Sp7g24550
OG0000808	Stapi.1357s0013	Sp7g25940
OG0000808	Stapi.0265s0009	Sp6g15050
OG0000809	Stapi.1126s0012	Sp7g23770
OG0000809	Stapi.0626s0002, Stapi.0386s0017	Sp6g14820
OG0000811	Stapi.6785s0007	Sp3g00090
OG0000811	Stapi.4438s0002, Stapi.4243s0005	Sp6g29960
OG0000812	Stapi.5111s0005	Sp3g08040
OG0000813	Stapi.5111s0003	Sp6g39680
OG0000813	Stapi.6793s0001	Sp3g08020
OG0000814	Stapi.0853s0004	Sp1g39130
OG0000814	Stapi.5971s0001, Stapi.4406s0002	Sp3g14080
OG0000815	Stapi.0780s0012	Sp3g14500
OG0000815	Stapi.0979s0005, Stapi.2237s0005	Sp1g38770
OG0000816	Stapi.0200s0019	Sp7g14550
OG0000816	Stapi.2397s0008, Stapi.1802s0002	Sp3g15070
OG0000817	Stapi.0143s0007	Sp3g15580
OG0000817	Stapi.1077s0014, Stapi.5175s0003	Sp1g35180
OG0000818	Stapi.0994s0001, Stapi.3102s0003, Stapi.0913s0008	Sp3g20020
OG0000818	Stapi.0116s0015, Stapi.2073s0007	Sp7g13160
OG0000819	Stapi.5077s0001, Stapi.0694s0001	Sp7g12930
OG0000820	Stapi.1714s0001, Stapi.13967s0001	Sp3g20940
OG0000820	Stapi.1378s0012, Stapi.1534s0002	Sp7g12440
OG0000821	Stapi.0630s0003	Sp3g21120, SpUn0047_0010, SpUn0047_0020, Sp3g21130
OG0000821	Stapi.0630s0008	Sp3g21180
OG0000824	Stapi.5113s0002	Sp2g12900
OG0000824	Stapi.0711s0001, Stapi.19482s0001	Sp5g11100
OG0000825	Stapi.5416s0003	Sp7g00400
OG0000826	Stapi.1774s0002	Sp1g35620
OG0000826	Stapi.7372s0003, Stapi.6310s0003	Sp2g16420
OG0000827	Stapi.0937s0004, Stapi.0937s0005, Stapi.0937s0002	Sp7g01400
OG0000828	Stapi.4248s0005, Stapi.7424s0003	Sp7g27820
OG0000829	Stapi.4572s0005	Sp3g33820
OG0000829	Stapi.0719s0006	Sp7g26440
OG0000830	Stapi.2080s0006	Sp4g13970
OG0000830	Stapi.0684s0007	Sp1g04720
OG0000831	Stapi.2329s0006	Sp6g28990
OG0000831	Stapi.10342s0002	Sp3g00790
OG0000832	Stapi.4632s0001	Sp6g04070
OG0000832	Stapi.0642s0002, Stapi.2296s0007, Stapi.7561s0002	Sp7g19920
OG0000833	Stapi.1349s0003, Stapi.6041s0001	Sp6g04570
OG0000833	Stapi.0147s0020	Sp7g20310
OG0000834	Stapi.0843s0001	Sp6g05060
OG0000834	Stapi.2464s0001	Sp6g05080
OG0000835	Stapi.0684s0018	Sp4g13870
OG0000835	Stapi.1180s0010	SpUn0372_0010, SpUn1020_0010
OG0000836	Stapi.0550s0016	Sp7g32770
OG0000837	Stapi.10174s0001	Sp3g29400
OG0000837	Stapi.4307s0004, Stapi.0973s0001, Stapi.1426s0008, Stapi.7613s0006	Sp7g32250
OG0000838	Stapi.1350s0001	Sp3g28420
OG0000839	Stapi.7033s0001	Sp7g31970
OG0000840	Stapi.5558s0002, Stapi.10343s0001, Stapi.0262s0006	Sp7g00990
OG0000840	Stapi.1193s0019	Sp1g11620
OG0000842	Stapi.0018s0020	Sp5g17590, Sp6g02630, Sp6g09630, Sp5g20180, Sp3g27700, SpUn0012_0140, SpUn0048_0020
OG0000843	Stapi.0084s0013, Stapi.1405s0002	Sp4g13520
OG0000844	Stapi.0078s0021, Stapi.0152s0014	Sp7g08320
OG0000844	Stapi.2384s0009, Stapi.2019s0007	Sp5g22720
OG0000845	Stapi.1115s0003	Sp1g09060
OG0000845	Stapi.1118s0009	Sp2g04750
OG0000846	Stapi.2268s0003	Sp2g13440
OG0000846	Stapi.4201s0002, Stapi.2331s0002	Sp2g13450
OG0000847	Stapi.0137s0002, Stapi.12102s0001, Stapi.2921s0003, Stapi.14606s0001	Sp2g02440, Sp2g02400, Sp2g02420, Sp2g02470, Sp2g02460
OG0000848	Stapi.5088s0007	SpUn0981_0010
OG0000848	Stapi.0270s0003, Stapi.3746s0001	Sp1g10680
OG0000849	Stapi.0981s0012	Sp7g18730
OG0000849	Stapi.15903s0001, Stapi.0501s0007, Stapi.0018s0007	Sp5g20330
OG0000852	Stapi.4617s0002	Sp1g12870
OG0000852	Stapi.8480s0001, Stapi.3867s0001	Sp2g13700
OG0000853	Stapi.2825s0002, Stapi.4398s0004	Sp1g13990
OG0000853	Stapi.12827s0001	Sp5g35350
OG0000855	Stapi.0028s0005	SpUn0024_0100, Sp1g04040
OG0000857	Stapi.1340s0006, Stapi.4883s0001, Stapi.3821s0001, Stapi.1626s0004, Stapi.5350s0002, Stapi.0937s0006, Stapi.7123s0001, Stapi.25132s0001, Stapi.5587s0001, Stapi.1626s0008	Sp7g01350, Sp1g18080
OG0000858	Stapi.10671s0001, Stapi.1318s0003	Sp5g22480, Sp1g37900
OG0000860	Stapi.1807s0007	Sp7g19730
OG0000861	Stapi.4386s0005	Sp3g00400
OG0000861	Stapi.1858s0005, Stapi.0453s0008	Sp5g22810
OG0000861	Stapi.2163s0004	Sp1g23240
OG0000862	Stapi.0341s0014	Sp3g22340
OG0000863	Stapi.5049s0007	Sp3g31070
OG0000864	Stapi.2079s0001	Sp4g12490
OG0000865	Stapi.0484s0028	Sp4g17970, Sp7g16800
OG0000865	Stapi.2496s0002	Sp7g15360
OG0000866	Stapi.5214s0003, Stapi.4811s0003	Sp1g07070
OG0000866	Stapi.0092s0001	Sp4g10010
OG0000867	Stapi.1512s0008	Sp5g27210
OG0000867	Stapi.1512s0007	Sp5g27220
OG0000869	Stapi.1166s0010, Stapi.4270s0005	Sp5g10960
OG0000869	Stapi.1768s0011, Stapi.5488s0001	Sp2g30550
OG0000871	Stapi.3355s0005, Stapi.0971s0002, Stapi.0315s0001, Stapi.1294s0002, Stapi.0038s0011	SpUn0002_0600, Sp4g07960, SpUn0701_0010, Sp4g05340, SpUn1898_0010
OG0000871	Stapi.16549s0001	Sp7g08900
OG0000872	Stapi.6089s0003	Sp1g39490
OG0000872	Stapi.3439s0019, Stapi.3439s0017	Sp3g34020
OG0000873	Stapi.8089s0003, Stapi.0628s0007	Sp5g15260
OG0000874	Stapi.0957s0011	Sp4g12740, Sp4g12730
OG0000874	Stapi.4892s0002	Sp4g12750
OG0000876	Stapi.2380s0001, Stapi.13864s0001, Stapi.10437s0001, Stapi.4797s0003, Stapi.24968s0001, Stapi.14720s0001, Stapi.9063s0001, Stapi.0273s0007	Sp3g33240
OG0000877	Stapi.2760s0002, Stapi.1862s0001, Stapi.2299s0002, Stapi.2617s0004, Stapi.1862s0002, Stapi.2714s0003, Stapi.5873s0002, Stapi.4742s0009	Sp3g32980
OG0000879	Stapi.0900s0010, Stapi.0515s0014	Sp4g09600
OG0000879	Stapi.0900s0009, Stapi.12184s0001, Stapi.0192s0004, Stapi.3769s0004	SpUn0001_0980, Sp7g05770
OG0000885	Stapi.0054s0089, Stapi.22466s0001	Sp7g03170, SpUn0015_0130, Sp6g12523, SpUn0050_0030, Sp2g04100, Sp5g21400, Sp6g08580, Sp6g12290, Sp5g15320, SpUn1230_0020, Sp7g13130, Sp1g34950, Sp6g09820
OG0000894	Stapi.3652s0002	Sp7g16120
OG0000894	Stapi.2100s0005, Stapi.1918s0008	Sp2g11400
OG0000895	Stapi.0637s0011, Stapi.0364s0029	Sp4g14480
