Orthogroup	C_amplexicaulis	E_salsugineum
OG0000094	Caamp.1040s1354, Caamp.0004s0254	Thhalv10029322m.g, Thhalv10001262m.g, Thhalv10000708m.g, Thhalv10000483m.g, Thhalv10027299m.g, Thhalv10010966m.g, Thhalv10024011m.g, Thhalv10010988m.g, Thhalv10000594m.g, Thhalv10003323m.g, Thhalv10029248m.g, Thhalv10003087m.g, Thhalv10026892m.g, Thhalv10015721m.g, Thhalv10002818m.g, Thhalv10012269m.g, Thhalv10024161m.g, Thhalv10002958m.g, Thhalv10015767m.g, Thhalv10012169m.g, Thhalv10009945m.g, Thhalv10002153m.g, Thhalv10005454m.g, Thhalv10012055m.g, Thhalv10002954m.g, Thhalv10015690m.g, Thhalv10016067m.g, Thhalv10015567m.g, Thhalv10002246m.g, Thhalv10002833m.g, Thhalv10002344m.g, Thhalv10023196m.g, Thhalv10022478m.g, Thhalv10017554m.g, Thhalv10019815m.g, Thhalv10003381m.g, Thhalv10002942m.g, Thhalv10001852m.g, Thhalv10010916m.g, Thhalv10022987m.g, Thhalv10000523m.g, Thhalv10000427m.g, Thhalv10012150m.g, Thhalv10002262m.g, Thhalv10005322m.g, Thhalv10023833m.g, Thhalv10027124m.g, Thhalv10028107m.g, Thhalv10000600m.g, Thhalv10029459m.g, Thhalv10023185m.g, Thhalv10029179m.g
OG0000096	Caamp.0064s0463	Thhalv10028068m.g
OG0000104	Caamp.1038s0386	Thhalv10005114m.g
OG0000104	Caamp.0188s0098	Thhalv10029057m.g
OG0000104	Caamp.0006s0280, Caamp.1027s0168, Caamp.1038s0334, Caamp.1041s1099, Caamp.0094s0114	Thhalv10014984m.g
OG0000104	Caamp.1027s0167	Thhalv10019309m.g
OG0000104	Caamp.1041s1244	Thhalv10015270m.g
OG0000104	Caamp.0033s0286	Thhalv10005111m.g
OG0000105	Caamp.0015s0251, Caamp.0097s0046, Caamp.0007s0491	Thhalv10023911m.g, Thhalv10024076m.g
OG0000105	Caamp.0015s0252	Thhalv10023505m.g
OG0000105	Caamp.0015s0295	Thhalv10023457m.g
OG0000105	Caamp.0015s0294	Thhalv10023838m.g
OG0000105	Caamp.0303s1242	Thhalv10024090m.g, Thhalv10023447m.g
OG0000105	Caamp.0015s0257	Thhalv10023467m.g
OG0000105	Caamp.0015s0250	Thhalv10023461m.g, Thhalv10024124m.g, Thhalv10023470m.g, Thhalv10024167m.g, Thhalv10024133m.g, Thhalv10023445m.g, Thhalv10024039m.g, Thhalv10024025m.g, Thhalv10023472m.g, Thhalv10019750m.g
OG0000107	Caamp.0022s0141	Thhalv10000646m.g, Thhalv10000583m.g, Thhalv10000580m.g
OG0000107	Caamp.0022s0143, Caamp.0022s0142, Caamp.0022s0144, Caamp.0022s0140	Thhalv10019002m.g, Thhalv10029200m.g, Thhalv10029326m.g, Thhalv10029173m.g, Thhalv10029152m.g
OG0000107	Caamp.0188s1034, Caamp.1035s1431	Thhalv10000654m.g, Thhalv10027422m.g
OG0000110	Caamp.0097s0855	Thhalv10029150m.g, Thhalv10029224m.g, Thhalv10029244m.g
OG0000110	Caamp.0022s0071	Thhalv10000584m.g, Thhalv10028061m.g, Thhalv10023984m.g, Thhalv10017747m.g, Thhalv10019544m.g, Thhalv10028072m.g, Thhalv10012089m.g, Thhalv10023127m.g, Thhalv10012042m.g, Thhalv10000549m.g, Thhalv10012223m.g, Thhalv10002183m.g, Thhalv10002223m.g, Thhalv10023146m.g, Thhalv10012293m.g, Thhalv10012192m.g, Thhalv10017920m.g, Thhalv10002821m.g, Thhalv10000652m.g, Thhalv10003038m.g, Thhalv10019524m.g, Thhalv10026990m.g, Thhalv10005672m.g, Thhalv10001218m.g, Thhalv10029334m.g, Thhalv10002307m.g, Thhalv10023844m.g, Thhalv10019606m.g, Thhalv10005474m.g, Thhalv10028191m.g, Thhalv10017847m.g, Thhalv10028199m.g, Thhalv10015771m.g, Thhalv10017755m.g, Thhalv10015287m.g, Thhalv10028194m.g, Thhalv10003021m.g, Thhalv10000521m.g, Thhalv10029454m.g, Thhalv10022967m.g, Thhalv10002160m.g, Thhalv10019787m.g, Thhalv10029463m.g, Thhalv10029306m.g, Thhalv10023860m.g
OG0000114	Caamp.0026s0765	Thhalv10000552m.g
OG0000114	Caamp.0190s1204, Caamp.0010s0036	Thhalv10002367m.g, Thhalv10000034m.g, Thhalv10000033m.g, Thhalv10000035m.g, Thhalv10000044m.g, Thhalv10002360m.g, Thhalv10000632m.g
OG0000115	Caamp.0007s0255	Thhalv10028046m.g, Thhalv10023173m.g
OG0000115	Caamp.1033s0963	Thhalv10002275m.g, Thhalv10005675m.g, Thhalv10015352m.g, Thhalv10024100m.g, Thhalv10029343m.g
OG0000115	Caamp.0049s0020	Thhalv10012261m.g
OG0000115	Caamp.0097s0824	Thhalv10015783m.g, Thhalv10011093m.g, Thhalv10005333m.g, Thhalv10011948m.g, Thhalv10012204m.g
OG0000116	Caamp.0026s0655	Thhalv10027631m.g
OG0000116	Caamp.1039s0405	Thhalv10027763m.g, Thhalv10000770m.g
OG0000119	Caamp.1039s0340, Caamp.1039s0341	Thhalv10000613m.g, Thhalv10000175m.g, Thhalv10000192m.g, Thhalv10019678m.g
OG0000119	Caamp.1039s0339	Thhalv10000198m.g
OG0000122	Caamp.0024s0475, Caamp.1040s0411, Caamp.0024s0493, Caamp.0005s0169	Thhalv10010851m.g
OG0000122	Caamp.0013s0034	Thhalv10002735m.g
OG0000122	Caamp.0101s0018, Caamp.0354s0006, Caamp.0024s0473	Thhalv10015098m.g
OG0000122	Caamp.0078s0468	Thhalv10017467m.g
OG0000122	Caamp.1037s0799	Thhalv10017468m.g
OG0000126	Caamp.0026s0754, Caamp.0008s0231, Caamp.0050s0017	Thhalv10002258m.g
OG0000127	Caamp.0095s0592	Thhalv10006295m.g
OG0000127	Caamp.0034s0070, Caamp.0060s0029	Thhalv10002103m.g
OG0000127	Caamp.0006s0598	Thhalv10027976m.g
OG0000127	Caamp.0002s0130	Thhalv10019293m.g
OG0000127	Caamp.0097s0059, Caamp.1037s0608, Caamp.1040s0256	Thhalv10002700m.g
OG0000128	Caamp.0068s0045, Caamp.0129s0013	Thhalv10002920m.g
OG0000134	Caamp.0120s0017	Thhalv10004760m.g
OG0000134	Caamp.1033s0489, Caamp.0070s0051	Thhalv10014078m.g
OG0000134	Caamp.0214s0186	Thhalv10021105m.g
OG0000135	Caamp.1040s1049, Caamp.1037s1388	Thhalv10014941m.g
OG0000135	Caamp.0190s0240, Caamp.0094s1048	Thhalv10026967m.g
OG0000135	Caamp.0266s0039	Thhalv10023744m.g
OG0000135	Caamp.0044s0014	Thhalv10027977m.g
OG0000135	Caamp.0214s0240, Caamp.0078s0733	Thhalv10021705m.g
OG0000135	Caamp.1037s1131, Caamp.1040s0766	Thhalv10014935m.g
OG0000135	Caamp.0026s0645, Caamp.0190s1329	Thhalv10022898m.g
OG0000141	Caamp.1036s0059	Thhalv10002886m.g
OG0000141	Caamp.1036s0052, Caamp.1036s0060, Caamp.1037s0319	Thhalv10015119m.g
OG0000141	Caamp.1037s0320	Thhalv10015118m.g, Thhalv10015117m.g
OG0000141	Caamp.1036s0056, Caamp.1036s0064	Thhalv10015141m.g
OG0000146	Caamp.0023s0535	Thhalv10006262m.g
OG0000146	Caamp.0065s0145	Thhalv10001656m.g
OG0000146	Caamp.0188s0297, Caamp.0015s0113	Thhalv10008885m.g
OG0000146	Caamp.1041s1414	Thhalv10014797m.g
OG0000146	Caamp.0303s0872, Caamp.1036s0372, Caamp.1033s0175	Thhalv10008884m.g
OG0000147	Caamp.0090s0053	Thhalv10027336m.g
OG0000147	Caamp.0090s0051	Thhalv10026878m.g
OG0000147	Caamp.1035s1478, Caamp.0188s0985	Thhalv10009174m.g
OG0000147	Caamp.0065s0197	Thhalv10006332m.g
OG0000147	Caamp.0090s0050, Caamp.0095s0010, Caamp.0090s0048	Thhalv10026652m.g
OG0000147	Caamp.0095s0011, Caamp.0090s0049	Thhalv10027374m.g
OG0000148	Caamp.1039s0308, Caamp.0007s0436	Thhalv10023343m.g
OG0000148	Caamp.0105s1870	Thhalv10012922m.g
OG0000148	Caamp.0214s0178	Thhalv10020258m.g
OG0000148	Caamp.0078s0794	Thhalv10002169m.g
OG0000148	Caamp.0040s0176, Caamp.0188s0708	Thhalv10007031m.g
OG0000148	Caamp.1039s0476	Thhalv10020257m.g
OG0000149	Caamp.0013s0068	Thhalv10017894m.g, Thhalv10002293m.g, Thhalv10029170m.g, Thhalv10017533m.g
OG0000149	Caamp.0028s0022	Thhalv10027506m.g, Thhalv10029396m.g, Thhalv10029517m.g, Thhalv10029266m.g, Thhalv10029154m.g, Thhalv10029470m.g, Thhalv10029145m.g, Thhalv10029437m.g, Thhalv10029520m.g, Thhalv10029317m.g
OG0000149	Caamp.0105s0485	Thhalv10016904m.g, Thhalv10017616m.g, Thhalv10017704m.g, Thhalv10016945m.g, Thhalv10017764m.g, Thhalv10017911m.g, Thhalv10017591m.g, Thhalv10017778m.g, Thhalv10017512m.g, Thhalv10017708m.g, Thhalv10017621m.g, Thhalv10017773m.g, Thhalv10017515m.g, Thhalv10017955m.g, Thhalv10015844m.g
OG0000151	Caamp.0026s0278, Caamp.0097s0158, Caamp.0097s0219, Caamp.0097s0119, Caamp.0097s0217, Caamp.0097s0116, Caamp.0097s0127	Thhalv10002388m.g
OG0000151	Caamp.0076s0606	Thhalv10000757m.g, Thhalv10001203m.g
OG0000151	Caamp.0005s0073	Thhalv10010090m.g
OG0000151	Caamp.0005s0258, Caamp.0303s1249	Thhalv10012566m.g
OG0000152	Caamp.1033s0589, Caamp.1033s0590, Caamp.0078s0560, Caamp.0078s0558	Thhalv10009036m.g
OG0000152	Caamp.0078s0559, Caamp.0078s0570	Thhalv10009906m.g
OG0000152	Caamp.1033s0593, Caamp.0007s0002, Caamp.1033s0594	Thhalv10009068m.g
OG0000152	Caamp.0007s0001, Caamp.1033s0592	Thhalv10009049m.g, Thhalv10009531m.g
OG0000152	Caamp.0078s0571, Caamp.0078s0562, Caamp.1033s0588	Thhalv10009028m.g, Thhalv10009397m.g
OG0000153	Caamp.1040s0414, Caamp.1037s0773	Thhalv10014927m.g
OG0000153	Caamp.1037s0686	Thhalv10014958m.g
OG0000153	Caamp.0078s0476	Thhalv10010811m.g
OG0000154	Caamp.1037s1656	Thhalv10022006m.g, Thhalv10021918m.g
OG0000154	Caamp.0051s0210	Thhalv10015889m.g, Thhalv10002911m.g
OG0000154	Caamp.1039s0929	Thhalv10003040m.g, Thhalv10002817m.g, Thhalv10002999m.g
OG0000154	Caamp.1039s1571	Thhalv10002867m.g, Thhalv10002981m.g, Thhalv10015770m.g, Thhalv10015418m.g, Thhalv10003000m.g, Thhalv10003050m.g, Thhalv10017637m.g, Thhalv10027013m.g, Thhalv10027003m.g, Thhalv10015377m.g, Thhalv10015387m.g
OG0000155	Caamp.0190s1356	Thhalv10022962m.g
OG0000155	Caamp.0026s0610	Thhalv10023198m.g
OG0000155	Caamp.0094s0383, Caamp.0105s1043	Thhalv10027348m.g
OG0000155	Caamp.0094s0384	Thhalv10027560m.g
OG0000155	Caamp.0105s1042	Thhalv10026047m.g
OG0000157	Caamp.0034s0071	Thhalv10021997m.g, Thhalv10029525m.g, Thhalv10015594m.g, Thhalv10029448m.g, Thhalv10029511m.g, Thhalv10011096m.g, Thhalv10027106m.g, Thhalv10021955m.g, Thhalv10019812m.g, Thhalv10023182m.g, Thhalv10003114m.g, Thhalv10015990m.g, Thhalv10027292m.g, Thhalv10003101m.g, Thhalv10015902m.g, Thhalv10023880m.g, Thhalv10019746m.g, Thhalv10000502m.g, Thhalv10002266m.g, Thhalv10019761m.g, Thhalv10023966m.g, Thhalv10003035m.g, Thhalv10003373m.g, Thhalv10002876m.g
OG0000157	Caamp.0001s0339, Caamp.0010s0356	Thhalv10015545m.g, Thhalv10009813m.g, Thhalv10005571m.g, Thhalv10002270m.g, Thhalv10002320m.g, Thhalv10001219m.g, Thhalv10005449m.g, Thhalv10023178m.g, Thhalv10029261m.g, Thhalv10002824m.g
OG0000158	Caamp.1040s1453, Caamp.0030s0016, Caamp.0067s0011, Caamp.0039s0038, Caamp.0063s0019, Caamp.0069s0023, Caamp.0062s0002, Caamp.0130s0007, Caamp.0329s0001, Caamp.0011s0247, Caamp.0011s0248, Caamp.0165s0002, Caamp.0073s0001, Caamp.0170s0002, Caamp.0031s0011, Caamp.0019s0005, Caamp.0012s0060, Caamp.1037s1753, Caamp.0202s0002, Caamp.0029s0032, Caamp.0041s0010, Caamp.0118s0023, Caamp.0029s0029, Caamp.0041s0038, Caamp.0320s0002, Caamp.0097s0467, Caamp.0112s0020, Caamp.0012s0037, Caamp.0025s0063, Caamp.0017s0002, Caamp.0097s1006, Caamp.0114s0001, Caamp.0011s0219, Caamp.0073s0011, Caamp.0009s0070	Thhalv10002848m.g
OG0000159	Caamp.0303s1189	Thhalv10015983m.g
OG0000159	Caamp.0015s0345	Thhalv10023989m.g, Thhalv10023349m.g
OG0000159	Caamp.0015s0328	Thhalv10023351m.g
OG0000160	Caamp.0094s0308	Thhalv10026296m.g
OG0000160	Caamp.0105s1058	Thhalv10026291m.g
OG0000160	Caamp.0026s0646, Caamp.0190s1328	Thhalv10022857m.g
OG0000160	Caamp.0076s0464, Caamp.0006s0253	Thhalv10019171m.g
OG0000160	Caamp.0190s0006	Thhalv10008827m.g
OG0000160	Caamp.0095s1131, Caamp.0093s0172	Thhalv10022861m.g
OG0000163	Caamp.0066s0017	Thhalv10017057m.g, Thhalv10017909m.g, Thhalv10017639m.g
OG0000163	Caamp.0066s0018, Caamp.0051s0019	Thhalv10017823m.g
OG0000163	Caamp.0024s0455, Caamp.0056s0340	Thhalv10019371m.g
OG0000167	Caamp.0019s0071, Caamp.0012s0132, Caamp.0019s0072, Caamp.1035s1515	Thhalv10003399m.g
OG0000168	Caamp.0097s0835	Thhalv10000609m.g, Thhalv10027466m.g, Thhalv10002326m.g, Thhalv10024129m.g, Thhalv10029405m.g, Thhalv10002835m.g, Thhalv10019721m.g, Thhalv10011157m.g, Thhalv10023022m.g, Thhalv10023819m.g, Thhalv10003494m.g, Thhalv10019636m.g, Thhalv10002209m.g
OG0000170	Caamp.0094s0065	Thhalv10027722m.g, Thhalv10028238m.g
OG0000170	Caamp.0097s0099, Caamp.0005s0041	Thhalv10010970m.g
OG0000170	Caamp.1027s0113	Thhalv10029295m.g
OG0000170	Caamp.1039s0199, Caamp.0010s0288	Thhalv10000131m.g
OG0000170	Caamp.0094s0063, Caamp.0094s0064	Thhalv10026828m.g
OG0000170	Caamp.0094s0067	Thhalv10027133m.g
OG0000170	Caamp.0094s0066	Thhalv10024958m.g
OG0000171	Caamp.0081s0005, Caamp.0081s0006, Caamp.0081s0007, Caamp.0081s0004	Thhalv10002239m.g, Thhalv10002251m.g, Thhalv10002278m.g, Thhalv10002291m.g, Thhalv10002207m.g, Thhalv10002243m.g, Thhalv10002224m.g, Thhalv10002305m.g, Thhalv10002265m.g, Thhalv10002250m.g, Thhalv10002325m.g, Thhalv10002277m.g, Thhalv10002255m.g, Thhalv10002198m.g, Thhalv10002314m.g, Thhalv10002163m.g, Thhalv10002260m.g, Thhalv10002263m.g, Thhalv10002161m.g, Thhalv10002294m.g, Thhalv10002222m.g, Thhalv10002170m.g, Thhalv10002218m.g, Thhalv10002276m.g, Thhalv10002202m.g
OG0000173	Caamp.1040s0174	Thhalv10028985m.g
OG0000173	Caamp.0023s0550	Thhalv10006249m.g
OG0000173	Caamp.0052s0136, Caamp.0188s0097	Thhalv10008843m.g
OG0000173	Caamp.0065s0160	Thhalv10002861m.g
OG0000173	Caamp.0011s0092, Caamp.0011s0090, Caamp.0007s0494, Caamp.0007s0499	Thhalv10023704m.g, Thhalv10023657m.g
OG0000174	Caamp.0015s0064	Thhalv10023237m.g, Thhalv10023945m.g
OG0000174	Caamp.0097s0003	Thhalv10023289m.g, Thhalv10023861m.g
OG0000174	Caamp.0054s0031	Thhalv10024072m.g
OG0000174	Caamp.0026s0117	Thhalv10023659m.g, Thhalv10024171m.g, Thhalv10012230m.g
OG0000175	Caamp.0026s0641	Thhalv10022545m.g, Thhalv10022404m.g, Thhalv10024295m.g, Thhalv10024211m.g, Thhalv10024234m.g, Thhalv10019540m.g, Thhalv10019468m.g, Thhalv10012489m.g
OG0000180	Caamp.0010s0116	Thhalv10000454m.g, Thhalv10000599m.g, Thhalv10000467m.g
OG0000180	Caamp.0010s0117	Thhalv10000550m.g
OG0000180	Caamp.0102s0702	Thhalv10029509m.g
OG0000180	Caamp.1040s1202, Caamp.1040s1307, Caamp.1037s1641	Thhalv10015830m.g, Thhalv10015464m.g
OG0000180	Caamp.0084s0006, Caamp.1040s1308, Caamp.0013s0303	Thhalv10009814m.g
OG0000181	Caamp.0064s0475, Caamp.0071s0289, Caamp.0064s0464, Caamp.0064s0467, Caamp.0064s0479, Caamp.0064s0478, Caamp.0064s0456, Caamp.0064s0487, Caamp.0064s0473, Caamp.0064s0460, Caamp.0064s0461, Caamp.0064s0484, Caamp.0064s0488, Caamp.0064s0482, Caamp.0064s0458, Caamp.0064s0459, Caamp.0102s0968, Caamp.0102s0981, Caamp.0102s0974, Caamp.0102s0970, Caamp.0102s0979, Caamp.1033s0905	Thhalv10029161m.g, Thhalv10029379m.g, Thhalv10029399m.g
OG0000187	Caamp.0303s0583, Caamp.0303s0580, Caamp.0064s0514, Caamp.0064s0515, Caamp.0015s0109	Thhalv10012389m.g, Thhalv10011354m.g, Thhalv10011355m.g
OG0000187	Caamp.1037s1555, Caamp.1040s1214	Thhalv10015256m.g
OG0000187	Caamp.1041s0803	Thhalv10009803m.g
OG0000187	Caamp.0040s0254	Thhalv10011352m.g
OG0000192	Caamp.1027s0273	Thhalv10026033m.g
OG0000192	Caamp.0010s0259	Thhalv10000698m.g
OG0000194	Caamp.0007s0395, Caamp.1033s1004	Thhalv10001833m.g
OG0000194	Caamp.0006s0040, Caamp.0064s0149	Thhalv10019018m.g
OG0000194	Caamp.0028s0020	Thhalv10028882m.g
OG0000194	Caamp.0303s0423, Caamp.0214s0747	Thhalv10021346m.g
OG0000194	Caamp.1041s0833, Caamp.0097s0428	Thhalv10027892m.g
OG0000197	Caamp.0102s0117, Caamp.1031s0162	Thhalv10016300m.g
OG0000197	Caamp.0078s0554, Caamp.0095s0741	Thhalv10010146m.g
OG0000197	Caamp.1038s0126, Caamp.1041s1305	Thhalv10012786m.g
OG0000197	Caamp.0078s0555, Caamp.0095s0740	Thhalv10010176m.g
OG0000197	Caamp.0105s0743	Thhalv10016295m.g
OG0000197	Caamp.0095s0883	Thhalv10010147m.g
OG0000198	Caamp.1040s0782, Caamp.1037s1146	Thhalv10012832m.g
OG0000198	Caamp.1037s1442, Caamp.1040s1106	Thhalv10012817m.g
OG0000198	Caamp.0095s1297	Thhalv10002229m.g
OG0000198	Caamp.0028s0102	Thhalv10024564m.g
OG0000198	Caamp.0190s0366	Thhalv10024561m.g
OG0000199	Caamp.1037s0191, Caamp.1036s0189	Thhalv10013948m.g
OG0000199	Caamp.1039s0973, Caamp.0051s0239	Thhalv10021026m.g
OG0000199	Caamp.0097s0279, Caamp.0064s0667	Thhalv10011613m.g
OG0000199	Caamp.1036s0580, Caamp.0097s0820	Thhalv10027817m.g
OG0000199	Caamp.0002s0105, Caamp.0016s0005	Thhalv10018774m.g
OG0000200	Caamp.0105s0339	Thhalv10016267m.g
OG0000200	Caamp.0105s0340	Thhalv10016266m.g
OG0000200	Caamp.0105s0360	Thhalv10016279m.g
OG0000200	Caamp.0159s0031, Caamp.0013s0333	Thhalv10017694m.g, Thhalv10016323m.g, Thhalv10022625m.g, Thhalv10019617m.g
OG0000200	Caamp.0159s0030	Thhalv10022855m.g
OG0000201	Caamp.0152s0006	Thhalv10028274m.g, Thhalv10028342m.g
OG0000204	Caamp.0065s0065	Thhalv10006141m.g
OG0000204	Caamp.0003s0301, Caamp.0190s0681	Thhalv10025910m.g
OG0000204	Caamp.0188s1118	Thhalv10008397m.g
OG0000204	Caamp.0101s0124, Caamp.1040s0043	Thhalv10028860m.g
OG0000204	Caamp.1031s0754, Caamp.0018s0173	Thhalv10001573m.g
OG0000205	Caamp.0076s1222, Caamp.0076s1161, Caamp.0190s1274	Thhalv10022368m.g, Thhalv10022189m.g, Thhalv10022288m.g, Thhalv10022163m.g
OG0000205	Caamp.1033s0139, Caamp.1040s1427, Caamp.0076s1202	Thhalv10022281m.g, Thhalv10022140m.g, Thhalv10021953m.g, Thhalv10022121m.g, Thhalv10022074m.g, Thhalv10021906m.g, Thhalv10022425m.g
OG0000206	Caamp.1037s1764	Thhalv10003060m.g
OG0000207	Caamp.0266s0013	Thhalv10024140m.g
OG0000207	Caamp.0015s0302	Thhalv10024118m.g
OG0000208	Caamp.0002s0313, Caamp.0338s0012	Thhalv10011843m.g
OG0000209	Caamp.0306s0001	Thhalv10028093m.g, Thhalv10001821m.g, Thhalv10012367m.g
OG0000211	Caamp.0311s0027	Thhalv10011087m.g
OG0000212	Caamp.0311s0030	Thhalv10010993m.g
OG0000221	Caamp.1041s0174	Thhalv10028291m.g
OG0000221	Caamp.0120s0178, Caamp.0044s0027, Caamp.1041s0044	Thhalv10028273m.g
OG0000222	Caamp.0026s0178	Thhalv10002984m.g, Thhalv10022025m.g
OG0000222	Caamp.0002s0082	Thhalv10013551m.g, Thhalv10012685m.g, Thhalv10014181m.g, Thhalv10016428m.g, Thhalv10029461m.g, Thhalv10028322m.g, Thhalv10025088m.g, Thhalv10024419m.g
OG0000224	Caamp.0311s0021	Thhalv10011116m.g
OG0000231	Caamp.1037s0782, Caamp.1040s0423, Caamp.0005s0150, Caamp.0097s0214	Thhalv10002663m.g
OG0000231	Caamp.0214s0137, Caamp.0078s0839	Thhalv10021492m.g
OG0000231	Caamp.1038s0970, Caamp.0105s1770	Thhalv10014465m.g
OG0000231	Caamp.0095s0873, Caamp.0078s0479	Thhalv10010710m.g
OG0000248	Caamp.0101s0180, Caamp.0008s0192	Thhalv10003482m.g, Thhalv10001264m.g, Thhalv10012392m.g, Thhalv10003128m.g
OG0000249	Caamp.0056s0349, Caamp.0024s0465	Thhalv10023830m.g, Thhalv10009631m.g
OG0000249	Caamp.0102s0804	Thhalv10028845m.g
OG0000249	Caamp.1041s0187	Thhalv10027905m.g
OG0000249	Caamp.0078s0149	Thhalv10029411m.g
OG0000249	Caamp.1041s1701	Thhalv10029275m.g
OG0000250	Caamp.0018s0136, Caamp.0018s0137, Caamp.1031s0716	Thhalv10001412m.g
