og,gene_1,gene_2,C_amplexicaulis,E_salsugineum,S_diversifolius,S_parvula,retained.both,retained.S_div,retained.C_amp,retained.neither,other
144,Sdiv_ptg000005l_0397-R,Sdiv_ptg000004l_0696-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
145,Sdiv_ptg000005l_0398-R,Sdiv_ptg000004l_0697-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
146,Sdiv_ptg000005l_0401-R,Sdiv_ptg000004l_0703-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
147,Sdiv_ptg000005l_0402-R,Sdiv_ptg000004l_0704-R,0,0,2,0,FALSE,FALSE,FALSE,FALSE,TRUE
148,Sdiv_ptg000005l_0403-R,Sdiv_ptg000004l_0706-R,1,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE
149,Sdiv_ptg000005l_0404-R,Sdiv_ptg000004l_0708-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
150,Sdiv_ptg000005l_0405-R,Sdiv_ptg000004l_0709-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
151,Sdiv_ptg000005l_0406-R,Sdiv_ptg000004l_0710-R,2,1,2,0,TRUE,FALSE,FALSE,FALSE,FALSE
152,Sdiv_ptg000005l_0407-R,Sdiv_ptg000004l_0711-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
153,Sdiv_ptg000005l_0408-R,Sdiv_ptg000004l_0712-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
154,Sdiv_ptg000001l_1022-R,Sdiv_ptg000013l_0964-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
155,Sdiv_ptg000005l_0409-R,Sdiv_ptg000004l_0714-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
156,Sdiv_ptg000005l_0410-R,Sdiv_ptg000004l_0715-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
157,Sdiv_ptg000005l_0411-R,Sdiv_ptg000004l_0716-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
158,Sdiv_ptg000005l_0414-R,Sdiv_ptg000004l_0717-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
159,Sdiv_ptg000005l_0415-R,Sdiv_ptg000004l_0718-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
160,Sdiv_ptg000005l_0416-R,Sdiv_ptg000004l_0719-R,2,1,2,0,TRUE,FALSE,FALSE,FALSE,FALSE
161,Sdiv_ptg000005l_0418-R,Sdiv_ptg000004l_0720-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
162,Sdiv_ptg000001l_1023-R,Sdiv_ptg000013l_0965-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
163,Sdiv_ptg000005l_0419-R,Sdiv_ptg000004l_0721-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
164,Sdiv_ptg000005l_0420-R,Sdiv_ptg000004l_0722-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
165,Sdiv_ptg000005l_0422-R,Sdiv_ptg000004l_0724-R,1,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE
166,Sdiv_ptg000005l_0423-R,Sdiv_ptg000004l_0726-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
167,Sdiv_ptg000005l_0424-R,Sdiv_ptg000004l_0729-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
168,Sdiv_ptg000005l_0427-R,Sdiv_ptg000004l_0733-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
169,Sdiv_ptg000005l_0429-R,Sdiv_ptg000004l_0734-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
170,Sdiv_ptg000005l_0431-R,Sdiv_ptg000004l_0735-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
171,Sdiv_ptg000005l_0432-R,Sdiv_ptg000004l_0737-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
172,Sdiv_ptg000005l_0434-R,Sdiv_ptg000004l_0738-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
173,Sdiv_ptg000005l_0435-R,Sdiv_ptg000004l_0739-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
174,Sdiv_ptg000005l_0436-R,Sdiv_ptg000004l_0743-R,2,0,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
175,Sdiv_ptg000005l_0437-R,Sdiv_ptg000004l_0744-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
176,Sdiv_ptg000005l_0438-R,Sdiv_ptg000004l_0745-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
177,Sdiv_ptg000001l_1025-R,Sdiv_ptg000013l_0966-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
178,Sdiv_ptg000005l_0486-R,Sdiv_ptg000004l_0746-R,3,1,2,2,FALSE,FALSE,FALSE,FALSE,TRUE
179,Sdiv_ptg000005l_0442-R,Sdiv_ptg000004l_0747-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
180,Sdiv_ptg000005l_0443-R,Sdiv_ptg000004l_0748-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
181,Sdiv_ptg000005l_0444-R,Sdiv_ptg000004l_0749-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
182,Sdiv_ptg000005l_0445-R,Sdiv_ptg000004l_0750-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
183,Sdiv_ptg000005l_0446-R,Sdiv_ptg000004l_0752-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
184,Sdiv_ptg000005l_0448-R,Sdiv_ptg000004l_0753-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
185,Sdiv_ptg000005l_0449-R,Sdiv_ptg000004l_0755-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
186,Sdiv_ptg000005l_0451-R,Sdiv_ptg000004l_0756-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
187,Sdiv_ptg000005l_0452-R,Sdiv_ptg000004l_0759-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
188,Sdiv_ptg000005l_0453-R,Sdiv_ptg000004l_0760-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
189,Sdiv_ptg000005l_0454-R,Sdiv_ptg000004l_0761-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
190,Sdiv_ptg000005l_0455-R,Sdiv_ptg000004l_0762-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
191,Sdiv_ptg000005l_0456-R,Sdiv_ptg000004l_0763-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
192,Sdiv_ptg000005l_0457-R,Sdiv_ptg000004l_0764-R,1,0,2,1,FALSE,TRUE,FALSE,FALSE,FALSE
193,Sdiv_ptg000001l_1027-R,Sdiv_ptg000013l_0967-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
194,Sdiv_ptg000005l_0459-R,Sdiv_ptg000004l_0765-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
195,Sdiv_ptg000005l_0460-R,Sdiv_ptg000004l_0766-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
