Desc	Orthogroup	Aal	Aar	Aly	Ath	Boh	Cam	Chi	Dni	Esy	Rsq	Spi	Streptanthus	Tar	Tpa
(null)	OG0000066	0	1	3	7	65	3	0	63	7	9	6	0	12	2
(null)	OG0000067	1	3	33	15	24	16	24	10	17	1	12	1	17	2
(null)	OG0000068	2	57	1	3	7	2	2	31	20	26	7	0	1	16
(null)	OG0000069	42	10	13	13	13	21	10	8	6	6	5	6	11	11
(null)	OG0000070	19	6	12	12	29	27	12	12	0	9	6	5	15	8
(null)	OG0000072	22	8	22	10	15	6	19	8	0	12	27	4	11	7
(null)	OG0000074	17	22	19	9	13	9	8	20	11	13	3	3	18	4
(null)	OG0000075	18	4	9	9	17	11	11	8	19	20	18	6	11	8
(null)	OG0000076	6	0	0	2	85	0	42	2	0	27	1	0	0	2
(null)	OG0000077	15	9	12	10	18	13	20	6	13	18	11	0	16	6
(null)	OG0000079	8	0	14	16	15	8	31	34	1	12	10	2	10	4
(null)	OG0000080	13	1	3	8	16	10	25	19	14	13	24	2	14	2
(null)	OG0000081	2	0	17	12	23	19	10	14	21	6	14	0	19	7
(null)	OG0000083	19	12	8	11	15	5	19	12	0	17	13	6	20	5
(null)	OG0000085	17	11	12	6	15	13	10	20	0	21	15	7	7	6
(null)	OG0000086	1	16	14	10	9	14	25	1	7	10	30	10	7	5
(null)	OG0000087	1	0	5	2	23	10	6	1	35	10	5	2	54	4
(null)	OG0000089	13	0	26	12	20	4	10	10	11	17	11	0	22	1
(null)	OG0000090	9	7	11	10	20	18	6	6	0	16	14	19	11	10
(null)	OG0000091	0	2	31	22	31	15	15	9	1	0	8	0	21	1
(null)	OG0000093	23	3	3	1	10	4	38	21	3	4	28	2	11	4
(null)	OG0000095	5	5	13	9	11	12	10	11	18	14	20	3	16	6
(null)	OG0000096	3	1	14	9	23	6	13	15	25	15	3	1	22	3
(null)	OG0000097	1	23	0	2	5	9	1	10	2	2	86	0	10	0
(null)	OG0000098	8	1	0	0	0	10	0	0	1	64	42	4	19	1
(null)	OG0000099	10	2	14	15	14	8	19	8	0	16	15	8	12	9
(null)	OG0000100	9	9	8	8	15	18	9	6	9	14	12	14	10	9
(null)	OG0000101	9	3	10	9	15	18	10	5	9	14	12	17	10	8
(null)	OG0000102	10	7	9	10	14	13	10	7	9	18	10	15	8	8
(null)	OG0000103	0	26	9	10	23	12	8	13	1	4	15	1	25	1
(null)	OG0000104	0	0	1	0	8	12	2	0	0	30	19	0	21	55
(null)	OG0000105	14	1	5	5	20	15	23	19	1	4	24	7	6	3
(null)	OG0000106	12	7	13	14	10	13	15	6	6	15	7	7	9	13
(null)	OG0000107	3	3	9	20	25	0	14	53	2	0	1	0	6	11
(null)	OG0000108	25	8	9	8	11	17	8	7	13	1	17	8	8	5
(null)	OG0000109	0	12	0	0	2	28	10	2	16	8	41	0	26	0
(null)	OG0000110	8	0	12	5	9	11	15	15	0	9	44	1	11	4
(null)	OG0000111	5	3	22	17	8	13	19	19	0	3	8	4	15	8
(null)	OG0000112	7	0	15	6	30	3	10	24	11	19	7	2	10	0
(null)	OG0000113	13	5	13	14	14	0	9	7	14	19	8	0	13	15
(null)	OG0000114	53	0	1	0	0	2	2	1	9	32	32	0	5	6
(null)	OG0000115	9	0	14	33	19	2	5	16	10	17	1	0	13	3
(null)	OG0000117	29	0	15	8	7	7	15	16	11	6	8	0	16	3
(null)	OG0000119	6	0	0	0	15	41	3	1	1	3	66	2	1	1
(null)	OG0000120	1	7	19	13	8	7	22	19	9	2	8	0	21	2
(null)	OG0000122	4	0	13	7	15	5	12	25	19	8	5	0	19	3
(null)	OG0000123	0	0	7	2	8	2	3	46	5	14	16	0	15	17
(null)	OG0000125	7	0	19	3	10	7	20	6	14	10	27	1	6	3
(null)	OG0000126	10	5	8	8	19	9	14	2	8	14	11	7	11	7
(null)	OG0000127	12	0	8	13	10	7	18	19	4	20	8	0	12	1
(null)	OG0000128	8	0	12	7	18	6	12	34	3	1	2	0	28	1
(null)	OG0000129	9	4	13	22	12	7	14	11	2	10	3	5	12	7
(null)	OG0000130	8	1	10	13	21	25	9	7	2	2	15	3	12	3
(null)	OG0000132	12	0	12	4	16	7	10	12	10	16	3	3	21	4
(null)	OG0000133	9	19	8	14	10	2	12	3	13	18	13	2	4	3
(null)	OG0000134	7	0	16	7	18	9	15	26	0	8	17	2	3	1
(null)	OG0000135	5	13	8	12	12	15	9	2	4	3	15	6	18	7
(null)	OG0000138	14	0	4	4	11	9	19	6	16	15	8	3	14	3
(null)	OG0000139	5	4	7	10	24	9	13	6	8	6	18	2	8	6
(null)	OG0000140	8	8	10	10	12	15	8	7	10	0	21	4	6	7
(null)	OG0000141	0	0	0	0	0	16	0	0	0	36	50	0	24	0
(null)	OG0000143	7	0	7	3	28	1	3	0	6	34	1	0	28	7
(null)	OG0000144	0	1	0	0	48	0	0	0	0	75	1	0	0	0
(null)	OG0000147	9	2	12	11	19	8	16	12	0	2	5	1	19	7
(null)	OG0000148	9	0	14	9	18	2	13	14	1	24	6	0	12	1
(null)	OG0000150	2	1	1	37	1	13	9	0	4	1	11	0	41	1
(null)	OG0000151	0	1	2	0	0	7	0	48	0	0	6	58	0	0
(null)	OG0000153	7	1	5	8	17	10	11	5	1	20	12	9	10	5
(null)	OG0000155	3	27	6	25	4	2	12	8	8	3	3	0	18	1
(null)	OG0000156	1	0	16	5	14	9	9	8	1	4	15	4	33	1
(null)	OG0000158	13	2	11	11	12	11	9	7	10	5	11	3	5	9
(null)	OG0000159	0	8	14	3	16	8	9	3	4	0	28	3	18	3
(null)	OG0000160	0	0	8	6	25	9	2	14	9	8	17	0	17	2
(null)	OG0000161	8	13	14	6	11	6	12	9	1	8	4	3	15	6
(null)	OG0000162	7	0	0	0	35	2	8	0	7	36	0	0	18	3
(null)	OG0000163	10	3	11	12	15	7	8	4	11	12	8	5	8	2
(null)	OG0000164	32	0	14	14	6	1	12	8	2	11	2	0	10	3
(null)	OG0000165	8	4	1	6	9	15	19	9	15	3	10	0	6	10
(null)	OG0000166	1	0	2	10	3	8	23	0	0	3	26	0	38	1
(null)	OG0000167	1	0	2	3	8	15	3	0	12	3	30	1	21	16
(null)	OG0000169	15	7	4	8	10	10	12	8	1	10	8	4	10	7
(null)	OG0000171	0	0	0	0	0	67	0	2	0	0	26	0	17	2
(null)	OG0000173	7	0	9	1	30	1	2	13	16	22	0	0	7	5
(null)	OG0000175	16	14	0	0	2	1	6	9	4	42	8	1	0	9
(null)	OG0000176	3	6	5	4	15	17	11	11	5	5	6	0	18	6
(null)	OG0000177	12	5	5	9	7	17	10	10	8	1	13	3	6	6
(null)	OG0000178	0	0	0	0	2	11	0	0	0	4	82	0	13	0
(null)	OG0000180	10	7	8	8	11	14	9	7	2	3	9	2	11	9
(null)	OG0000181	3	0	19	4	13	5	3	7	7	27	2	3	17	0
(null)	OG0000184	0	1	0	0	66	4	5	3	0	8	19	0	4	0
(null)	OG0000185	0	0	0	0	0	22	0	0	1	0	82	0	5	0
(null)	OG0000186	1	0	10	6	35	7	4	14	2	10	7	0	6	7
(null)	OG0000187	0	0	15	14	4	6	12	4	22	9	3	0	18	2
(null)	OG0000189	5	1	4	1	4	10	5	3	9	8	20	0	4	34
(null)	OG0000190	2	0	1	1	20	9	3	15	0	1	49	0	7	0
(null)	OG0000191	3	0	10	9	16	2	14	18	12	9	4	0	10	1
(null)	OG0000192	5	0	3	8	14	16	9	14	6	7	6	0	12	8
(null)	OG0000193	0	0	4	1	14	6	0	8	5	9	33	0	24	4
(null)	OG0000194	0	0	1	0	9	1	3	1	0	2	4	85	1	1
(null)	OG0000196	2	7	5	3	18	5	13	3	1	14	7	8	17	4
(null)	OG0000197	6	3	4	3	15	10	8	5	7	2	10	4	20	10
(null)	OG0000198	3	19	5	5	11	12	6	6	10	0	13	3	6	8
(null)	OG0000199	2	0	3	4	19	11	1	0	4	15	19	4	24	1
(null)	OG0000200	7	7	8	7	6	14	7	2	8	11	6	11	6	7
(null)	OG0000201	0	0	0	0	2	18	0	0	0	0	10	0	76	1
(null)	OG0000202	1	0	0	0	1	4	0	0	1	0	16	0	83	0
(null)	OG0000203	9	9	8	9	12	6	16	9	2	9	4	0	6	6
(null)	OG0000204	7	3	8	11	18	9	14	2	0	4	8	4	8	9
(null)	OG0000205	20	10	1	2	3	3	6	1	39	13	0	0	5	2
(null)	OG0000206	9	6	7	6	9	9	8	11	14	1	13	1	6	5
(null)	OG0000207	7	6	6	6	14	13	6	3	6	13	4	9	6	6
(null)	OG0000208	2	1	4	7	11	12	2	1	3	1	44	3	10	4
(null)	OG0000209	7	3	10	11	10	8	10	3	12	0	10	2	11	7
(null)	OG0000210	1	0	5	20	4	9	6	9	26	4	8	0	12	0
(null)	OG0000211	10	4	9	7	13	9	9	5	6	3	11	3	9	6
(null)	OG0000212	0	92	0	0	2	0	2	0	3	2	1	0	0	2
(null)	OG0000213	5	5	6	6	10	13	7	11	9	4	7	4	10	6
(null)	OG0000214	2	6	6	12	11	10	5	8	7	8	7	6	9	6
(null)	OG0000215	0	1	0	0	0	23	1	0	0	0	37	1	40	0
(null)	OG0000216	18	0	10	16	6	4	4	28	3	1	8	0	4	0
(null)	OG0000217	8	12	8	6	8	10	11	3	4	9	5	7	6	5
(null)	OG0000218	6	3	6	5	12	6	9	7	9	18	3	4	9	5
(null)	OG0000219	2	12	8	11	7	9	5	1	7	8	13	6	7	6
(null)	OG0000221	0	0	0	0	0	3	0	0	0	6	91	0	1	1
(null)	OG0000222	6	5	10	8	11	12	8	5	12	3	3	1	9	8
(null)	OG0000223	4	1	8	2	18	5	5	13	18	7	4	5	8	3
(null)	OG0000224	6	3	14	8	7	3	12	10	10	11	6	3	6	2
(null)	OG0000225	10	7	8	6	2	13	7	3	0	11	9	11	7	7
(null)	OG0000226	8	5	7	6	8	12	7	3	7	8	6	9	7	8
(null)	OG0000227	6	0	3	0	38	2	4	9	8	23	3	0	1	3
(null)	OG0000228	5	7	6	6	9	11	6	6	5	10	7	8	7	7
(null)	OG0000229	3	3	5	11	12	19	5	8	7	0	10	3	10	4
(null)	OG0000233	0	0	1	0	33	4	1	1	0	7	27	0	1	25
(null)	OG0000235	18	1	9	10	9	7	7	3	9	9	5	3	5	4
(null)	OG0000236	11	5	8	8	9	5	8	6	6	7	2	0	18	6
(null)	OG0000237	0	0	0	0	1	0	0	0	0	0	0	0	0	98
(null)	OG0000238	0	0	0	0	0	0	0	0	1	0	0	0	98	0
(null)	OG0000239	89	0	0	0	0	1	0	4	0	4	0	0	0	0
(null)	OG0000240	11	0	11	4	12	4	11	17	0	3	6	0	15	4
(null)	OG0000241	3	0	10	7	10	2	17	13	20	3	1	0	12	0
(null)	OG0000242	1	0	1	0	10	3	1	0	1	0	5	68	8	0
(null)	OG0000243	8	3	7	6	10	15	6	4	6	2	13	0	12	6
(null)	OG0000244	0	0	13	8	18	7	4	10	6	2	5	0	22	3
(null)	OG0000245	35	0	1	0	29	1	2	1	1	5	0	0	22	0
(null)	OG0000246	8	0	10	5	8	5	9	17	10	7	7	1	9	1
(null)	OG0000247	7	8	6	6	9	9	9	3	0	12	9	7	6	6
(null)	OG0000248	6	12	9	7	13	3	13	4	6	10	4	1	6	2
(null)	OG0000249	9	0	13	5	9	6	7	11	5	6	9	1	10	5
(null)	OG0000250	4	1	9	9	11	6	8	2	7	12	8	6	8	5
(null)	OG0000251	0	3	8	10	10	14	10	8	7	2	7	1	11	5
(null)	OG0000254	88	0	0	0	1	0	0	1	0	0	2	1	1	1
(null)	OG0000255	0	1	0	0	1	8	0	0	2	0	76	0	6	1
(null)	OG0000257	2	3	0	0	1	3	0	0	0	2	77	0	5	1
(null)	OG0000258	5	0	8	4	12	5	8	18	6	12	6	1	8	1
(null)	OG0000259	2	3	7	13	7	9	12	4	2	9	8	2	10	5
(null)	OG0000260	7	1	1	0	37	1	0	1	13	14	2	0	15	1
(null)	OG0000261	3	12	16	9	10	4	7	7	16	2	2	0	5	0
(null)	OG0000262	0	0	0	0	0	0	1	0	0	0	0	0	92	0
(null)	OG0000264	2	0	7	8	15	5	4	10	16	4	6	0	13	2
(null)	OG0000265	1	9	2	6	21	6	6	9	6	4	4	1	15	2
(null)	OG0000266	0	0	0	0	0	90	0	0	0	0	0	2	0	0
(null)	OG0000268	21	4	9	2	12	0	3	11	15	6	0	0	7	1
(null)	OG0000269	5	4	6	6	9	12	6	2	6	7	7	9	6	6
(null)	OG0000270	2	0	0	0	0	0	0	0	0	89	0	0	0	0
(null)	OG0000271	0	15	1	0	11	5	0	22	5	1	23	0	6	2
(null)	OG0000272	0	1	0	0	1	6	0	0	0	1	77	0	4	1
(null)	OG0000273	8	1	8	7	8	7	5	4	1	7	10	8	9	7
(null)	OG0000274	5	2	8	11	4	16	9	6	1	5	12	1	5	5
(null)	OG0000275	4	1	9	9	10	10	10	3	0	8	5	6	8	7
(null)	OG0000276	1	0	6	4	13	13	7	12	0	2	14	0	15	3
(null)	OG0000277	6	16	7	4	8	5	12	2	9	8	1	0	10	1
(null)	OG0000278	5	2	4	5	11	11	6	6	7	11	2	5	8	6
(null)	OG0000280	6	2	8	11	5	11	13	6	6	8	1	2	6	3
(null)	OG0000281	6	2	10	4	16	3	7	4	3	17	3	3	5	5
(null)	OG0000282	6	0	3	1	44	2	2	8	1	16	1	0	2	2
(null)	OG0000283	5	0	9	6	15	2	11	8	10	11	3	0	7	1
(null)	OG0000284	14	4	5	5	8	10	5	1	5	10	6	6	5	4
(null)	OG0000285	0	53	0	0	2	2	0	2	0	2	0	0	27	0
(null)	OG0000286	0	0	0	0	0	4	0	0	1	1	79	0	3	0
(null)	OG0000288	6	6	6	6	9	11	6	6	6	1	9	3	6	6
(null)	OG0000289	10	1	6	6	13	6	6	8	10	10	1	0	5	5
(null)	OG0000290	4	1	11	14	5	6	10	4	12	4	4	2	6	4
(null)	OG0000291	0	2	2	0	34	0	0	5	3	28	0	0	6	7
(null)	OG0000292	6	3	6	5	10	7	6	4	15	2	7	4	7	4
(null)	OG0000293	5	1	5	6	6	9	4	4	12	6	13	5	6	4
(null)	OG0000294	11	1	5	10	10	10	7	3	4	8	5	2	5	4
(null)	OG0000295	6	7	6	6	6	8	15	3	0	1	9	0	11	7
(null)	OG0000296	4	0	7	8	5	9	22	3	6	6	5	3	4	3
(null)	OG0000297	0	20	7	2	11	5	0	22	1	1	2	0	3	11
(null)	OG0000299	2	0	11	1	14	7	3	9	18	5	3	0	9	2
(null)	OG0000300	11	0	5	5	6	13	12	10	2	4	7	4	3	2
(null)	OG0000301	5	4	6	6	10	12	6	4	7	1	6	4	7	6
(null)	OG0000302	0	0	0	0	0	2	0	0	0	0	82	0	0	0
(null)	OG0000303	5	13	5	5	6	8	7	2	5	6	5	6	5	5
(null)	OG0000304	1	6	8	13	8	18	7	5	5	0	5	0	5	2
(null)	OG0000305	0	70	0	0	11	0	0	0	2	0	0	0	0	0
(null)	OG0000307	7	7	8	9	3	8	7	2	1	12	4	2	7	5
(null)	OG0000308	6	12	5	5	7	6	5	3	2	8	7	7	5	4
(null)	OG0000309	7	2	5	5	11	6	5	5	1	10	8	7	5	5
(null)	OG0000310	4	6	6	8	7	6	10	5	2	4	4	2	9	9
(null)	OG0000311	6	5	6	6	13	12	6	4	2	0	4	6	6	6
(null)	OG0000312	0	39	0	0	17	0	0	6	3	4	10	2	1	0
(null)	OG0000313	0	0	0	0	68	0	0	0	0	11	1	0	2	0
(null)	OG0000314	0	0	0	0	1	0	0	0	0	0	0	0	81	0
(null)	OG0000316	7	1	11	7	5	7	10	5	0	6	8	4	6	4
(null)	OG0000317	80	0	0	0	0	0	0	1	0	0	0	0	0	0
(null)	OG0000318	1	3	3	4	7	9	12	0	9	3	12	3	11	4
(null)	OG0000319	2	8	10	8	5	10	6	4	12	1	4	0	7	4
(null)	OG0000320	2	0	10	5	10	3	6	12	5	12	3	0	13	0
(null)	OG0000321	1	2	10	26	4	5	7	5	0	0	6	0	15	0
(null)	OG0000322	0	0	1	0	0	0	5	0	0	0	74	0	1	0
(null)	OG0000323	0	0	0	0	5	4	0	1	2	5	39	0	25	0
(null)	OG0000325	4	4	7	8	6	6	4	5	8	4	9	3	6	6
(null)	OG0000326	9	6	6	6	7	9	5	2	6	9	2	8	4	1
(null)	OG0000327	7	3	5	6	10	7	4	7	5	6	8	4	5	3
(null)	OG0000328	0	0	0	0	0	0	0	0	1	0	0	0	0	79
(null)	OG0000329	1	10	16	13	5	2	16	3	4	2	2	0	3	2
(null)	OG0000330	1	3	3	2	8	18	9	4	7	9	3	0	5	7
(null)	OG0000331	0	0	0	2	1	4	0	0	2	1	65	0	3	1
(null)	OG0000332	0	0	0	0	0	12	0	0	0	0	11	0	56	0
(null)	OG0000333	8	1	5	3	6	3	5	10	10	2	14	2	5	4
(null)	OG0000334	75	0	0	0	0	0	0	3	0	0	0	0	0	0
(null)	OG0000335	9	8	4	6	8	4	6	4	10	2	7	1	6	3
(null)	OG0000336	4	2	5	9	6	4	7	3	12	7	6	2	7	4
(null)	OG0000337	1	1	8	6	4	8	5	1	24	2	10	3	3	2
(null)	OG0000338	17	4	4	4	8	7	3	3	5	9	4	4	4	2
(null)	OG0000340	5	5	5	5	7	9	5	3	4	9	3	8	5	5
(null)	OG0000341	8	11	5	6	11	7	3	2	5	9	2	3	3	3
(null)	OG0000342	0	0	0	0	0	16	0	0	1	0	50	0	11	0
(null)	OG0000343	9	17	3	3	7	3	5	8	2	2	12	1	2	3
(null)	OG0000344	4	3	5	3	9	8	5	1	8	7	6	3	10	5
(null)	OG0000345	8	7	7	5	7	6	5	2	2	7	6	3	7	5
(null)	OG0000346	5	0	15	9	6	2	8	4	10	14	1	0	2	1
(null)	OG0000347	7	5	4	4	10	6	7	3	0	9	5	5	7	5
(null)	OG0000348	1	0	0	0	2	6	0	0	0	0	5	0	63	0
(null)	OG0000349	7	1	8	6	4	9	5	4	6	9	5	4	5	4
(null)	OG0000350	4	4	5	5	8	10	5	3	4	9	2	8	5	5
(null)	OG0000352	1	1	2	3	14	0	0	40	0	9	0	0	1	6
(null)	OG0000353	0	0	0	1	42	0	0	0	3	30	0	0	1	0
(null)	OG0000354	0	0	0	0	0	4	0	0	1	0	69	1	1	1
(null)	OG0000355	1	0	2	0	16	0	2	0	0	1	3	46	4	1
(null)	OG0000356	4	10	4	3	8	8	6	2	1	8	8	1	10	3
(null)	OG0000357	6	4	3	3	9	11	5	0	4	10	6	4	7	4
(null)	OG0000358	5	2	5	5	8	6	7	6	10	5	5	2	6	4
(null)	OG0000359	1	0	5	5	11	6	8	4	7	10	13	1	4	1
(null)	OG0000360	11	2	6	5	3	7	5	2	6	5	14	3	3	4
(null)	OG0000361	7	4	3	4	11	6	5	4	5	10	3	5	5	3
(null)	OG0000362	2	2	7	7	7	10	5	0	2	11	3	12	4	3
(null)	OG0000363	1	1	7	6	14	7	8	10	7	1	5	0	5	3
(null)	OG0000364	1	0	0	0	71	0	0	0	0	3	0	0	0	0
(null)	OG0000365	0	0	0	0	0	5	0	0	0	0	67	0	3	0
(null)	OG0000366	0	0	0	0	0	2	1	0	0	0	72	0	0	0
(null)	OG0000368	55	0	0	0	1	0	0	0	0	5	1	0	12	0
(null)	OG0000369	8	3	4	8	8	0	10	9	13	1	6	0	0	4
(null)	OG0000370	1	0	8	4	15	3	3	7	2	8	3	1	13	6
(null)	OG0000371	1	0	9	6	5	6	6	14	15	6	3	0	3	0
(null)	OG0000372	0	0	3	4	22	2	1	9	14	2	3	0	14	0
(null)	OG0000373	0	0	0	1	0	3	0	0	0	0	8	0	62	0
(null)	OG0000374	0	0	0	0	0	1	0	0	0	1	70	0	2	0
(null)	OG0000375	0	0	0	0	0	7	0	0	0	3	54	0	8	2
(null)	OG0000376	0	0	0	0	0	0	0	0	1	0	0	0	73	0
(null)	OG0000377	30	0	0	0	3	1	0	0	1	9	19	0	6	4
(null)	OG0000378	2	5	8	10	1	8	9	7	6	0	4	0	10	3
(null)	OG0000379	3	6	4	4	9	8	4	3	5	7	5	7	4	4
(null)	OG0000380	6	3	6	5	9	7	4	2	6	11	3	3	4	4
(null)	OG0000381	5	5	5	6	7	8	5	4	7	1	6	4	5	5
(null)	OG0000382	4	4	5	5	8	10	4	5	4	1	7	6	5	5
(null)	OG0000383	5	3	6	6	7	10	6	6	4	1	4	5	4	6
(null)	OG0000384	2	2	16	9	8	6	5	2	12	1	1	1	5	3
(null)	OG0000385	10	4	5	4	7	8	4	4	4	5	7	3	4	4
(null)	OG0000386	0	2	5	8	11	3	4	4	0	1	9	0	25	1
(null)	OG0000387	0	0	7	6	16	16	4	3	0	0	10	0	10	1
(null)	OG0000388	0	0	0	0	53	1	0	0	0	16	0	0	3	0
(null)	OG0000389	0	0	0	0	1	0	2	0	0	0	0	0	70	0
(null)	OG0000390	0	0	0	0	0	8	0	0	0	0	3	0	62	0
(null)	OG0000391	16	0	8	6	2	1	11	15	3	4	1	0	4	1
(null)	OG0000392	4	2	8	5	6	7	7	3	0	6	8	6	7	3
(null)	OG0000393	26	0	0	0	0	0	0	0	0	40	1	0	5	0
(null)	OG0000394	0	0	0	0	0	0	0	0	0	0	1	0	71	0
(null)	OG0000395	11	0	2	4	5	5	3	17	0	5	11	0	4	4
(null)	OG0000396	4	2	4	6	9	7	9	6	5	2	4	0	5	8
(null)	OG0000397	4	13	4	8	6	4	3	4	3	7	5	4	3	3
(null)	OG0000398	3	3	2	4	15	4	2	2	8	11	6	3	5	3
(null)	OG0000399	2	0	0	0	29	0	5	21	9	1	1	0	1	2
(null)	OG0000400	0	0	0	0	0	70	0	0	0	0	1	0	0	0
(null)	OG0000401	0	0	0	0	0	6	0	0	0	0	65	0	0	0
(null)	OG0000402	0	0	0	0	0	3	0	0	0	0	68	0	0	0
(null)	OG0000404	1	9	3	10	7	5	7	7	1	4	3	1	9	3
(null)	OG0000405	2	1	9	5	4	5	7	12	1	5	10	2	4	3
(null)	OG0000406	5	3	4	5	8	9	3	2	6	7	2	6	6	4
(null)	OG0000407	4	5	9	5	7	6	4	4	6	3	6	3	4	4
(null)	OG0000408	7	6	3	3	5	4	3	1	7	9	5	5	5	7
(null)	OG0000409	6	0	12	6	5	8	3	11	1	1	5	1	8	3
(null)	OG0000410	4	2	6	6	5	8	6	1	7	4	3	6	7	5
(null)	OG0000411	4	5	4	4	7	7	4	2	3	5	8	8	5	4
(null)	OG0000412	1	0	5	1	6	1	6	5	3	5	0	0	35	2
(null)	OG0000413	10	1	7	6	6	5	3	3	3	6	7	2	5	6
(null)	OG0000414	0	52	0	2	0	0	1	0	0	1	1	0	1	12
(null)	OG0000415	0	1	0	0	0	0	0	69	0	0	0	0	0	0
(null)	OG0000416	0	0	0	0	66	0	0	0	1	3	0	0	0	0
(null)	OG0000417	0	0	0	0	11	3	3	0	1	45	1	4	2	0
(null)	OG0000418	0	0	0	0	0	1	0	0	0	0	69	0	0	0
(null)	OG0000419	13	5	5	2	5	5	6	6	2	5	5	0	7	3
(null)	OG0000420	6	4	4	7	8	8	8	3	1	3	5	0	7	5
(null)	OG0000421	2	0	0	0	4	0	0	0	2	59	0	0	1	1
(null)	OG0000422	6	1	8	5	7	9	10	3	5	0	2	1	10	2
(null)	OG0000423	5	3	5	5	9	8	7	5	8	2	1	0	5	6
(null)	OG0000424	5	4	5	5	7	8	5	2	4	8	3	4	5	4
(null)	OG0000426	1	0	0	0	41	4	0	4	6	3	0	0	10	0
(null)	OG0000427	1	1	6	10	9	11	6	7	1	0	3	0	12	2
(null)	OG0000428	0	0	0	0	0	29	0	0	0	0	38	0	1	1
(null)	OG0000429	3	2	7	6	5	6	4	6	5	6	1	5	6	6
(null)	OG0000430	4	1	6	4	9	6	3	2	6	12	3	3	3	6
(null)	OG0000431	7	0	4	12	2	5	9	5	8	2	3	3	6	2
(null)	OG0000432	3	0	19	5	12	1	3	8	10	1	4	1	1	0
(null)	OG0000433	1	1	7	9	9	6	11	6	2	1	7	0	4	4
(null)	OG0000434	3	1	3	7	7	6	9	4	7	0	7	0	10	4
(null)	OG0000435	6	2	5	4	8	4	4	3	1	10	10	3	4	4
(null)	OG0000436	2	0	3	4	1	6	16	1	0	3	20	0	12	0
(null)	OG0000437	0	11	4	8	6	8	3	2	1	5	5	4	8	3
(null)	OG0000438	0	0	0	0	62	0	0	0	0	6	0	0	0	0
(null)	OG0000440	2	3	5	8	7	6	7	1	3	5	7	4	5	4
(null)	OG0000441	4	2	4	3	9	7	4	2	5	9	4	7	3	4
(null)	OG0000442	12	2	9	8	4	5	3	2	6	6	1	5	2	2
(null)	OG0000443	4	2	5	6	7	8	1	2	9	0	12	0	3	8
(null)	OG0000444	2	2	5	3	11	8	4	3	11	3	7	4	4	0
(null)	OG0000445	2	0	4	4	15	8	7	3	3	2	4	0	12	3
(null)	OG0000446	0	3	3	1	10	1	0	4	28	7	0	0	2	8
(null)	OG0000447	0	0	3	2	2	4	1	1	2	1	48	0	2	1
(null)	OG0000448	0	0	0	0	1	0	0	0	0	0	0	0	66	0
(null)	OG0000449	0	0	0	0	0	24	21	0	0	0	21	0	0	1
(null)	OG0000450	14	0	0	0	1	3	0	1	7	0	32	0	2	6
(null)	OG0000451	5	5	4	5	3	6	6	3	6	7	1	5	6	4
(null)	OG0000452	6	6	5	5	7	4	6	4	2	5	6	3	5	2
(null)	OG0000453	6	3	6	3	11	6	3	1	6	8	8	2	3	0
